Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,22.482117,24.856937,22.482117,24.599428,22.182106,120154045
2010-04-01,24.706724,26.773964,23.998569,25.937054,23.388288,106280992
2010-05-01,26.108727,26.387697,21.437769,23.147352,20.872726,124702438
2010-06-01,22.954220,23.869814,20.257511,20.336195,18.337805,101743645
2010-07-01,20.386267,21.266094,19.127325,19.978540,18.015297,115322418
2010-08-01,20.278971,21.366238,19.084406,19.291845,17.396082,105858098
2010-09-01,19.635193,23.991417,19.620888,23.869814,21.524195,95143407
2010-10-01,24.098713,25.271816,23.097282,24.892704,22.446562,90958495
2010-11-01,24.992847,26.859800,24.592276,25.050072,22.588472,89252512
2010-12-01,25.500715,30.100143,25.472103,29.635193,26.723019,104079421
2011-01-01,29.728184,31.795422,29.241774,29.921316,26.981024,89937952
2011-02-01,30.092991,32.489269,28.569386,30.100143,27.142275,113090928
2011-03-01,30.028612,33.483547,28.869814,32.031475,28.883823,138750943
2011-04-01,32.103004,36.251789,31.659513,35.701000,32.192745,89573632
2011-05-01,35.944206,39.577969,34.427753,35.672390,32.166946,110802544
2011-06-01,35.615166,37.188843,33.175964,36.559372,32.966774,107993682
2011-07-01,36.645206,37.639484,29.535049,30.157368,27.193876,115520933
2011-08-01,30.486408,30.600859,21.616594,26.373390,23.781744,225129447
2011-09-01,26.323318,26.759657,21.981401,22.353361,20.156746,161861697
2011-10-01,22.103004,29.363377,20.507868,26.516453,23.910746,170887606
2011-11-01,25.207439,28.175966,23.762518,26.824034,24.188112,121790265
2011-12-01,26.680973,27.596567,23.254648,24.985695,22.530407,81913712
2012-01-01,25.636623,32.081547,25.457796,30.379112,27.393841,101400716
2012-02-01,30.815451,32.439198,29.871244,31.201717,28.135601,83817230
2012-03-01,31.287554,33.104435,29.964235,31.838341,28.709671,85939114
2012-04-01,31.838341,32.296139,28.004292,30.171675,27.268114,81821723
2012-05-01,30.064379,30.951359,27.496424,29.084406,26.285479,108201427
2012-06-01,28.040056,29.649500,26.437769,28.068670,25.367487,89462912
2012-07-01,28.276110,28.497854,25.264664,27.389128,24.819141,70121722
2012-08-01,27.703863,29.306152,26.144491,26.580830,24.086685,111797780
2012-09-01,26.444921,28.712446,26.194565,27.503576,24.922852,104979874
2012-10-01,27.539343,28.354794,25.307583,25.743919,23.388935,101066592
2012-11-01,25.779684,27.596567,25.357655,27.389128,24.883638,114976274
2012-12-01,27.610872,29.856937,26.959944,29.284693,26.605803,95459214
2013-01-01,30.164520,32.582260,29.434908,32.031475,29.172661,95925307
2013-02-01,32.246067,32.660946,28.748213,29.670959,27.022825,102913770
2013-03-01,29.456366,31.130186,29.134478,30.021460,27.342045,92827620
2013-04-01,29.921316,32.038628,28.841202,29.642345,27.073952,116119836
2013-05-01,29.628040,33.955650,29.499285,32.510731,29.693800,130313172
2013-06-01,32.653790,33.226036,29.935621,30.586552,27.936333,95832623
2013-07-01,30.793991,33.547928,30.557940,31.995708,29.305031,73881224
2013-08-01,32.553650,34.570816,32.417740,33.361946,30.556379,70063428
2013-09-01,33.648067,38.247498,33.347637,36.659515,33.576633,91099131
2013-10-01,36.266094,38.082977,35.329041,36.309013,33.332394,71997418
2013-11-01,36.423462,39.871246,35.650928,38.319027,35.177628,73142241
2013-12-01,38.247498,41.444920,37.596565,40.908440,37.554768,59295610
2014-01-01,40.844063,43.791130,40.164520,41.595135,38.273090,73379205
2014-02-01,41.595135,43.247498,39.248928,40.722462,37.470116,99904852
2014-03-01,40.143063,42.432045,38.783978,40.000000,36.805351,71466178
2014-04-01,40.200287,40.944206,37.167381,38.655224,35.567970,59032368
2014-05-01,38.583691,41.044350,38.383404,40.729614,37.567432,64035252
2014-06-01,40.743919,42.618027,40.271816,41.087269,37.897308,42405811
2014-07-01,41.301861,41.909870,39.442059,40.121601,37.091290,55220581
2014-08-01,39.892704,42.246067,38.762520,40.886982,37.798859,54268262
2014-09-01,40.937054,42.489269,40.000000,40.758224,37.679832,50613191
2014-10-01,40.665237,40.886982,35.622318,39.542202,36.640667,83419917
2014-11-01,39.900002,42.990002,39.490002,42.740002,39.603821,56373700
2014-12-01,42.689999,42.730000,38.090000,40.939999,37.935890,48770200
2015-01-01,41.180000,41.310001,37.680000,37.770000,34.998501,53086600
2015-02-01,37.900002,42.490002,37.709999,42.209999,39.208473,52418300
2015-03-01,42.340000,42.740002,40.369999,41.549999,38.595417,44856400
2015-04-01,41.459999,43.590000,40.720001,41.369999,38.522869,47256700
2015-05-01,41.410000,42.930000,40.820000,41.189999,38.355251,44096800
2015-06-01,41.430000,41.430000,38.480000,38.580002,35.924870,58978100
2015-07-01,38.889999,41.139999,38.610001,40.950001,38.227211,54238300
2015-08-01,40.919998,41.349998,33.570000,36.310001,33.895725,56307300
2015-09-01,35.299999,36.990002,33.240002,34.330002,32.047379,47113000
2015-10-01,34.320000,38.099998,33.119999,37.759998,35.351635,52993300
2015-11-01,37.869999,42.200001,36.500000,41.820000,39.152691,74662700
2015-12-01,42.160000,42.480000,39.900002,41.810001,39.143326,59284400
2016-01-01,41.060001,41.189999,36.009998,37.650002,35.345051,50734500
2016-02-01,37.369999,38.189999,34.150002,37.349998,35.063404,53437100
2016-03-01,37.630001,40.580002,37.610001,39.849998,37.410351,37122800
2016-04-01,39.560001,42.000000,39.169998,40.919998,38.414841,34713500
2016-05-01,41.200001,46.000000,40.389999,45.889999,43.205265,53550300
2016-06-01,45.750000,46.680000,41.980000,44.360001,41.764782,52011000
2016-07-01,44.360001,48.180000,43.360001,48.110001,45.414734,34708800
2016-08-01,48.110001,48.630001,46.090000,46.980000,44.348049,45191400
2016-09-01,47.029999,47.389999,44.470001,47.090000,44.451885,38864400
2016-10-01,46.820000,48.150002,43.110001,43.570000,41.231239,37262700
2016-11-01,43.730000,47.799999,43.139999,43.980000,41.619236,53250600
2016-12-01,44.080002,46.919998,42.919998,45.560001,43.114433,34086300
2017-01-01,45.930000,49.480000,45.740002,48.970001,46.475559,45134900
2017-02-01,48.930000,51.939999,48.470001,51.299999,48.686882,39156200
2017-03-01,51.619999,54.820000,50.860001,52.869999,50.176910,40890100
2017-04-01,52.900002,55.509998,52.259998,55.049999,52.375526,32352600
2017-05-01,55.500000,60.810001,55.360001,60.340000,57.408527,50926000
2017-06-01,60.009998,61.150002,58.119999,59.310001,56.428574,42766500
2017-07-01,59.590000,61.840000,59.070000,59.790001,57.011944,32314200
2017-08-01,60.040001,64.830002,58.220001,64.720001,61.712879,43422600
2017-09-01,64.900002,66.449997,63.720001,64.199997,61.217037,28129800
2017-10-01,64.290001,68.519997,64.209999,68.029999,64.869072,31472500
2017-11-01,68.199997,70.930000,66.250000,69.239998,66.158897,41983700
2017-12-01,69.190002,70.000000,65.599998,66.970001,63.989887,36036200
2018-01-01,67.419998,75.000000,67.339996,73.430000,70.317757,38581500
2018-02-01,73.180000,74.989998,65.029999,68.589996,65.682884,62904900
2018-03-01,68.470001,71.529999,65.809998,66.900002,64.064529,48720500
2018-04-01,66.650002,70.290001,63.380001,65.739998,62.953682,54743900
2018-05-01,65.629997,70.449997,60.700001,61.919998,59.427956,73189900
2018-06-01,62.470001,66.750000,60.419998,61.840000,59.351185,64342400
2018-07-01,61.360001,66.830002,60.790001,66.040001,63.382164,37941900
2018-08-01,65.839996,68.150002,64.220001,67.540001,64.978333,56324900
2018-09-01,67.339996,71.459999,66.760002,70.540001,67.864548,35878100
2018-10-01,70.680000,72.370003,61.009998,64.790001,62.332649,65097000
2018-11-01,65.070000,72.650002,62.400002,72.349998,69.753242,62405400
2018-12-01,73.330002,75.110001,62.220001,67.459999,65.038765,50474000
2019-01-01,66.500000,76.309998,62.000000,76.050003,73.501770,44194500
2019-02-01,76.160004,79.839996,74.760002,79.440002,76.778191,35941700
2019-03-01,80.000000,82.269997,77.400002,80.379997,77.686684,32806600
2019-04-01,80.959999,82.239998,73.760002,78.500000,75.869682,41866300
2019-05-01,78.489998,79.559998,66.029999,67.050003,64.935829,77266900
2019-06-01,67.040001,74.699997,66.410004,74.669998,72.315559,40936700
2019-07-01,75.599998,76.930000,68.099998,69.410004,67.221413,60671300
2019-08-01,69.629997,72.769997,65.349998,71.110001,69.019402,56018500
2019-09-01,70.699997,78.739998,69.480003,76.629997,74.377098,52301200
2019-10-01,76.500000,76.889999,71.730003,75.750000,73.681160,34335000
2019-11-01,76.510002,81.339996,74.940002,80.769997,78.564049,34217000
2019-12-01,80.779999,85.680000,79.169998,85.309998,82.980064,33017300
