Date,Open,High,Low,Close,Adj Close,Volume
2010-11-01,0.095000,0.095000,0.095000,0.095000,0.095000,0
2010-12-01,0.095000,0.095000,0.095000,0.095000,0.095000,0
2011-01-01,0.095000,0.095000,0.095000,0.095000,0.095000,0
2011-02-01,0.095000,0.095000,0.095000,0.095000,0.095000,0
2011-03-01,0.095000,0.095000,0.095000,0.095000,0.095000,0
2011-04-01,0.095000,0.095000,0.095000,0.095000,0.095000,0
2011-05-01,0.095000,0.450000,0.095000,0.450000,0.450000,105600
2011-06-01,0.400000,0.550000,0.360000,0.410000,0.410000,106225
2011-07-01,0.550000,0.750000,0.500000,0.750000,0.750000,914321
2011-08-01,0.750000,0.890000,0.650000,0.820000,0.820000,286246
2011-09-01,0.820000,0.940000,0.165000,0.215000,0.215000,13851391
2011-10-01,0.225000,0.340000,0.130000,0.152000,0.152000,6968209
2011-11-01,0.155000,0.175000,0.101000,0.145000,0.145000,2312978
2011-12-01,0.150000,0.165000,0.075000,0.085000,0.085000,1516602
2012-01-01,0.085000,0.120000,0.050100,0.100000,0.100000,1068831
2012-02-01,0.100000,0.110000,0.061000,0.073000,0.073000,539016
2012-03-01,0.070000,0.105000,0.068000,0.070000,0.070000,878985
2012-04-01,0.070000,0.090000,0.050000,0.061000,0.061000,2450693
2012-05-01,0.070000,0.070000,0.024500,0.033000,0.033000,1987269
2012-06-01,0.033000,0.033000,0.015200,0.022000,0.022000,1701641
2012-07-01,0.020000,0.025500,0.016000,0.018000,0.018000,439614
2012-08-01,0.018000,0.025000,0.010000,0.014000,0.014000,1881444
2012-09-01,0.014000,0.015000,0.008500,0.010000,0.010000,1230962
2012-10-01,0.010000,0.010000,0.005500,0.005500,0.005500,919137
2012-11-01,0.005500,0.010000,0.005200,0.008000,0.008000,855294
2012-12-01,0.008100,0.012500,0.006000,0.006400,0.006400,353942
2013-01-01,0.006400,0.012000,0.006000,0.008000,0.008000,735299
2013-02-01,0.006200,0.011900,0.004100,0.005500,0.005500,1229367
2013-03-01,0.004300,0.028000,0.002700,0.004600,0.004600,11987464
2013-04-01,0.004600,0.004900,0.003100,0.003400,0.003400,428534
2013-05-01,0.003000,0.004000,0.002300,0.002600,0.002600,2112982
2013-06-01,0.002700,0.005000,0.002200,0.002600,0.002600,2313490
2013-07-01,0.002600,0.004900,0.002400,0.002600,0.002600,522424
2013-08-01,0.002600,0.025000,0.002600,0.003700,0.003700,63897047
2013-09-01,0.003700,0.004600,0.002900,0.002900,0.002900,4961568
2013-10-01,0.002900,0.004500,0.002600,0.004500,0.004500,3490537
2013-11-01,0.003500,0.003500,0.002400,0.002400,0.002400,1259909
2013-12-01,0.002200,0.004000,0.001500,0.001500,0.001500,3782323
2014-01-01,0.001500,0.003600,0.001400,0.002100,0.002100,3566112
2014-02-01,0.002100,0.004800,0.002000,0.004300,0.004300,2113849
2014-03-01,0.004300,0.004300,0.002300,0.003200,0.003200,1589053
2014-04-01,0.003200,0.004200,0.002100,0.002300,0.002300,607289
2014-05-01,0.003700,0.003700,0.001500,0.001600,0.001600,2696430
2014-06-01,0.001600,0.002800,0.001600,0.002300,0.002300,963887
2014-07-01,0.002300,0.002300,0.001500,0.001500,0.001500,3918700
2014-08-01,0.001500,0.002900,0.001500,0.001700,0.001700,818953
2014-09-01,0.001700,0.002400,0.001400,0.001600,0.001600,1535550
2014-10-01,0.001600,0.001700,0.001100,0.001100,0.001100,388377
2014-11-01,0.001200,0.001200,0.000800,0.000900,0.000900,417667
2014-12-01,0.000900,0.002000,0.000800,0.000860,0.000860,2668753
2015-01-01,0.000860,0.002100,0.000800,0.002000,0.002000,1905814
2015-02-01,0.001500,0.004500,0.001500,0.001500,0.001500,15264295
2015-03-01,0.001500,0.001600,0.001000,0.001200,0.001200,1420425
2015-04-01,0.001200,0.001600,0.001100,0.001100,0.001100,1537792
2015-05-01,0.001120,0.001400,0.001000,0.001000,0.001000,779886
2015-06-01,0.001000,0.001400,0.001000,0.001100,0.001100,838563
2015-07-01,0.001100,0.001800,0.001000,0.001000,0.001000,401697
2015-08-01,0.001000,0.001440,0.001000,0.001440,0.001440,549238
2015-09-01,0.001440,0.001500,0.001000,0.001000,0.001000,448485
2015-10-01,0.001000,0.001100,0.000900,0.000900,0.000900,312483
2015-11-01,0.000900,0.001100,0.000900,0.001000,0.001000,219210
2015-12-01,0.000900,0.001100,0.000900,0.000900,0.000900,221700
2016-01-01,0.000900,0.002500,0.000900,0.001100,0.001100,1294816
2016-02-01,0.001110,0.002200,0.001100,0.001100,0.001100,398568
2016-03-01,0.001100,0.001500,0.001100,0.001500,0.001500,185985
2016-04-01,0.001500,0.001800,0.001100,0.001200,0.001200,313347
2016-05-01,0.001200,0.001400,0.001000,0.001000,0.001000,683538
2016-06-01,0.001000,0.002500,0.000900,0.001600,0.001600,1296050
2016-07-01,0.001600,0.001600,0.001500,0.001500,0.001500,77400
2016-08-01,0.001900,0.002400,0.001100,0.001100,0.001100,915849
2016-09-01,0.001100,0.001900,0.000700,0.001170,0.001170,2740325
2016-10-01,0.001100,0.001800,0.001100,0.001400,0.001400,1165225
2016-11-01,0.001490,0.001700,0.001300,0.001300,0.001300,560710
2016-12-01,0.001300,0.001600,0.001100,0.001150,0.001150,1114257
2017-01-01,0.001150,0.001300,0.001100,0.001300,0.001300,262965
2017-02-01,0.001300,0.001300,0.000190,0.000300,0.000300,1381097860
2017-03-01,0.000200,0.000300,0.000100,0.000200,0.000200,1694086850
2017-04-01,0.000200,0.000800,0.000100,0.000300,0.000300,1722521635
2017-05-01,0.000300,0.000400,0.000100,0.000200,0.000200,365701251
2017-06-01,0.000200,0.000300,0.000100,0.000300,0.000300,256303321
2017-07-01,0.000280,0.000300,0.000100,0.000100,0.000100,64401085
2017-08-01,0.000100,0.000500,0.000100,0.000300,0.000300,723103901
2017-09-01,0.000300,0.000300,0.000200,0.000300,0.000300,197017472
2017-10-01,0.000200,0.000300,0.000100,0.000200,0.000200,86773666
2017-11-01,0.000100,0.000300,0.000100,0.000100,0.000100,83660261
2017-12-01,0.000110,0.000300,0.000100,0.000200,0.000200,64011081
2018-01-01,0.000200,0.000300,0.000100,0.000200,0.000200,169906745
2018-02-01,0.000200,0.000300,0.000100,0.000200,0.000200,21007815
2018-03-01,0.000200,0.000300,0.000100,0.000300,0.000300,60343442
2018-04-01,0.000200,0.000300,0.000100,0.000200,0.000200,52071183
2018-05-01,0.000100,0.003200,0.000100,0.003000,0.003000,2602495294
2018-06-01,0.002900,0.003800,0.001600,0.002200,0.002200,1251237066
2018-07-01,0.002200,0.003200,0.000600,0.000700,0.000700,741321148
2018-08-01,0.000700,0.000800,0.000300,0.000400,0.000400,500206498
2018-09-01,0.000400,0.000500,0.000200,0.000200,0.000200,114744474
2018-10-01,0.000200,0.000400,0.000200,0.000200,0.000200,78071832
2018-11-01,0.000250,0.000400,0.000200,0.000300,0.000300,135465734
2018-12-01,0.000400,0.000400,0.000200,0.000250,0.000250,94369394
2019-01-01,0.000250,0.000300,0.000200,0.000200,0.000200,34816767
2019-02-01,0.000200,0.000300,0.000200,0.000250,0.000250,57133517
2019-03-01,0.000200,0.000300,0.000200,0.000250,0.000250,11532700
2019-04-01,0.000200,0.000400,0.000200,0.000200,0.000200,159478860
2019-05-01,0.000200,0.000300,0.000200,0.000300,0.000300,30941259
2019-06-01,0.000300,0.000300,0.000200,0.000200,0.000200,41290541
2019-07-01,0.000200,0.000300,0.000200,0.000300,0.000300,51437881
2019-08-01,0.000300,0.000300,0.000200,0.000300,0.000300,105102458
2019-09-01,0.000300,0.000300,0.000200,0.000300,0.000300,104501174
2019-10-01,0.000200,0.000300,0.000200,0.000200,0.000200,86899914
2019-11-01,0.000200,0.000300,0.000100,0.000200,0.000200,16770567
2019-12-01,0.000200,0.000200,0.000100,0.000200,0.000200,68887640
2020-01-01,0.000200,0.000200,0.000100,0.000200,0.000200,13969578
2020-02-01,0.000200,0.000200,0.000100,0.000200,0.000200,11613632
2020-03-01,0.000200,0.000200,0.000100,0.000200,0.000200,39847930
2020-04-01,0.000200,0.000200,0.000100,0.000200,0.000200,19516978
2020-05-01,0.000200,0.000300,0.000100,0.000300,0.000300,122003440
2020-06-01,0.000300,0.000500,0.000200,0.000300,0.000300,677324414
2020-07-01,0.000300,0.000400,0.000200,0.000200,0.000200,60475551
2020-08-01,0.000300,0.000900,0.000300,0.000450,0.000450,434209066
2020-09-01,0.000400,0.002400,0.000300,0.001500,0.001500,1691856776
2020-10-01,0.001300,0.001500,0.000700,0.000800,0.000800,791025648
2020-11-01,0.000800,0.001100,0.000400,0.000500,0.000500,192276270
2020-12-01,0.000500,0.001200,0.000400,0.000800,0.000800,321523995
2021-01-01,0.000800,0.001000,0.000500,0.000800,0.000800,175361082
