Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,27.100000,29.830000,26.820000,28.370001,27.892693,14470400
2010-04-01,28.590000,30.910000,28.160000,30.070000,29.564089,11153700
2010-05-01,29.780001,30.469999,24.040001,25.379999,24.952993,19686100
2010-06-01,25.129999,25.730000,22.770000,23.059999,22.672029,15862600
2010-07-01,23.110001,25.620001,21.700001,24.139999,23.733856,12988400
2010-08-01,24.469999,26.610001,22.020000,22.500000,22.121450,14811900
2010-09-01,22.870001,24.950001,22.830000,24.260000,23.851839,14000000
2010-10-01,24.400000,26.730000,23.809999,26.510000,26.063986,13953400
2010-11-01,26.530001,27.950001,25.750000,25.760000,25.326605,13964600
2010-12-01,26.100000,28.860001,25.959999,27.969999,27.499416,13763100
2011-01-01,28.200001,29.920000,26.290001,29.270000,28.777548,15822800
2011-02-01,29.400000,29.980000,27.330000,28.639999,28.158146,25317400
2011-03-01,28.670000,28.809999,26.010000,27.730000,27.263458,20341700
2011-04-01,27.809999,28.000000,25.570000,27.260000,26.801365,12826600
2011-05-01,27.330000,28.700001,26.650000,28.670000,28.187645,15146900
2011-06-01,28.660000,28.900000,26.190001,27.340000,26.880022,17529000
2011-07-01,27.299999,28.250000,24.660000,24.740000,24.323763,11957700
2011-08-01,25.090000,25.139999,17.840000,22.719999,22.337748,34207300
2011-09-01,22.680000,22.770000,17.510000,17.670000,17.372713,23483200
2011-10-01,17.530001,22.030001,16.389999,20.920000,20.568031,17663500
2011-11-01,20.299999,21.600000,19.799999,21.450001,21.089113,19949900
2011-12-01,21.290001,21.790001,19.049999,20.570000,20.223921,18203800
2012-01-01,20.990000,23.480000,20.570000,22.889999,22.504887,11846700
2012-02-01,23.120001,24.280001,22.219999,23.350000,22.957150,18752700
2012-03-01,23.530001,23.889999,22.059999,22.370001,21.993639,16809300
2012-04-01,22.260000,22.900000,21.139999,22.070000,21.698687,16556900
2012-05-01,22.040001,22.740000,16.030001,16.290001,16.015930,32127800
2012-06-01,15.910000,17.080000,14.500000,16.450001,16.173241,28844800
2012-07-01,16.530001,17.209999,15.130000,16.209999,15.937277,13841000
2012-08-01,16.299999,19.910000,15.580000,19.389999,19.063774,24121900
2012-09-01,19.379999,21.719999,19.250000,21.160000,20.803997,18487200
2012-10-01,21.170000,21.950001,20.610001,21.469999,21.108780,15021600
2012-11-01,21.500000,22.629999,18.680000,22.590000,22.209936,22314500
2012-12-01,22.600000,24.490000,22.430000,23.799999,23.399576,16447000
2013-01-01,24.010000,25.840000,23.950001,25.570000,25.139799,14583700
2013-02-01,25.410000,31.530001,25.120001,30.309999,29.800053,27569900
2013-03-01,30.090000,33.090000,29.370001,32.799999,32.248161,16130900
2013-04-01,32.709999,32.849998,27.709999,29.070000,28.580914,18307500
2013-05-01,28.790001,32.360001,28.430000,30.790001,30.271978,14140100
2013-06-01,30.760000,31.930000,29.240000,31.790001,31.255154,14037100
2013-07-01,31.700001,34.639999,31.250000,33.900002,33.329647,12354500
2013-08-01,34.000000,35.240002,29.030001,29.129999,28.639902,17499300
2013-09-01,29.610001,31.840000,28.100000,31.270000,30.743902,13660100
2013-10-01,31.150000,32.900002,30.270000,31.780001,31.245321,14129800
2013-11-01,31.760000,32.290001,28.299999,29.059999,28.571081,12755100
2013-12-01,28.920000,29.740000,27.350000,29.430000,28.934856,11950700
2014-01-01,29.430000,31.049999,28.530001,28.670000,28.187645,12613400
2014-02-01,28.549999,32.000000,27.549999,31.940001,31.402628,14553300
2014-03-01,31.500000,32.610001,30.620001,32.169998,31.628759,12674500
2014-04-01,32.180000,33.400002,31.020000,32.419998,31.874554,11991500
2014-05-01,32.439999,33.290001,29.930000,32.139999,31.599262,15055700
2014-06-01,32.090000,33.740002,31.360001,32.200001,31.658251,12857200
2014-07-01,32.200001,37.000000,31.190001,33.950001,33.378815,47856100
2014-08-01,33.840000,38.240002,33.250000,37.840000,37.203365,33706100
2014-09-01,37.820000,38.000000,33.730000,33.750000,33.182171,20486500
2014-10-01,33.790001,33.840000,27.230000,32.549999,32.002365,55155500
2014-11-01,32.680000,34.240002,30.129999,32.009998,31.471449,33146700
2014-12-01,31.830000,31.900000,28.170000,30.370001,29.859043,33225600
2015-01-01,30.370001,30.969999,24.820000,25.420000,24.992325,37559500
2015-02-01,25.650000,30.230000,25.480000,30.059999,29.554260,35380500
2015-03-01,29.969999,31.320000,28.610001,30.820000,30.301468,34330700
2015-04-01,30.790001,33.930000,30.660000,31.559999,31.029022,24673200
2015-05-01,31.420000,34.150002,30.299999,33.029999,32.474281,33211400
2015-06-01,33.009998,35.400002,32.470001,33.080002,32.523449,25068100
2015-07-01,33.209999,33.500000,29.110001,30.830000,30.311300,26823100
2015-08-01,30.650000,31.330000,24.040001,27.500000,27.037325,43850400
2015-09-01,26.650000,28.000000,25.250000,27.510000,27.047159,31601400
2015-10-01,27.500000,30.500000,26.440001,29.469999,28.974182,22361100
2015-11-01,29.450001,31.959999,29.040001,31.830000,31.294479,26775800
2015-12-01,31.900000,33.119999,28.750000,30.030001,29.524763,20648400
2016-01-01,29.600000,29.980000,24.250000,27.440001,26.978338,21246800
2016-02-01,27.010000,28.010000,22.799999,27.459999,26.998001,20196000
2016-03-01,27.780001,31.900000,27.639999,30.790001,30.271978,17037100
2016-04-01,30.350000,33.139999,29.059999,32.490002,31.943375,16329900
2016-05-01,32.490002,33.209999,31.049999,32.110001,31.569767,21660700
2016-06-01,31.930000,34.049999,29.320000,31.770000,31.235489,24384200
2016-07-01,31.780001,36.200001,30.620001,35.490002,34.892899,17729800
2016-08-01,35.299999,36.020000,30.709999,30.830000,30.311300,36110000
2016-09-01,30.820000,31.100000,27.559999,29.730000,29.229811,22404200
2016-10-01,29.590000,30.000000,26.459999,27.850000,27.381439,23448400
2016-11-01,28.080000,37.970001,26.650000,36.349998,35.738430,49380300
2016-12-01,36.709999,40.720001,36.099998,36.360001,35.748268,24798300
2017-01-01,36.720001,39.500000,34.610001,36.930000,36.308678,22190700
2017-02-01,37.320000,39.270000,35.290001,36.349998,35.738430,22756400
2017-03-01,37.320000,38.150002,33.110001,35.590000,34.991219,23296200
2017-04-01,35.750000,36.080002,32.290001,34.209999,33.634434,23744300
2017-05-01,34.340000,35.250000,31.740000,32.110001,31.569767,27800500
2017-06-01,32.270000,34.220001,31.660000,32.330002,31.786064,19977200
2017-07-01,32.520000,33.160000,30.620001,31.900000,31.363300,14718700
