Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,39.880001,42.990002,39.880001,41.950001,32.362701,86658100
2010-04-01,42.169998,44.669998,41.230000,43.639999,33.666466,88941500
2010-05-01,43.439999,43.820000,37.000000,37.520000,29.199183,117286900
2010-06-01,37.279999,41.130001,36.049999,38.650002,30.078594,153840800
2010-07-01,38.360001,40.619999,37.680000,39.639999,30.849028,89911200
2010-08-01,40.169998,40.750000,36.450001,36.599998,28.483212,83355800
2010-09-01,36.970001,42.799999,36.970001,42.490002,33.066990,82425900
2010-10-01,43.830002,45.970001,43.830002,44.709999,34.794674,99629100
2010-11-01,44.580002,45.709999,42.220001,43.320000,34.047955,70845000
2010-12-01,43.770000,51.430000,43.240002,48.490002,38.111404,84905700
2011-01-01,48.660000,52.720001,47.680000,51.470001,40.453571,74316500
2011-02-01,51.830002,54.549999,51.200001,51.480000,40.461426,48307700
2011-03-01,51.840000,56.779999,48.720001,54.970001,43.204449,89040100
2011-04-01,54.810001,57.869999,54.049999,57.130001,44.902130,69946500
2011-05-01,57.119999,58.209999,54.540001,57.389999,45.472927,71699800
2011-06-01,57.459999,60.980000,53.500000,60.419998,47.873756,136676600
2011-07-01,60.189999,63.660000,58.750000,59.139999,46.859539,241736400
2011-08-01,59.630001,60.029999,47.400002,53.590000,42.462002,159486600
2011-09-01,53.610001,56.299999,48.549999,52.680000,41.740971,128061900
2011-10-01,52.570000,61.900002,50.340000,60.259998,47.746979,89933100
2011-11-01,57.110001,59.619999,53.189999,57.930000,46.450680,59289900
2011-12-01,57.709999,60.200001,51.080002,53.230000,42.682026,90453900
2012-01-01,53.919998,57.799999,51.470001,57.340000,45.977592,97148100
2012-02-01,57.990002,60.000000,56.450001,59.540001,47.741657,55918000
2012-03-01,59.810001,65.889999,59.070000,64.500000,51.718781,79315200
2012-04-01,64.629997,65.660004,61.770000,64.949997,52.079601,63944800
2012-05-01,64.849998,65.639999,56.209999,57.099998,46.279839,90845100
2012-06-01,56.349998,60.320000,54.939999,60.090000,48.703255,88963400
2012-07-01,59.790001,61.119999,56.230000,60.299999,48.873459,61528000
2012-08-01,60.439999,61.980000,58.689999,61.599998,49.927109,49672900
2012-09-01,61.599998,70.650002,60.689999,70.029999,56.759663,64113100
2012-10-01,69.989998,71.790001,66.220001,67.410004,54.636147,72324100
2012-11-01,67.419998,69.250000,64.300003,67.919998,55.690250,55847900
2012-12-01,68.139999,71.500000,65.199997,66.500000,54.525936,69320100
2013-01-01,67.589996,72.870003,67.550003,71.889999,58.945400,57769100
2013-02-01,72.489998,75.970001,71.580002,74.360001,60.970654,46725400
2013-03-01,74.129997,78.459999,72.419998,75.970001,62.290756,52750300
2013-04-01,76.070000,81.449997,74.190002,81.440002,66.775833,65806700
2013-05-01,81.440002,84.220001,78.739998,82.110001,68.048424,60586600
2013-06-01,82.480003,83.300003,69.000000,71.959999,59.636654,77034300
2013-07-01,72.139999,76.620003,71.389999,73.809998,61.169834,78276600
2013-08-01,74.209999,74.970001,70.500000,72.250000,59.877003,66314900
2013-09-01,72.720001,78.339996,72.360001,73.639999,61.028946,70562800
2013-10-01,73.540001,75.260002,69.779999,73.500000,60.912914,69020600
2013-11-01,73.889999,79.449997,72.330002,77.470001,65.054092,61371800
2013-12-01,77.419998,83.449997,73.790001,82.220001,69.042824,75326700
2014-01-01,81.500000,85.879997,78.820000,79.879997,67.077827,70394800
2014-02-01,80.019997,84.750000,77.419998,83.349998,69.991714,47342400
2014-03-01,82.559998,84.690002,76.250000,79.720001,66.943497,69509700
2014-04-01,79.599998,80.389999,76.360001,80.220001,67.363358,71963300
2014-05-01,80.180000,81.489998,77.709999,81.449997,69.218452,42588900
2014-06-01,81.099998,84.559998,79.769997,80.839996,68.700066,60237800
2014-07-01,81.089996,81.690002,78.849998,79.279999,67.374359,50873500
2014-08-01,78.849998,81.989998,76.870003,81.059998,68.887032,42921000
2014-09-01,80.949997,82.160004,77.559998,81.320000,69.107994,67907500
2014-10-01,81.180000,81.419998,73.980003,81.120003,68.938026,75168600
2014-11-01,81.029999,86.489998,80.669998,86.330002,74.361427,43764800
2014-12-01,85.879997,91.940002,81.660004,89.309998,76.928261,62619800
2015-01-01,89.669998,91.339996,83.860001,84.029999,72.380280,54792200
2015-02-01,84.419998,91.440002,83.470001,90.029999,77.548439,41496100
2015-03-01,90.029999,94.980003,86.400002,93.690002,80.701019,68503900
2015-04-01,93.559998,96.779999,92.129997,92.650002,79.805222,48841600
2015-05-01,93.320000,97.949997,92.589996,96.040001,83.609985,39458400
2015-06-01,96.180000,100.470001,94.250000,96.779999,84.254219,49597500
2015-07-01,97.739998,103.989998,96.309998,103.110001,89.764954,48475700
2015-08-01,103.169998,105.370003,88.430000,94.269997,82.069061,56966300
2015-09-01,91.879997,99.940002,91.680000,98.260002,85.542686,60092500
2015-10-01,98.470001,109.860001,96.309998,107.199997,93.325615,55509800
2015-11-01,107.080002,108.430000,103.019997,107.220001,94.345901,46891900
2015-12-01,107.290001,109.650002,101.910004,104.500000,91.952515,54959900
2016-01-01,102.620003,105.650002,97.139999,105.540001,92.867653,66081200
2016-02-01,104.750000,106.800003,91.400002,100.260002,88.221634,72193500
2016-03-01,101.379997,116.510002,101.000000,115.400002,101.543724,68422700
2016-04-01,114.760002,116.519997,111.790001,112.919998,99.361519,49572000
2016-05-01,112.900002,119.720001,112.250000,118.970001,105.701530,37905300
2016-06-01,118.970001,120.779999,108.660004,113.290001,100.655014,50791400
2016-07-01,113.660004,118.000000,111.330002,112.809998,100.228546,43799800
2016-08-01,112.580002,116.199997,111.730003,115.000000,102.174301,42291400
2016-09-01,114.750000,124.959999,108.830002,122.169998,108.544640,58695000
2016-10-01,121.589996,122.470001,114.510002,116.239998,103.276001,50003000
2016-11-01,116.500000,121.529999,114.660004,119.430000,107.214020,54957500
2016-12-01,119.500000,125.720001,116.089996,117.129997,105.149284,49415000
2017-01-01,117.379997,118.360001,112.610001,113.870003,102.222733,52904600
2017-02-01,113.800003,123.430000,112.309998,122.500000,109.970016,38174000
2017-03-01,123.239998,126.529999,118.300003,119.879997,107.617981,65634500
2017-04-01,118.000000,121.349998,114.820000,121.300003,108.892746,42332600
2017-05-01,121.370003,124.599998,119.410004,124.470001,112.897758,40493000
2017-06-01,124.930000,128.470001,119.099998,123.680000,112.181221,56432600
2017-07-01,123.820000,129.699997,122.029999,128.820007,116.843330,33694900
2017-08-01,129.100006,130.919998,127.260002,130.759995,118.602959,34604900
2017-09-01,130.949997,138.699997,129.100006,135.070007,122.512238,50820700
2017-10-01,135.229996,143.779999,133.660004,142.360001,129.124512,41387500
2017-11-01,142.259995,148.600006,141.470001,148.009995,135.549454,34120000
2017-12-01,147.699997,158.440002,145.750000,153.089996,140.201767,40816400
2018-01-01,153.500000,162.600006,152.779999,160.699997,147.171066,42247000
2018-02-01,160.160004,165.580002,148.789993,161.009995,147.455032,43864100
2018-03-01,161.279999,164.300003,147.160004,153.500000,140.577240,66273100
2018-04-01,151.820007,155.699997,146.050003,151.199997,138.470901,42164300
2018-05-01,151.089996,157.649994,149.139999,155.740005,143.887268,37186500
2018-06-01,156.940002,165.559998,155.300003,163.589996,151.139847,57789200
2018-07-01,161.899994,168.949997,158.080002,159.330002,147.203995,42665600
2018-08-01,160.309998,169.919998,157.839996,169.070007,156.202789,37640800
2018-09-01,168.759995,175.639999,167.500000,170.199997,157.246780,40698200
2018-10-01,171.139999,174.820007,150.630005,157.619995,145.624176,53970000
2018-11-01,157.899994,165.940002,155.250000,164.520004,153.388336,47618200
2018-12-01,165.970001,168.369995,132.630005,141.009995,131.469009,58259200
2019-01-01,138.929993,154.899994,135.580002,153.550003,143.160538,43567200
2019-02-01,154.250000,162.500000,153.660004,161.380005,150.460754,34127700
2019-03-01,163.000000,177.490005,160.500000,176.020004,164.110229,45264400
2019-04-01,175.500000,182.830002,174.559998,182.669998,170.310226,35897100
2019-05-01,183.199997,183.350006,170.350006,178.070007,167.396652,39072700
2019-06-01,177.869995,187.309998,174.229996,184.770004,173.695007,39715600
2019-07-01,184.830002,197.470001,184.429993,192.580002,181.036880,34614000
2019-08-01,193.330002,200.679993,184.229996,198.169998,186.291809,40805700
2019-09-01,196.360001,202.800003,187.279999,192.350006,180.820694,43457400
2019-10-01,192.600006,193.369995,181.970001,185.419998,174.306046,42679200
2019-11-01,186.699997,201.660004,185.479996,201.160004,189.915070,30349000
2019-12-01,201.440002,213.250000,196.470001,210.570007,198.799042,39647400
2020-01-01,210.860001,211.919998,203.190002,205.210007,193.738708,46225400
2020-02-01,205.339996,216.389999,175.300003,180.589996,171.154099,42168200
2020-03-01,182.000000,191.899994,137.149994,163.259995,154.729614,105690400
2020-04-01,158.570007,188.169998,148.279999,185.190002,175.513763,59790800
2020-05-01,181.710007,204.179993,174.940002,201.619995,191.947449,41873500
2020-06-01,201.539993,217.889999,194.830002,214.720001,204.419022,55507600
2020-07-01,214.500000,225.740005,213.509995,224.779999,213.996399,36956200
2020-08-01,225.000000,243.539993,224.460007,239.929993,229.256424,31526600
2020-09-01,238.490005,247.820007,210.419998,225.990005,215.936584,48333500
2020-10-01,227.360001,234.710007,212.449997,216.910004,207.260513,37834400
2020-11-01,219.169998,250.910004,218.320007,249.089996,238.940948,35382000
2020-12-01,251.509995,271.179993,243.550003,261.209991,250.567123,45455800
2021-01-01,261.000000,266.529999,241.729996,241.919998,232.063080,38006100
2021-02-01,246.100006,261.609985,243.970001,250.899994,241.499634,34428900
2021-03-01,254.000000,281.299988,244.440002,276.250000,265.899841,58126700
2021-04-01,278.619995,293.279999,276.070007,289.970001,279.105835,38033500
2021-05-01,292.929993,294.500000,276.880005,282.160004,272.428955,39091400
2021-06-01,285.579987,297.799988,277.380005,294.790009,284.623413,42953300
2021-07-01,295.480011,321.000000,295.000000,317.679993,306.723938,38555900
2021-08-01,319.269989,338.649994,315.500000,336.559998,325.870117,32643800
2021-09-01,337.450012,345.519989,318.299988,319.920013,309.758636,45872700
2021-10-01,323.369995,359.619995,316.010010,358.790009,347.394043,35413000
2021-11-01,358.829987,374.920013,352.100006,357.399994,347.075500,45477600
2021-12-01,365.269989,417.369995,357.339996,414.549988,402.574615,53205200
2022-01-01,414.660004,415.529999,319.100006,353.579987,343.365906,63805000
2022-02-01,354.220001,360.100006,300.709991,316.019989,307.686554,48249200
2022-03-01,317.000000,344.459991,297.359985,337.230011,328.337280,62911400
2022-04-01,338.589996,345.299988,299.799988,300.359985,292.439484,45062200
2022-05-01,300.459991,315.880005,268.170013,298.459991,291.454834,50760000
2022-06-01,304.130005,312.320007,269.089996,277.649994,271.133301,51679000
2022-07-01,277.579987,307.760010,261.769989,306.260010,299.071838,39731900
2022-08-01,302.529999,322.880005,287.429993,288.459991,282.691528,36922600
2022-09-01,287.799988,296.809998,254.270004,257.299988,252.154663,50957600
2022-10-01,260.269989,288.220001,242.949997,283.899994,278.222778,46327800
2022-11-01,287.059998,300.970001,256.019989,300.929993,296.223694,39821400
2022-12-01,302.450012,305.130005,253.500000,266.839996,262.666809,50441000
2023-01-01,269.200012,287.970001,261.369995,279.049988,274.685822,45061600
2023-02-01,276.600006,295.790009,262.750000,265.549988,262.466187,35007000
2023-03-01,265.010010,285.959991,242.800003,285.809998,282.490906,69747200
2023-04-01,283.390015,288.649994,270.200012,280.290009,277.035034,43364700
2023-05-01,279.089996,318.910004,261.679993,305.920013,303.554749,61226100
2023-06-01,305.730011,327.929993,296.000000,308.579987,306.194183,62201300
2023-07-01,308.000000,324.190002,304.119995,316.350006,313.904114,36727800
2023-08-01,315.440002,326.230011,301.309998,323.769989,322.432709,35907900
2023-09-01,326.049988,330.440002,294.489990,307.109985,305.841522,43339600
2023-10-01,307.570007,315.429993,300.100006,301.829987,300.583313,19787000
