Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,3620.399902,4419.600098,3620.399902,4104.000000,4104.000000,106715
2010-04-01,4125.600098,4857.600098,4078.800049,4650.000000,4650.000000,100576
2010-05-01,4682.399902,4815.600098,3751.199951,4125.600098,4125.600098,90277
2010-06-01,4089.600098,4549.200195,3679.199951,3733.199951,3733.199951,82704
2010-07-01,3717.600098,4168.799805,3478.800049,3880.800049,3880.800049,81490
2010-08-01,3944.399902,4474.799805,3423.600098,3614.399902,3614.399902,104928
2010-09-01,3654.000000,4330.799805,3624.000000,3962.399902,3962.399902,82920
2010-10-01,4005.600098,4006.800049,3049.199951,3244.800049,3244.800049,195123
2010-11-01,3169.199951,3381.600098,2998.800049,3170.399902,3170.399902,126200
2010-12-01,3208.800049,3340.800049,3069.600098,3271.199951,3271.199951,102159
2011-01-01,3289.199951,3800.399902,2610.000000,2634.000000,2634.000000,249078
2011-02-01,2662.800049,2842.800049,2451.600098,2516.399902,2516.399902,128448
2011-03-01,2526.000000,2803.199951,2486.399902,2784.000000,2784.000000,96631
2011-04-01,2796.000000,3505.199951,2508.000000,3364.800049,3364.800049,186627
2011-05-01,3380.399902,4017.600098,2853.600098,3942.000000,3942.000000,203834
2011-06-01,3944.399902,3978.000000,3595.199951,3877.199951,3877.199951,101102
2011-07-01,3883.199951,3919.199951,3278.399902,3408.000000,3408.000000,80132
2011-08-01,3470.399902,3546.000000,2679.600098,3126.000000,3126.000000,128684
2011-09-01,3116.399902,3156.000000,2372.399902,2395.199951,2395.199951,86359
2011-10-01,2370.000000,2832.000000,2203.199951,2620.800049,2620.800049,81422
2011-11-01,2539.199951,2889.600098,2428.800049,2778.000000,2778.000000,95846
2011-12-01,2774.399902,2887.199951,2527.199951,2860.800049,2860.800049,58975
2012-01-01,2923.199951,3316.800049,2878.800049,3063.600098,3063.600098,98599
2012-02-01,3096.000000,3328.800049,2950.800049,3139.199951,3139.199951,81232
2012-03-01,3169.199951,3325.199951,3013.199951,3186.000000,3186.000000,64074
2012-04-01,3166.800049,3260.399902,2809.199951,3028.800049,3028.800049,56501
2012-05-01,3024.000000,3084.000000,2524.800049,2638.800049,2638.800049,72429
2012-06-01,2576.399902,2922.000000,2551.199951,2827.199951,2827.199951,47886
2012-07-01,2830.800049,3198.000000,2830.800049,2888.399902,2888.399902,54551
2012-08-01,2886.000000,2910.000000,2559.600098,2742.000000,2742.000000,65011
2012-09-01,2737.199951,3162.000000,2731.199951,3073.199951,3073.199951,63659
2012-10-01,3087.600098,3283.199951,2684.399902,2874.000000,2874.000000,143109
2012-11-01,2882.399902,3069.600098,2720.399902,3025.199951,3025.199951,48456
2012-12-01,2895.600098,3106.800049,2868.000000,2983.199951,2983.199951,51510
2013-01-01,3050.399902,3574.800049,2937.600098,3465.600098,3465.600098,83196
2013-02-01,3488.399902,3726.000000,3436.800049,3570.000000,3570.000000,49482
