Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,10560.000000,10880.000000,5660.000000,7520.000000,7520.000000,4016
2020-08-01,7880.000000,19160.000000,6400.000000,6420.000000,6420.000000,48047
2020-09-01,6260.000000,6540.000000,3240.000000,3900.000000,3900.000000,11072
2020-10-01,3980.000000,4700.000000,3420.000000,3840.000000,3840.000000,9946
2020-11-01,3860.000000,4800.000000,3720.000000,4080.000000,4080.000000,9674
2020-12-01,4180.000000,6640.000000,3820.000000,4160.000000,4160.000000,16294
2021-01-01,4160.000000,13460.000000,4100.000000,7460.000000,7460.000000,83719
2021-02-01,7248.000000,11180.000000,5840.000000,6060.000000,6060.000000,21696
2021-03-01,6300.000000,7560.000000,4520.000000,5100.000000,5100.000000,4286
2021-04-01,5400.000000,6040.000000,4920.000000,5720.000000,5720.000000,2414
2021-05-01,5820.000000,6400.000000,4340.000000,5620.000000,5620.000000,3860
2021-06-01,5700.000000,6180.000000,4960.000000,5180.000000,5180.000000,1449
2021-07-01,5200.000000,5920.000000,4200.000000,4280.000000,4280.000000,3696
2021-08-01,4240.000000,7900.000000,3520.000000,3780.000000,3780.000000,96978
2021-09-01,3736.000000,3760.000000,3030.000000,3380.000000,3380.000000,18239
2021-10-01,3340.000000,4380.000000,3020.000000,3260.000000,3260.000000,80180
2021-11-01,3300.000000,5440.000000,2020.000000,2340.000000,2340.000000,33768
2021-12-01,2000.000000,2040.000000,1026.000000,1072.000000,1072.000000,42257
2022-01-01,1066.000000,1180.000000,690.000000,882.000000,882.000000,9902
2022-02-01,914.000000,950.000000,640.000000,736.000000,736.000000,2882
2022-03-01,746.000000,1090.000000,662.000000,914.000000,914.000000,10896
2022-04-01,900.000000,1020.000000,606.000000,640.000000,640.000000,5276
2022-05-01,660.000000,760.000000,482.000000,566.000000,566.000000,2915
2022-06-01,580.000000,700.000000,248.000000,286.000000,286.000000,48633
2022-07-01,290.000000,688.000000,260.000000,316.000000,316.000000,142115
2022-08-01,320.000000,390.000000,300.000000,306.000000,306.000000,17391
2022-09-01,310.000000,1139.599976,103.199997,135.600006,135.600006,2594554
2022-10-01,140.399994,178.800003,101.199997,107.599998,107.599998,1747249
2022-11-01,106.000000,108.800003,62.799999,71.599998,71.599998,133272
2022-12-01,70.000000,72.800003,40.000000,46.200001,46.200001,42198
2023-01-01,44.000000,74.000000,44.000000,54.400002,54.400002,150973
2023-02-01,55.599998,65.919998,44.400002,45.200001,45.200001,67800
2023-03-01,47.200001,47.200001,33.200001,36.439999,36.439999,21941
2023-04-01,36.480000,76.400002,23.200001,23.480000,23.480000,867075
2023-05-01,24.000000,32.880001,22.000000,24.400000,24.400000,290744
2023-06-01,24.000000,25.600000,16.400000,18.000000,18.000000,54730
2023-07-01,18.000000,18.400000,15.600000,15.920000,15.920000,33992
2023-08-01,16.000000,68.080002,7.340000,55.000000,55.000000,7036896
2023-09-01,33.000000,53.750000,12.100000,12.490000,12.490000,5882900
2023-10-01,12.150000,14.100000,10.020000,10.020000,10.020000,668800
