Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,7.920000,8.900000,5.520000,6.040000,6.040000,2704800
2010-04-01,6.000000,6.080000,4.640000,4.840000,4.840000,1365200
2010-05-01,4.850000,6.280000,4.800000,6.180000,6.180000,609000
2010-06-01,6.100000,6.250000,5.500000,5.980000,5.980000,215900
2010-07-01,5.750000,5.890000,4.450000,5.280000,5.280000,208600
2010-08-01,5.300000,5.500000,4.580000,5.220000,5.220000,104700
2010-09-01,5.220000,5.220000,3.750000,3.970000,3.970000,664700
2010-10-01,3.970000,4.030000,2.920000,3.040000,3.040000,1412600
2010-11-01,3.020000,4.300000,2.800000,4.150000,4.150000,968800
2010-12-01,4.100000,4.630000,3.720000,4.100000,4.100000,758900
2011-01-01,4.190000,5.030000,4.160000,4.630000,4.630000,676800
2011-02-01,4.560000,4.950000,4.000000,4.490000,4.490000,430900
2011-03-01,4.500000,5.300000,3.560000,5.010000,5.010000,889700
2011-04-01,5.050000,6.210000,4.970000,5.990000,5.990000,831700
2011-05-01,6.120000,6.160000,5.340000,5.660000,5.660000,659800
2011-06-01,5.530000,6.000000,4.860000,5.430000,5.430000,591600
2011-07-01,5.450000,6.200000,5.450000,5.830000,5.830000,739400
2011-08-01,6.130000,6.380000,3.760000,5.010000,5.010000,659600
2011-09-01,5.000000,5.190000,3.960000,4.050000,4.050000,277700
2011-10-01,4.110000,4.150000,3.250000,3.850000,3.850000,326100
2011-11-01,3.840000,4.060000,3.570000,3.800000,3.800000,224600
2011-12-01,3.780000,3.860000,3.000000,3.570000,3.570000,347800
2012-01-01,3.580000,3.890000,3.180000,3.650000,3.650000,231700
2012-02-01,3.690000,3.820000,3.380000,3.600000,3.600000,345000
2012-03-01,3.710000,5.060000,3.500000,4.950000,4.950000,584700
2012-04-01,5.000000,5.350000,4.620000,4.620000,4.620000,370600
2012-05-01,4.620000,4.970000,3.570000,3.990000,3.990000,526700
2012-06-01,3.900000,4.930000,3.570000,4.910000,4.910000,215600
2012-07-01,4.910000,5.120000,4.270000,4.430000,4.430000,180200
2012-08-01,4.380000,4.890000,4.060000,4.870000,4.870000,504800
2012-09-01,4.800000,5.500000,4.700000,5.350000,5.350000,560700
2012-10-01,5.450000,5.960000,5.000000,5.430000,5.430000,489500
2012-11-01,5.500000,6.900000,5.120000,6.780000,6.780000,690000
2012-12-01,6.870000,7.640000,6.340000,7.150000,7.150000,783300
2013-01-01,7.440000,9.050000,7.200000,8.280000,8.280000,1844000
2013-02-01,8.150000,10.000000,7.120000,8.810000,8.810000,1953900
2013-03-01,8.700000,14.070000,8.110000,13.190000,13.190000,1992800
2013-04-01,13.260000,14.600000,11.170000,11.840000,11.840000,3766300
2013-05-01,11.820000,18.900000,11.740000,17.990000,17.990000,3124100
2013-06-01,18.000000,20.719999,16.620001,19.740000,19.740000,4322000
2013-07-01,19.820000,23.709999,17.620001,19.639999,19.639999,4103500
2013-08-01,19.910000,23.080000,19.000000,21.180000,21.180000,2814100
2013-09-01,21.500000,29.940001,20.549999,28.969999,28.969999,2518700
2013-10-01,28.900000,32.400002,23.809999,25.850000,25.850000,2903300
2013-11-01,25.969999,29.799999,21.500000,29.000000,29.000000,2102900
2013-12-01,29.000000,29.350000,21.129999,22.450001,22.450001,3567900
2014-01-01,21.889999,25.980000,21.760000,23.639999,23.639999,3105700
2014-02-01,23.540001,28.969999,21.500000,28.760000,28.760000,2527300
2014-03-01,28.299999,29.450001,21.500000,23.049999,23.049999,2867000
2014-04-01,23.070000,24.320000,18.910000,21.620001,21.620001,1850000
2014-05-01,21.440001,23.980000,20.700001,22.760000,22.760000,1457600
2014-06-01,22.750000,24.200001,21.480000,22.480000,22.480000,1010400
2014-07-01,22.370001,23.490000,21.299999,22.139999,22.139999,930900
2014-08-01,23.100000,23.500000,21.549999,21.900000,21.900000,807600
2014-09-01,21.900000,22.059999,17.020000,19.600000,19.600000,932900
2014-10-01,19.690001,20.760000,17.059999,19.870001,19.870001,1179800
2014-11-01,20.030001,23.360001,19.650000,23.080000,23.080000,822600
2014-12-01,22.590000,24.290001,21.020000,24.270000,24.270000,1280500
2015-01-01,24.290001,24.680000,21.629999,22.180000,22.180000,1147200
2015-02-01,22.100000,22.270000,20.639999,21.900000,21.900000,996300
2015-03-01,21.820000,23.490000,21.290001,23.020000,23.020000,1763300
2015-04-01,23.000000,29.049999,22.860001,26.840000,26.840000,1460500
2015-05-01,26.000000,28.490000,24.540001,28.010000,28.010000,1324700
2015-06-01,28.190001,29.190001,26.809999,27.860001,27.860001,1216900
2015-07-01,28.049999,28.530001,25.000000,27.139999,27.139999,1944400
2015-08-01,27.150000,30.900000,26.240000,28.740000,28.740000,1482800
2015-09-01,28.459999,35.830002,28.010000,31.150000,31.150000,1789300
2015-10-01,30.980000,38.080002,22.750000,24.980000,24.980000,2186500
2015-11-01,25.240000,26.030001,18.750000,22.790001,22.790001,2130100
2015-12-01,22.830000,25.760000,21.969999,23.280001,23.280001,1441800
2016-01-01,23.020000,24.330000,18.160000,21.209999,21.209999,2012100
2016-02-01,21.200001,24.049999,19.559999,22.700001,22.700001,1350700
2016-03-01,22.950001,24.860001,15.330000,17.190001,17.190001,2064100
2016-04-01,17.150000,21.600000,16.860001,18.500000,18.500000,1140400
2016-05-01,18.469999,20.620001,17.670000,20.000000,20.000000,921100
2016-06-01,20.549999,21.190001,16.549999,17.430000,17.430000,990000
2016-07-01,17.389999,20.020000,17.350000,18.860001,18.860001,709000
2016-08-01,18.809999,25.840000,18.260000,23.980000,23.980000,1392800
2016-09-01,24.170000,27.430000,23.559999,26.160000,26.160000,1423900
2016-10-01,25.940001,27.420000,24.850000,25.299999,25.299999,732900
2016-11-01,25.350000,35.500000,24.400000,34.700001,34.700001,2184800
