Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,9.617000,10.000000,9.610000,9.840000,9.840000,1444500
2021-05-01,10.000000,10.000000,9.650000,9.740000,9.740000,124600
2021-06-01,9.700000,9.780000,9.660000,9.720000,9.720000,119600
2021-07-01,9.700000,9.770000,9.610000,9.720000,9.720000,640400
2021-08-01,9.710000,9.770000,9.650000,9.690000,9.690000,326200
2021-09-01,9.779000,9.800000,9.670000,9.800000,9.800000,304300
2021-10-01,9.800000,9.860000,9.780000,9.810000,9.810000,761000
2021-11-01,9.824000,9.880000,9.810000,9.840000,9.840000,65200
2021-12-01,9.840000,9.840000,9.720000,9.790000,9.790000,738000
2022-01-01,9.800000,9.810000,9.710000,9.780000,9.780000,408300
2022-02-01,9.780000,9.830000,9.780000,9.830000,9.830000,75200
2022-03-01,9.840000,9.900000,9.750000,9.880000,9.880000,644900
2022-04-01,9.890000,9.920000,9.840000,9.890000,9.890000,337900
2022-05-01,9.890000,9.939000,9.800000,9.930000,9.930000,453300
2022-06-01,9.930000,9.930000,9.860000,9.890000,9.890000,1491600
2022-07-01,9.880000,9.935000,9.880000,9.930000,9.930000,329400
2022-08-01,9.960000,9.970000,9.930000,9.940000,9.940000,319900
2022-09-01,9.940000,9.960000,9.910000,9.950000,9.950000,745300
2022-10-01,9.960000,10.030000,9.950000,10.000000,10.000000,555700
2022-11-01,10.000000,10.060000,10.000000,10.050000,10.050000,251600
2022-12-01,10.070000,10.180000,10.050000,10.180000,10.180000,777700
2023-01-01,10.180000,12.240000,9.500000,10.480000,10.480000,1223000
2023-02-01,10.510000,10.548000,2.300000,4.400000,4.400000,393600
2023-03-01,4.450000,4.909000,3.000000,3.300000,3.300000,32600
2023-04-01,3.500000,3.500000,1.710000,3.400000,3.400000,31200
2023-05-01,3.400000,3.400000,2.450000,2.750000,2.750000,15000
2023-06-01,2.750000,4.100000,2.697000,3.300000,3.300000,36600
2023-07-01,2.810000,3.090000,1.770000,1.860000,1.860000,1405900
2023-08-01,1.970000,2.200000,1.710000,2.020000,2.020000,194700
2023-09-01,1.910000,2.030000,0.930000,1.110000,1.110000,358700
2023-10-01,1.190000,1.376000,0.970000,1.170000,1.170000,100500
