Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,9.860000,9.900000,9.150000,9.370000,9.370000,2081100
2020-04-01,9.480000,9.790000,9.420000,9.790000,9.790000,1211800
2020-05-01,9.790000,9.790000,9.790000,9.790000,9.790000,0
2020-06-01,9.610000,9.920000,9.610000,9.920000,9.920000,448300
2020-07-01,9.885000,10.200000,9.815000,9.940000,9.940000,1682400
2020-08-01,9.960000,10.050000,9.830000,9.890000,9.890000,1398100
2020-09-01,9.800000,10.100000,9.800000,10.000000,10.000000,3004000
2020-10-01,10.100000,10.113000,9.810000,9.890000,9.890000,1992900
2020-11-01,9.950000,11.500000,9.950000,11.050000,11.050000,16392500
2020-12-01,11.250000,19.840000,10.750000,14.540000,14.540000,60899600
2021-01-01,15.990000,19.680000,14.630000,14.760000,14.760000,24432900
2021-02-01,15.230000,21.834999,13.750000,13.860000,13.860000,25747100
2021-03-01,14.670000,18.910000,10.700000,11.600000,11.600000,45065000
2021-04-01,12.150000,12.800000,8.570000,9.670000,9.670000,32637700
2021-05-01,9.800000,10.030000,7.050000,9.760000,9.760000,28818600
2021-06-01,9.950000,12.470000,9.785000,10.570000,10.570000,54453200
2021-07-01,10.680000,11.480000,8.403000,8.760000,8.760000,25676300
2021-08-01,8.780000,10.500000,7.510000,9.810000,9.810000,23503900
2021-09-01,9.930000,10.720000,7.840000,7.940000,7.940000,33956700
2021-10-01,8.030000,8.380000,7.250000,7.760000,7.760000,16349100
2021-11-01,7.850000,10.480000,7.750000,9.950000,9.950000,40500200
2021-12-01,10.165000,10.750000,7.550000,7.560000,7.560000,44411000
2022-01-01,7.740000,8.070000,4.370000,5.230000,5.230000,28579200
2022-02-01,5.310000,5.680000,3.850000,4.200000,4.200000,30083800
2022-03-01,4.210000,4.715000,3.260000,4.330000,4.330000,26919200
2022-04-01,4.350000,4.450000,3.260000,3.280000,3.280000,19353600
2022-05-01,3.280000,3.980000,2.465000,3.250000,3.250000,24484700
2022-06-01,3.220000,3.720000,2.650000,3.130000,3.130000,23473900
2022-07-01,3.130000,3.880000,2.895000,3.530000,3.530000,23826000
2022-08-01,3.610000,4.640000,2.700000,3.080000,3.080000,50192400
2022-09-01,3.110000,3.110000,1.850000,1.870000,1.870000,35972900
2022-10-01,1.910000,2.270000,1.750000,2.000000,2.000000,25507600
2022-11-01,2.080000,2.385000,1.460000,1.680000,1.680000,32081100
2022-12-01,1.690000,1.780000,1.200000,1.360000,1.360000,28786100
2023-01-01,1.380000,1.795000,1.170000,1.690000,1.690000,24105200
2023-02-01,1.680000,2.100000,1.510000,1.790000,1.790000,21372700
2023-03-01,1.850000,2.000000,1.080000,1.190000,1.190000,32096400
2023-04-01,1.190000,1.200000,0.902000,0.992000,0.992000,18735500
2023-05-01,1.000000,1.280000,0.890000,1.200000,1.200000,25327100
2023-06-01,1.200000,1.520000,1.110000,1.250000,1.250000,22551000
2023-07-01,1.230000,1.430000,1.050000,1.250000,1.250000,14269400
2023-08-01,1.250000,1.260000,0.935000,0.943000,0.943000,21604800
2023-09-01,0.968000,1.080000,0.701000,0.765000,0.765000,17197500
2023-10-01,0.770000,0.798000,0.670000,0.720000,0.720000,7184000
