Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,34.290001,37.099998,33.860001,35.869999,29.496714,19490900
2010-04-01,36.090000,40.290001,35.009998,35.020000,28.797745,30161600
2010-05-01,35.130001,35.730000,26.980000,28.770000,23.658224,40495700
2010-06-01,28.440001,30.120001,25.480000,26.969999,22.178040,34682500
2010-07-01,27.000000,35.230000,26.240000,34.759998,28.583933,37013100
2010-08-01,35.209999,37.680000,32.360001,33.049999,27.177759,41233800
2010-09-01,33.730000,40.730000,32.910000,39.009998,32.078800,31069500
2010-10-01,39.320000,46.060001,36.520000,42.470001,34.924057,44968600
2010-11-01,42.580002,47.250000,41.750000,45.139999,37.119640,29437200
2010-12-01,47.290001,51.509998,44.180000,50.660000,41.658867,27950500
2011-01-01,51.209999,56.180000,49.820000,50.700001,41.691757,33480700
2011-02-01,51.230000,57.200001,50.419998,54.779999,45.046833,33704400
2011-03-01,55.049999,56.369999,48.520000,54.970001,45.203083,28420200
2011-04-01,55.869999,59.810001,49.450001,57.580002,47.349335,29328500
2011-05-01,57.930000,59.220001,47.500000,51.669998,42.489399,30409500
2011-06-01,51.419998,51.599998,44.560001,49.360001,40.589844,30115000
2011-07-01,49.529999,52.980000,45.439999,47.419998,38.994545,38523700
2011-08-01,48.480000,48.830002,35.090000,42.840000,35.228310,47708100
2011-09-01,42.759998,45.340000,33.299999,34.570000,28.427694,44106400
2011-10-01,34.119999,46.349998,30.110001,43.830002,36.042412,41991300
2011-11-01,41.810001,47.570000,40.740002,45.750000,37.621262,36145000
2011-12-01,45.480000,46.549999,39.950001,42.970001,35.335197,31559000
2012-01-01,44.139999,53.689999,43.990002,50.930000,41.880894,35552000
2012-02-01,51.650002,54.000000,50.570000,51.630001,42.456524,28730600
2012-03-01,51.540001,52.369999,46.099998,47.209999,38.821854,25435700
2012-04-01,47.250000,48.220001,43.320000,46.570000,38.295578,24281400
2012-05-01,51.220001,51.250000,38.430000,40.209999,33.065598,43934700
2012-06-01,39.180000,45.930000,38.090000,45.730000,37.604820,30283700
2012-07-01,45.889999,46.320000,40.290001,43.840000,36.050621,29747700
2012-08-01,44.099998,46.330002,41.279999,42.090000,34.611565,24664200
2012-09-01,42.130001,48.000000,41.169998,47.480000,39.043877,21270800
2012-10-01,47.480000,49.900002,44.200001,45.509998,37.423904,21887200
2012-11-01,45.740002,47.250000,42.480000,46.150002,37.950188,25662800
2012-12-01,46.560001,49.849998,45.290001,49.119999,40.392483,19253500
2013-01-01,50.439999,54.419998,49.610001,53.000000,43.583103,17079000
2013-02-01,53.439999,55.040001,49.060001,51.480000,42.333183,23939800
2013-03-01,51.110001,55.150002,49.810001,52.119999,42.938076,22622000
2013-04-01,52.209999,54.299999,47.290001,53.250000,43.869003,27830400
2013-05-01,53.209999,56.830002,51.669998,55.470001,45.697922,20498900
2013-06-01,55.590000,56.500000,50.049999,50.189999,41.421749,15681600
2013-07-01,50.360001,57.000000,49.630001,56.250000,46.423058,21375100
