Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,1.010000,1.010000,1.010000,1.010000,1.010000,0
2018-04-01,1.010000,1.010000,1.010000,1.010000,1.010000,0
2018-05-01,1.010000,1.010000,1.010000,1.010000,1.010000,0
2018-06-01,1.010000,1.010000,1.010000,1.010000,1.010000,0
2018-07-01,1.010000,5.000000,1.010000,5.000000,5.000000,200
2018-08-01,5.000000,5.000000,5.000000,5.000000,5.000000,100
2018-09-01,5.000000,5.000000,5.000000,5.000000,5.000000,0
2018-10-01,5.000000,5.000000,5.000000,5.000000,5.000000,0
2018-11-01,5.000000,5.000000,5.000000,5.000000,5.000000,250
2018-12-01,5.000000,5.000000,5.000000,5.000000,5.000000,0
2019-01-01,5.000000,7.000000,5.000000,7.000000,7.000000,1450
2019-02-01,7.000000,7.500000,3.600000,3.680000,3.680000,129550
2019-03-01,3.680000,3.950000,2.050000,3.950000,3.950000,555854
2019-04-01,3.820000,4.000000,2.990000,3.060000,3.060000,530952
2019-05-01,3.060000,3.250000,2.040000,2.350000,2.350000,186428
2019-06-01,2.370000,3.800000,0.990000,2.160000,2.160000,656911
2019-07-01,2.250000,2.250000,0.550000,1.900000,1.900000,968130
2019-08-01,1.900000,2.420000,0.130000,0.199900,0.199900,2771653
2019-09-01,0.199900,0.214000,0.110000,0.127170,0.127170,161682
2019-10-01,0.129000,0.151100,0.050000,0.050000,0.050000,214056
2019-11-01,0.050000,0.090000,0.032000,0.040000,0.040000,132565
2019-12-01,0.078000,0.078000,0.035000,0.035000,0.035000,105457
2020-01-01,0.035000,0.050000,0.035000,0.037500,0.037500,37070
2020-02-01,0.037500,0.045950,0.032000,0.040000,0.040000,13672
2020-03-01,0.040000,0.040000,0.025000,0.040000,0.040000,46986
2020-04-01,0.020000,0.040000,0.010000,0.040000,0.040000,43478
2020-05-01,0.040000,0.049900,0.015000,0.021000,0.021000,43437
2020-06-01,0.021000,0.080000,0.020000,0.025000,0.025000,129718
2020-07-01,0.060000,0.070000,0.025000,0.035700,0.035700,79517
2020-08-01,0.030000,0.050000,0.025000,0.030000,0.030000,32155
2020-09-01,0.030000,0.042400,0.020000,0.025000,0.025000,65535
2020-10-01,0.025000,0.065000,0.020000,0.050000,0.050000,176240
2020-11-01,0.080000,0.080000,0.011000,0.011000,0.011000,243957
2020-12-01,0.011000,0.028250,0.000400,0.011100,0.011100,112016
2021-01-01,0.011100,0.080000,0.011100,0.011100,0.011100,92939
2021-02-01,0.100000,0.100000,0.011200,0.090000,0.090000,45367
2021-03-01,0.012000,0.070000,0.012000,0.013000,0.013000,12845
2021-04-01,0.013000,0.060000,0.012200,0.050000,0.050000,26930
2021-05-01,0.060000,0.060000,0.013000,0.014600,0.014600,52308
2021-06-01,0.014600,0.022250,0.014600,0.014600,0.014600,4540
2021-07-01,0.014600,0.017300,0.000100,0.000100,0.000100,84192
2021-08-01,0.000100,0.007650,0.000100,0.000300,0.000300,8939
2021-09-01,0.000300,0.007550,0.000100,0.000100,0.000100,3030
2021-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,10000
2021-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,20100
2021-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,29592
2022-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,680
2022-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,2500
2022-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,1096
2022-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,450
2023-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,27582
2023-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,3900
2023-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,7275
2023-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,200
2023-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
