Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.493000,0.493000,0.410000,0.410000,0.410000,54200
2010-04-01,0.410000,0.450000,0.330000,0.335000,0.335000,39498
2010-05-01,0.320000,0.349000,0.282000,0.320000,0.320000,6500
2010-06-01,0.320000,0.403000,0.320000,0.340000,0.340000,0
2010-07-01,0.320000,0.350000,0.320000,0.340000,0.340000,5200
2010-08-01,0.350000,0.419000,0.320000,0.419000,0.419000,19000
2010-09-01,0.480000,0.561000,0.400000,0.480000,0.480000,38701
2010-10-01,0.490000,0.600000,0.460000,0.600000,0.600000,14751
2010-11-01,0.670000,0.900000,0.570000,0.816000,0.816000,37804
2010-12-01,0.790000,0.860000,0.680000,0.840000,0.840000,50540
2011-01-01,0.900000,1.040000,0.850000,0.980000,0.980000,10420
2011-02-01,1.004000,1.320000,0.990000,1.100000,1.100000,18687
2011-03-01,1.125000,1.125000,0.839000,0.900000,0.900000,37246
2011-04-01,0.910000,0.960000,0.810000,0.921000,0.921000,66590
2011-05-01,0.930000,1.050000,0.830000,0.980000,0.980000,10250
2011-06-01,1.000000,1.125000,0.940000,1.040000,1.040000,200
2011-07-01,1.010000,1.100000,0.960000,1.080000,1.080000,8500
2011-08-01,1.060000,1.060000,0.760000,0.930000,0.930000,6000
2011-09-01,0.950000,0.970000,0.640000,0.650000,0.650000,1200
2011-10-01,0.610000,0.950000,0.540000,0.900000,0.900000,200
2011-11-01,0.970000,1.050000,0.900000,1.050000,1.050000,3500
2011-12-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-01-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-02-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-03-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-04-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-05-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-06-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-07-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-08-01,1.050000,1.050000,1.050000,1.050000,1.050000,0
2012-09-01,1.050000,1.050000,0.371000,0.377000,0.377000,0
2012-10-01,0.366000,0.375000,0.322000,0.351000,0.351000,0
2012-11-01,0.362000,0.397000,0.350000,0.350000,0.350000,600
2012-12-01,0.342000,0.372000,0.320000,0.320000,0.320000,0
2013-01-01,0.320000,0.386000,0.315000,0.319000,0.319000,0
2013-02-01,0.319000,0.335000,0.308000,0.322000,0.322000,6000
2013-03-01,0.328000,0.350000,0.327000,0.348000,0.348000,0
2013-04-01,0.348000,0.348000,0.310000,0.346000,0.346000,0
2013-05-01,0.346000,0.547000,0.346000,0.516000,0.516000,7700
2013-06-01,0.528000,0.528000,0.380000,0.392000,0.392000,14500
2013-07-01,0.392000,0.395000,0.317000,0.317000,0.317000,0
2013-08-01,0.303000,0.332000,0.280000,0.295000,0.295000,0
2013-09-01,0.291000,0.329000,0.282000,0.296000,0.296000,0
2013-10-01,0.287000,0.287000,0.271000,0.283000,0.283000,6000
2013-11-01,0.282000,0.293000,0.241000,0.241000,0.241000,10000
