Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,4.950000,5.100000,4.800000,5.100000,5.100000,3400
2015-08-01,5.250000,5.250000,5.000000,5.000000,5.000000,3200
2015-09-01,5.000000,5.000000,3.500000,4.250000,4.250000,9600
2015-10-01,4.250000,4.500000,1.950000,3.100000,3.100000,23500
2015-11-01,3.060000,3.060000,1.980000,1.980000,1.980000,23300
2015-12-01,1.980000,2.000000,1.510000,1.600000,1.600000,229700
2016-01-01,1.600000,1.700000,1.590000,1.640000,1.640000,156400
2016-02-01,1.640000,1.700000,1.510000,1.550000,1.550000,215700
2016-03-01,1.550000,2.140000,1.530000,2.110000,2.110000,743400
2016-04-01,2.150000,3.990000,1.850000,3.000000,3.000000,251900
2016-05-01,3.250000,4.900000,2.400000,4.290000,4.290000,122100
2016-06-01,4.160000,4.500000,3.750000,4.190000,4.190000,126300
2016-07-01,3.960000,3.960000,3.510000,3.750000,3.750000,39900
2016-08-01,3.700000,4.010000,3.490000,3.710000,3.710000,368200
2016-09-01,3.700000,4.500000,3.640000,4.280000,4.280000,492500
2016-10-01,4.280000,5.145000,3.910000,5.145000,5.145000,245100
2016-11-01,5.150000,6.300000,5.100000,5.700000,5.700000,99400
2016-12-01,5.810000,6.250000,5.500000,5.880000,5.880000,154800
2017-01-01,5.900000,7.800000,5.250000,5.690000,5.690000,128600
2017-02-01,5.600000,6.850000,5.450000,6.750000,6.750000,171300
2017-03-01,6.700000,14.000000,6.550000,12.840000,12.840000,1557400
2017-04-01,12.900000,13.010000,9.600000,9.860000,9.860000,1348000
2017-05-01,9.980000,10.800000,9.330000,10.050000,10.050000,780700
2017-06-01,9.870000,10.200000,8.350000,8.740000,8.740000,3321200
2017-07-01,8.740000,8.770000,6.500000,6.940000,6.940000,1501700
2017-08-01,6.920000,6.960000,5.110000,6.720000,6.720000,1693400
2017-09-01,6.730000,8.090000,6.190000,6.520000,6.520000,1476600
2017-10-01,6.650000,7.210000,5.480000,6.090000,6.090000,723700
2017-11-01,6.140000,7.010000,4.910000,6.800000,6.800000,1568800
2017-12-01,6.520000,7.300000,5.750000,6.230000,6.230000,1655300
2018-01-01,6.370000,7.130000,5.620000,5.820000,5.820000,2128300
2018-02-01,5.800000,7.050000,5.650000,5.760000,5.760000,2528700
2018-03-01,5.800000,6.890000,5.430000,5.830000,5.830000,2743100
2018-04-01,5.810000,5.810000,4.860000,5.070000,5.070000,2023100
2018-05-01,5.050000,6.980000,5.050000,6.620000,6.620000,1580900
2018-06-01,6.574000,8.639000,6.280000,7.270000,7.270000,4713600
2018-07-01,7.180000,9.500000,6.960000,7.930000,7.930000,3294200
2018-08-01,8.000000,8.600000,6.810000,8.340000,8.340000,1810500
2018-09-01,8.270000,8.563000,7.470000,7.870000,7.870000,1666900
2018-10-01,8.300000,8.600000,3.460000,4.070000,4.070000,11122200
2018-11-01,4.080000,5.300000,3.400000,5.000000,5.000000,10187100
2018-12-01,5.200000,5.800000,4.600000,4.970000,4.970000,3242100
2019-01-01,4.900000,7.864000,4.900000,7.550000,7.550000,4791200
2019-02-01,7.500000,7.620000,6.420000,6.580000,6.580000,3578100
2019-03-01,6.465000,6.910000,5.430000,5.810000,5.810000,5352400
2019-04-01,5.840000,6.980000,5.750000,6.600000,6.600000,5311700
2019-05-01,6.610000,9.000000,6.200000,6.960000,6.960000,14040600
2019-06-01,6.920000,7.650000,5.720000,6.400000,6.400000,10444600
2019-07-01,6.460000,6.600000,5.170000,5.820000,5.820000,12503000
2019-08-01,5.830000,7.516000,5.240000,7.320000,7.320000,9195400
2019-09-01,7.380000,8.770000,6.950000,7.750000,7.750000,10582800
2019-10-01,7.780000,8.660000,7.320000,8.170000,8.170000,7191700
2019-11-01,8.170000,8.400000,5.960000,7.630000,7.630000,5669100
2019-12-01,7.740000,8.260000,6.650000,8.000000,8.000000,6286200
2020-01-01,8.080000,9.250000,7.128000,7.350000,7.350000,9204000
2020-02-01,7.500000,8.360000,6.460000,7.240000,7.240000,7893800
2020-03-01,7.340000,7.590000,3.760000,5.370000,5.370000,14977400
2020-04-01,5.250000,9.310000,4.210000,9.060000,9.060000,22137500
2020-05-01,8.740000,8.985000,7.000000,7.390000,7.390000,13380600
2020-06-01,7.420000,9.400000,7.250000,8.290000,8.290000,14864100
2020-07-01,8.330000,8.878000,7.370000,7.940000,7.940000,10045600
2020-08-01,7.990000,9.550000,7.660000,7.930000,7.930000,11971900
2020-09-01,7.920000,8.880000,7.310000,8.160000,8.160000,8144300
2020-10-01,8.210000,8.920000,7.610000,8.290000,8.290000,8202500
2020-11-01,8.580000,8.900000,7.410000,7.610000,7.610000,14021400
2020-12-01,7.680000,13.230000,7.400000,12.230000,12.230000,22989200
2021-01-01,12.490000,17.959999,11.560000,15.080000,15.080000,16269900
2021-02-01,15.930000,19.150000,13.180000,14.290000,14.290000,19676000
2021-03-01,14.700000,15.660000,11.260000,13.340000,13.340000,19955700
2021-04-01,13.710000,14.380000,10.600000,11.230000,11.230000,11089000
2021-05-01,11.480000,11.480000,8.050000,9.580000,9.580000,11993900
2021-06-01,9.660000,11.500000,9.130000,10.710000,10.710000,13120400
2021-07-01,10.760000,11.100000,8.620000,9.680000,9.680000,7690100
2021-08-01,9.760000,10.240000,7.700000,9.920000,9.920000,10007600
2021-09-01,9.910000,10.750000,9.080000,9.700000,9.700000,8570700
2021-10-01,9.790000,9.815000,7.090000,7.520000,7.520000,11165500
2021-11-01,7.570000,8.591000,6.270000,6.940000,6.940000,12432700
2021-12-01,7.090000,7.620000,5.880000,6.680000,6.680000,15133400
2022-01-01,6.790000,7.100000,4.580000,6.050000,6.050000,14901000
2022-02-01,5.990000,6.430000,5.100000,6.300000,6.300000,13568500
2022-03-01,6.300000,7.000000,5.150000,6.500000,6.500000,10530600
2022-04-01,6.510000,7.130000,4.250000,4.440000,4.440000,9793000
2022-05-01,4.500000,4.995000,3.250000,4.000000,4.000000,13497600
2022-06-01,4.010000,4.660000,3.250000,3.700000,3.700000,11116600
2022-07-01,3.690000,4.410000,3.335000,4.280000,4.280000,5122300
2022-08-01,4.260000,5.240000,4.150000,4.380000,4.380000,6106300
2022-09-01,4.220000,4.460000,2.770000,2.970000,2.970000,8897700
2022-10-01,2.990000,3.380000,2.280000,3.330000,3.330000,11871000
2022-11-01,3.430000,3.980000,3.030000,3.800000,3.800000,7298600
2022-12-01,3.830000,3.960000,2.350000,2.820000,2.820000,7803600
2023-01-01,2.850000,3.780000,2.620000,3.690000,3.690000,18120900
2023-02-01,3.880000,4.955000,3.535000,3.740000,3.740000,16359800
2023-03-01,3.770000,3.930000,2.630000,3.080000,3.080000,16379800
2023-04-01,3.080000,3.479000,2.735000,2.850000,2.850000,8846100
2023-05-01,2.900000,3.220000,2.620000,3.160000,3.160000,11865000
2023-06-01,3.180000,3.570000,2.834000,3.180000,3.180000,10267700
2023-07-01,3.160000,3.240000,2.295000,2.390000,2.390000,13576400
2023-08-01,2.380000,2.389000,1.500000,1.510000,1.510000,14060300
2023-09-01,1.520000,1.660000,0.703000,0.753000,0.753000,34223700
2023-10-01,0.760000,0.940000,0.700000,0.750000,0.750000,5258000
