Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,7.686667,8.083333,7.686667,7.816667,5.381355,32700
2010-04-01,7.816667,8.666667,7.700000,8.000000,5.560528,46200
2010-05-01,8.000000,8.333333,8.000000,8.333333,5.792215,8400
2010-06-01,8.333333,8.333333,8.000000,8.016667,5.572112,22500
2010-07-01,8.016667,8.333333,8.000000,8.330000,5.842361,8100
2010-08-01,8.330000,8.333333,8.083333,8.200000,5.751184,28500
2010-09-01,8.200000,8.333333,8.166667,8.333333,5.844697,9600
2010-10-01,8.333333,8.666667,8.333333,8.666667,6.133003,13800
2010-11-01,9.000000,9.000000,8.833333,8.916667,6.309916,9600
2010-12-01,8.916667,10.000000,7.936667,8.133333,5.755588,36000
2011-01-01,8.666667,9.170000,8.500000,9.170000,6.542497,13500
2011-02-01,9.183333,9.183333,8.683333,8.683333,6.195277,19200
2011-03-01,8.683333,8.833333,8.500000,8.666667,6.183386,18300
2011-04-01,8.666667,8.666667,8.366667,8.416667,6.056264,39000
2011-05-01,8.416667,8.666667,8.416667,8.666667,6.236153,12300
2011-06-01,8.916667,9.233333,8.750000,8.750000,6.296117,21600
2011-07-01,8.833333,8.833333,8.250000,8.333333,6.046023,39000
2011-08-01,8.333333,8.500000,6.826667,7.666667,5.562342,16200
2011-09-01,7.666667,7.833333,7.666667,7.800000,5.659077,10200
2011-10-01,7.800000,7.866667,7.666667,7.666667,5.615476,9000
2011-11-01,7.666667,8.253333,7.666667,8.253333,6.045185,7800
2011-12-01,8.253333,8.500000,8.166667,8.500000,6.225855,9600
2012-01-01,8.500000,20.000000,8.500000,20.000000,14.783737,30600
2012-02-01,9.000000,9.000000,8.766667,9.000000,6.652682,33300
2012-03-01,9.016667,9.666667,8.700000,8.700000,6.430924,77100
2012-04-01,8.700000,9.333333,8.383333,8.583333,6.396768,62100
2012-05-01,8.583333,9.083333,8.416667,9.066667,6.756974,32100
2012-06-01,9.016667,9.333333,9.000000,9.333333,6.955705,22500
2012-07-01,9.333333,9.503333,8.666667,9.503333,7.142798,80700
2012-08-01,9.503333,11.000000,9.083333,9.333333,7.015025,82200
2012-09-01,9.333333,11.000000,9.333333,9.900000,7.440938,39300
2012-10-01,9.900000,10.333333,9.900000,10.333333,7.830338,8400
2012-11-01,10.333333,11.583333,10.166667,10.916667,8.272377,10500
2012-12-01,10.916667,10.916667,10.166667,10.333333,7.830338,70500
2013-01-01,10.333333,10.416667,10.203333,10.203333,7.731831,35100
2013-02-01,10.203333,11.416667,10.203333,11.416667,8.651266,10500
2013-03-01,11.416667,11.750000,11.166667,11.416667,8.651266,10200
2013-04-01,11.416667,11.750000,11.266667,11.583333,8.843556,24600
2013-05-01,11.583333,13.000000,11.583333,12.456667,9.510324,66300
2013-06-01,12.333333,13.000000,12.216667,12.950000,9.886971,20400
2013-07-01,12.950000,14.083333,12.950000,14.083333,10.825380,11400
2013-08-01,14.166667,14.333333,14.083333,14.166667,10.889435,6300
2013-09-01,14.166667,14.500000,14.163333,14.333333,11.017546,8400
2013-10-01,14.333333,15.000000,14.083333,15.000000,11.600860,10800
2013-11-01,15.000000,16.000000,15.000000,15.666667,12.116457,25200
2013-12-01,15.666667,17.166668,15.666667,17.000000,13.147644,40500
2014-01-01,16.833332,17.209999,16.500000,16.500000,12.825701,8100
2014-02-01,16.500000,16.916668,16.333332,16.650000,12.942296,237900
2014-03-01,16.650000,18.316668,16.416668,18.316668,14.237820,44100
2014-04-01,18.333332,20.000000,17.016666,17.583332,13.741999,41400
2014-05-01,17.583332,19.416668,17.320000,18.333332,14.328150,27900
2014-06-01,18.333332,18.333332,17.033333,17.436666,13.627375,21300
2014-07-01,17.436666,18.666668,17.209999,17.266666,13.566182,39000
2014-08-01,17.266666,18.000000,17.166668,17.833332,14.011400,23400
2014-09-01,17.549999,21.500000,17.549999,20.570000,16.161573,55400
2014-10-01,20.650000,20.750000,20.000000,20.250000,15.984495,23100
