Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,6.000000,6.500000,5.500000,6.000000,3.872171,14600
2010-04-01,6.750000,8.000000,5.500000,5.500000,3.549490,5300
2010-05-01,6.000000,6.000000,5.490000,5.490000,3.543036,4300
2010-06-01,5.490000,6.000000,5.450000,6.000000,3.872171,6800
2010-07-01,6.000000,6.000000,5.500000,6.000000,3.907695,2900
2010-08-01,6.000000,6.000000,5.620000,6.000000,3.907695,1400
2010-09-01,6.000000,6.000000,5.550000,5.550000,3.614618,6500
2010-10-01,5.970000,6.000000,4.500000,6.000000,3.940535,3900
2010-11-01,6.000000,6.500000,6.000000,6.500000,4.268911,3500
2010-12-01,6.500000,6.500000,6.070000,6.100000,4.037265,1900
2011-01-01,6.100000,6.950000,6.100000,6.150000,4.070357,2700
2011-02-01,6.150000,7.000000,6.150000,6.500000,4.302003,2600
2011-03-01,6.500000,6.500000,6.200000,6.200000,4.103449,700
2011-04-01,6.250000,6.250000,6.000000,6.050000,4.035212,3900
2011-05-01,6.050000,6.350000,6.000000,6.350000,4.235306,6000
2011-06-01,6.350000,6.500000,6.350000,6.500000,4.335352,3600
2011-07-01,6.450000,8.000000,6.250000,6.250000,4.200923,2900
2011-08-01,6.250000,7.500000,6.150000,6.150000,4.133708,3100
2011-09-01,6.150000,6.150000,6.000000,6.100000,4.100101,3100
2011-10-01,6.250000,6.250000,6.250000,6.250000,4.235356,2100
2011-11-01,6.250000,7.500000,6.100000,6.100000,4.133708,500
2011-12-01,6.100000,7.500000,5.500000,6.060000,4.106602,3300
2012-01-01,6.050000,7.240000,6.000000,6.020000,4.106876,29000
2012-02-01,6.020000,6.550000,6.020000,6.550000,4.468444,2400
2012-03-01,6.250000,6.250000,6.020000,6.020000,4.106876,300
2012-04-01,7.240000,7.240000,6.100000,6.450000,4.437075,1700
2012-05-01,6.450000,6.500000,6.110000,6.500000,4.471472,5400
2012-06-01,6.150000,6.150000,5.960000,6.000000,4.127513,1200
2012-07-01,7.740000,7.740000,6.000000,6.000000,4.162198,2000
2012-08-01,6.000000,10.500000,6.000000,10.500000,7.283845,2600
2012-09-01,10.500000,10.500000,6.450000,6.650000,4.613101,6200
2012-10-01,8.500000,8.500000,8.500000,8.500000,5.924660,100
2012-11-01,8.500000,8.500000,6.250000,7.000000,4.879132,1000
2012-12-01,7.000000,7.000000,6.500000,6.500000,4.530622,9400
2013-01-01,6.750000,7.250000,6.750000,7.100000,5.057201,3400
2013-02-01,7.100000,7.750000,7.100000,7.650000,5.448957,2700
2013-03-01,7.650000,7.650000,7.100000,7.250000,5.164042,2300
2013-04-01,7.250000,7.990000,7.100000,7.900000,5.627028,6700
2013-05-01,7.900000,8.250000,7.250000,7.250000,5.164042,1600
2013-06-01,7.250000,7.260000,7.250000,7.260000,5.171167,1100
2013-07-01,7.260000,7.500000,7.260000,7.300000,5.199659,3200
2013-08-01,7.300000,8.000000,7.300000,8.000000,5.698255,2600
2013-09-01,8.150000,8.220000,7.400000,8.000000,5.698255,4800
2013-10-01,8.000000,8.000000,7.200000,7.200000,5.163081,900
2013-11-01,7.200000,7.270000,7.000000,7.200000,5.163081,5500
