Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,0.110000,0.250150,0.100000,0.139650,0.139650,30073
2016-11-01,0.139650,0.510000,0.139650,0.235000,0.235000,85619
2016-12-01,0.238000,0.550000,0.238000,0.550000,0.550000,437570
2017-01-01,0.550000,1.000000,0.438700,1.000000,1.000000,149565
2017-02-01,1.000000,1.050000,0.330000,0.400000,0.400000,15700
2017-03-01,0.074000,0.480000,0.074000,0.350000,0.350000,27050
2017-04-01,0.350000,0.650000,0.160000,0.450000,0.450000,36300
2017-05-01,0.450000,0.450000,0.200000,0.285000,0.285000,57000
2017-06-01,0.305000,0.305000,0.200000,0.290000,0.290000,94694
2017-07-01,0.290000,0.300000,0.248250,0.300000,0.300000,2900
2017-08-01,0.300000,0.420000,0.250000,0.373200,0.373200,36037
2017-09-01,0.373200,0.800000,0.280000,0.526400,0.526400,50587
2017-10-01,0.527550,0.650000,0.111000,0.477000,0.477000,326438
2017-11-01,0.477000,1.250000,0.477000,0.740960,0.740960,80902
2017-12-01,0.575000,0.750000,0.575000,0.650000,0.650000,21397
2018-01-01,0.650000,0.800000,0.650000,0.700000,0.700000,4027
2018-02-01,0.700000,0.723000,0.700000,0.700000,0.700000,550
2018-03-01,0.700000,0.700000,0.500000,0.500000,0.500000,1500
2018-04-01,0.500000,0.700000,0.500000,0.620000,0.620000,12820
2018-05-01,0.620000,0.620000,0.480000,0.480000,0.480000,106016
2018-06-01,0.480000,0.480000,0.480000,0.480000,0.480000,41068
2018-07-01,0.480000,0.500000,0.400000,0.400000,0.400000,17536
2018-08-01,0.400000,0.400000,0.400000,0.400000,0.400000,0
2018-09-01,0.400000,0.400000,0.300000,0.300000,0.300000,930
2018-10-01,0.300000,0.300000,0.300000,0.300000,0.300000,100
2018-11-01,0.510000,0.510000,0.510000,0.510000,0.510000,2374
2018-12-01,0.500000,0.710000,0.300000,0.600000,0.600000,42920
2019-01-01,0.600000,0.600000,0.600000,0.600000,0.600000,2500
2019-02-01,0.600000,0.690000,0.312000,0.350000,0.350000,17560
