Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.562500,0.575000,0.437500,0.475000,0.475000,383920
2010-04-01,0.475000,0.575000,0.350000,0.400000,0.400000,475040
2010-05-01,0.375000,0.500000,0.375000,0.375000,0.375000,249480
2010-06-01,0.350000,0.425000,0.125000,0.250000,0.250000,285240
2010-07-01,0.350000,0.350000,0.200000,0.200000,0.200000,185960
2010-08-01,0.225000,0.225000,0.127500,0.195000,0.195000,69520
2010-09-01,0.195000,0.225000,0.125000,0.125000,0.125000,88440
2010-10-01,0.200000,0.300000,0.150000,0.225000,0.225000,258280
2010-11-01,0.225000,0.300000,0.225000,0.250000,0.250000,203240
2010-12-01,0.250000,0.375000,0.225000,0.375000,0.375000,221920
2011-01-01,0.375000,0.400000,0.250000,0.325000,0.325000,165600
2011-02-01,0.375000,0.375000,0.225000,0.275000,0.275000,71360
2011-03-01,0.275000,0.375000,0.200000,0.325000,0.325000,72000
2011-04-01,0.300000,0.687500,0.250000,0.625000,0.625000,153840
2011-05-01,0.625000,0.625000,0.350000,0.575000,0.575000,166920
2011-06-01,0.500000,0.625000,0.400000,0.600000,0.600000,278040
2011-07-01,0.575000,1.200000,0.575000,1.100000,1.100000,1996960
2011-08-01,1.125000,2.525000,0.575000,1.125000,1.125000,468840
2011-09-01,1.175000,1.375000,0.800000,1.375000,1.375000,56440
2011-10-01,1.350000,2.250000,0.850000,2.250000,2.250000,200440
2011-11-01,1.825000,2.375000,1.575000,2.000000,2.000000,79160
2011-12-01,1.750000,2.000000,0.900000,1.750000,1.750000,203840
2012-01-01,1.750000,2.000000,1.350000,1.975000,1.975000,272440
2012-02-01,1.975000,2.375000,1.650000,2.375000,2.375000,402040
2012-03-01,2.300000,2.500000,1.325000,2.100000,2.100000,283320
2012-04-01,2.100000,2.125000,0.925000,1.750000,1.750000,103640
2012-05-01,1.375000,1.747500,1.000000,1.425000,1.425000,127120
2012-06-01,1.350000,1.925000,1.225000,1.875000,1.875000,507720
2012-07-01,1.775000,2.050000,1.525000,1.675000,1.675000,282520
2012-08-01,1.582500,2.000000,0.925000,1.725000,1.725000,419880
2012-09-01,1.717500,1.862500,1.300000,1.862500,1.862500,227720
2012-10-01,1.762500,1.762500,1.350000,1.350000,1.350000,164960
2012-11-01,1.400000,1.550000,1.175000,1.250000,1.250000,149760
2012-12-01,1.250000,1.825000,0.875000,1.750000,1.750000,340200
2013-01-01,1.750000,2.075000,1.500000,1.500000,1.500000,430920
2013-02-01,1.450000,1.800000,1.200000,1.250000,1.250000,353600
2013-03-01,1.325000,1.800000,1.075000,1.275000,1.275000,368240
2013-04-01,1.150000,1.475000,0.925000,1.000000,1.000000,645720
2013-05-01,1.000000,1.252500,0.900000,1.050000,1.050000,653360
2013-06-01,0.975000,1.050000,0.625000,0.925000,0.925000,379720
2013-07-01,0.750000,1.125000,0.750000,1.075000,1.075000,632520
