Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,0.009800,0.010400,0.005000,0.006500,0.006500,38880045
2018-08-01,0.006500,0.007500,0.005000,0.006200,0.006200,60006435
2018-09-01,0.006200,0.006400,0.005000,0.005600,0.005600,51129916
2018-10-01,0.005600,0.005600,0.003300,0.004600,0.004600,84296434
2018-11-01,0.004600,0.005600,0.004400,0.005400,0.005400,64820211
2018-12-01,0.005200,0.005200,0.002900,0.003800,0.003800,12117227
2019-01-01,0.003800,0.003800,0.002500,0.003200,0.003200,10378940
2019-02-01,0.003200,0.003200,0.002400,0.003200,0.003200,5410570
2019-03-01,0.003200,0.003200,0.002400,0.002700,0.002700,9243899
2019-04-01,0.002700,0.003000,0.002500,0.002800,0.002800,211534842
2019-05-01,0.002800,0.003400,0.002700,0.003200,0.003200,29393670
2019-06-01,0.003200,0.003200,0.002800,0.002900,0.002900,11299155
2019-07-01,0.002900,0.002900,0.002700,0.002900,0.002900,11762523
2019-08-01,0.002900,0.002900,0.002500,0.002900,0.002900,3263029
2019-09-01,0.002900,0.002900,0.002300,0.002600,0.002600,12866794
2019-10-01,0.002600,0.032000,0.002300,0.031000,0.031000,19037389
2019-11-01,0.002600,0.002600,0.002200,0.002400,0.002400,3167040
2019-12-01,0.002400,0.002400,0.002300,0.002400,0.002400,4056680
2020-01-01,0.002400,0.002400,0.002000,0.002400,0.002400,2093326
2020-02-01,0.002100,0.002100,0.001500,0.001900,0.001900,17911658
2020-03-01,0.001900,0.001900,0.001300,0.001600,0.001600,5887882
2020-04-01,0.001600,0.001600,0.001400,0.001600,0.001600,3628206
2020-05-01,0.001600,0.001600,0.001600,0.001600,0.001600,0
2020-06-01,0.001600,0.001600,0.001400,0.001600,0.001600,14783455
2020-07-01,0.001600,0.001600,0.001300,0.001600,0.001600,1521827
2020-08-01,0.001600,0.001600,0.001500,0.001600,0.001600,251222
2020-09-01,0.001600,0.001600,0.001500,0.001600,0.001600,1000000
2020-10-01,0.001600,0.001600,0.001600,0.001600,0.001600,0
2020-11-01,0.001600,0.001600,0.001600,0.001600,0.001600,0
2020-12-01,0.001600,0.001600,0.001600,0.001600,0.001600,0
2021-01-01,0.001600,0.001600,0.001600,0.001600,0.001600,0
2021-02-01,0.001600,0.015000,0.001600,0.011500,0.011500,131738691
2021-03-01,0.013100,0.018000,0.009000,0.010000,0.010000,112374924
2021-04-01,0.010000,1.305000,0.008000,0.009750,0.009750,45984760
2021-05-01,0.009750,0.016500,0.007200,0.009750,0.009750,72026081
2021-06-01,0.009750,0.009500,0.007200,0.007750,0.007750,15097654
2021-07-01,0.007750,0.008760,0.005700,0.008400,0.008400,23276087
2021-08-01,0.008400,0.009500,0.000700,0.006650,0.006650,15130716
2021-09-01,0.006650,0.927000,0.005500,0.885000,0.885000,22199546
2021-10-01,0.885000,0.885000,0.570000,0.710000,0.710000,15700669
2021-11-01,0.710000,0.670000,0.580000,0.660000,0.660000,2057132
2021-12-01,0.660000,0.800000,0.660000,0.800000,0.800000,0
2022-01-01,0.995000,0.995000,0.850000,0.875000,0.875000,538587
2022-02-01,0.875000,0.875000,0.770000,0.825000,0.825000,300000
2022-03-01,0.825000,0.825000,0.825000,0.825000,0.825000,0
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
