Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,8.000000,8.000000,8.000000,8.000000,8.000000,0
2010-04-01,8.000000,8.000000,4.080000,4.080000,4.080000,312
2010-05-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2010-06-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2010-07-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2010-08-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2010-09-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2010-10-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2010-11-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2010-12-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-01-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-02-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-03-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-04-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-05-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-06-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-07-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-08-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-09-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-10-01,4.080000,4.080000,4.080000,4.080000,4.080000,0
2011-11-01,4.080000,12.000000,4.080000,12.000000,12.000000,1662
2011-12-01,12.000000,12.000000,12.000000,12.000000,12.000000,0
2012-01-01,12.000000,12.000000,12.000000,12.000000,12.000000,0
2012-02-01,12.000000,12.000000,9.600000,9.600000,9.600000,498
2012-03-01,9.600000,9.600000,4.080000,4.800000,4.800000,1142
2012-04-01,4.800000,8.080000,4.800000,6.000000,6.000000,1667
2012-05-01,6.000000,7.920000,1.200000,7.600000,7.600000,340
2012-06-01,7.600000,7.600000,0.800000,0.800000,0.800000,3810
2012-07-01,0.800000,0.880000,0.800000,0.880000,0.880000,303
2012-08-01,0.880000,0.880000,0.880000,0.880000,0.880000,0
2012-09-01,0.880000,3.600000,0.880000,3.600000,3.600000,199
2012-10-01,3.600000,3.600000,0.800000,0.800000,0.800000,1056
2012-11-01,2.000000,4.000000,2.000000,4.000000,4.000000,542
2012-12-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
2013-01-01,4.000000,5.760000,4.000000,5.760000,5.760000,475
2013-02-01,5.760000,5.760000,4.800000,4.800000,4.800000,4337
2013-03-01,4.800000,36.000000,4.800000,4.880000,4.880000,594
2013-04-01,5.200000,5.200000,4.800000,4.920000,4.920000,3230
2013-05-01,4.920000,4.920000,2.560000,4.400000,4.400000,4419
2013-06-01,4.400000,4.400000,2.800000,2.800000,2.800000,4477
2013-07-01,2.800000,3.220000,2.800000,3.120000,3.120000,1239
2013-08-01,2.800000,2.800000,1.280000,2.240000,2.240000,7196
2013-09-01,2.240000,3.600000,2.080000,3.600000,3.600000,536
2013-10-01,3.600000,4.240000,2.400000,3.050000,3.050000,73182
2013-11-01,3.050000,3.150000,2.400000,3.000000,3.000000,239517
2013-12-01,3.000000,3.000000,2.400000,2.800000,2.800000,239642
2014-01-01,2.800000,3.000000,2.320000,2.330000,2.330000,222813
2014-02-01,2.330000,2.400000,1.960000,2.200000,2.200000,626137
2014-03-01,2.200000,2.250000,2.110000,2.220000,2.220000,156253
2014-04-01,2.250000,2.300000,1.750000,1.920000,1.920000,250771
2014-05-01,1.900000,2.150000,1.400000,1.850000,1.850000,132421
2014-06-01,1.750000,1.990000,1.400000,1.780000,1.780000,243010
2014-07-01,1.780000,1.780000,1.470000,1.470000,1.470000,36968
2014-08-01,1.500000,1.550000,1.240000,1.300000,1.300000,238663
2014-09-01,1.300000,1.550000,1.250000,1.350000,1.350000,89133
2014-10-01,1.350000,1.350000,0.750000,0.855000,0.855000,713530
2014-11-01,0.810000,0.850000,0.615000,0.790000,0.790000,203696
2014-12-01,0.755000,0.790000,0.430000,0.667000,0.667000,495100
2015-01-01,0.667000,0.675000,0.558000,0.610000,0.610000,138771
