Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,166666672.000000,166666672.000000,166666672.000000,166666672.000000,166666672.000000,0
2015-08-01,166666672.000000,166666672.000000,166666672.000000,166666672.000000,166666672.000000,0
2015-09-01,166666672.000000,166666672.000000,166666672.000000,166666672.000000,166666672.000000,0
2015-10-01,166666672.000000,825000000.000000,166666672.000000,825000000.000000,825000000.000000,0
2015-11-01,825000000.000000,825000000.000000,241666672.000000,250000000.000000,250000000.000000,0
2015-12-01,314166656.000000,314166656.000000,26333334.000000,41666668.000000,41666668.000000,0
2016-01-01,41666668.000000,81666664.000000,16666667.000000,30750000.000000,30750000.000000,0
2016-02-01,29166666.000000,29166666.000000,12500000.000000,25000000.000000,25000000.000000,0
2016-03-01,25416666.000000,33166666.000000,9333333.000000,18375000.000000,18375000.000000,0
2016-04-01,18333334.000000,50000000.000000,16666667.000000,36666668.000000,36666668.000000,0
2016-05-01,36666668.000000,41666668.000000,21000000.000000,25000000.000000,25000000.000000,0
2016-06-01,26583334.000000,36583332.000000,11600000.000000,16666667.000000,16666667.000000,0
2016-07-01,20500000.000000,30833334.000000,9166667.000000,9166667.000000,9166667.000000,0
2016-08-01,9166667.000000,9166667.000000,1741666.625000,2500000.000000,2500000.000000,0
2016-09-01,2500000.000000,10833333.000000,1916666.625000,9750000.000000,9750000.000000,0
2016-10-01,9583333.000000,9916667.000000,5083333.500000,5916666.500000,5916666.500000,0
2016-11-01,5166666.500000,7000000.000000,3500000.000000,4750000.000000,4750000.000000,0
2016-12-01,4583333.500000,7500000.000000,3000000.000000,6591666.500000,6591666.500000,0
2017-01-01,6591666.500000,6916666.500000,4750000.000000,6250000.000000,6250000.000000,0
2017-02-01,5416666.500000,6250000.000000,3916666.750000,4666666.500000,4666666.500000,0
2017-03-01,4666666.500000,5083333.500000,1750000.000000,1916666.625000,1916666.625000,0
2017-04-01,1916666.625000,2833333.250000,666666.687500,833333.312500,833333.312500,0
2017-05-01,833333.312500,833333.312500,250000.000000,250000.000000,250000.000000,0
2017-06-01,250000.000000,250000.000000,83333.335938,250000.000000,250000.000000,0
2017-07-01,166666.671875,320000.000000,28000.000000,29600.000000,29600.000000,0
2017-08-01,29600.000000,64000.000000,20000.000000,45600.000000,45600.000000,0
2017-09-01,44800.000000,112000.000000,20800.000000,63200.000000,63200.000000,0
2017-10-01,43200.000000,45600.000000,20000.000000,20000.000000,20000.000000,0
2017-11-01,24000.000000,263200.000000,12000.000000,13600.000000,13600.000000,7
2017-12-01,14400.000000,14400.000000,2400.000000,5600.000000,5600.000000,196
2018-01-01,5600.000000,5600.000000,1600.000000,2400.000000,2400.000000,204
2018-02-01,2400.000000,6400.000000,1200.000000,2400.000000,2400.000000,370
2018-03-01,2400.000000,4000.000000,800.000000,1600.000000,1600.000000,377
2018-04-01,1600.000000,1600.000000,800.000000,1600.000000,1600.000000,166
2018-05-01,1600.000000,1600.000000,800.000000,1600.000000,1600.000000,16
2018-06-01,1600.000000,1600.000000,80.000000,482.399994,482.399994,146
2018-07-01,584.000000,800.000000,400.000000,400.000000,400.000000,85
2018-08-01,400.000000,640.000000,400.000000,589.599976,589.599976,71
2018-09-01,589.599976,589.599976,249.600006,471.200012,471.200012,32
2018-10-01,320.000000,320.000000,208.000000,208.000000,208.000000,29
2018-11-01,208.000000,408.000000,184.000000,202.399994,202.399994,99
2018-12-01,315.200012,352.000000,190.399994,200.000000,200.000000,67
2019-01-01,200.000000,240.000000,81.599998,92.800003,92.800003,1013
2019-02-01,96.000000,120.000000,92.000000,120.000000,120.000000,150
2019-03-01,120.000000,120.000000,52.799999,53.599998,53.599998,404
2019-04-01,54.080002,144.000000,52.000000,60.000000,60.000000,751
2019-05-01,96.000000,96.000000,36.000000,41.599998,41.599998,1337
2019-06-01,48.000000,48.000000,18.400000,20.400000,20.400000,1269
2019-07-01,20.400000,66.000000,8.800000,12.800000,12.800000,26736
2019-08-01,14.400000,14.400000,2.400000,4.000000,4.000000,107008
2019-09-01,4.000000,8.000000,2.320000,3.200000,3.200000,281285
2019-10-01,3.200000,3.200000,0.800000,1.600000,1.600000,129583
2019-11-01,0.800000,1.600000,0.204000,0.280000,0.280000,159790
2019-12-01,0.336000,0.640000,0.212000,0.632000,0.632000,142461
2020-01-01,0.632000,1.980000,0.452000,0.985200,0.985200,159578
2020-02-01,1.000000,1.000000,0.280000,0.320000,0.320000,313651
2020-03-01,0.260000,0.592400,0.240000,0.280000,0.280000,273347
2020-04-01,0.240000,0.400000,0.240000,0.276000,0.276000,76377
2020-05-01,0.267200,0.356000,0.244000,0.332000,0.332000,135004
2020-06-01,0.308000,0.332000,0.132000,0.220000,0.220000,507237
2020-07-01,0.200000,0.278000,0.167200,0.187200,0.187200,242715
2020-08-01,0.187200,0.232000,0.136000,0.192000,0.192000,479834
2020-09-01,0.192000,0.204000,0.064000,0.136000,0.136000,687044
2020-10-01,0.144800,0.156000,0.084000,0.096000,0.096000,276608
2020-11-01,0.100000,0.172000,0.098000,0.120000,0.120000,285688
2020-12-01,0.140000,0.432000,0.100000,0.304000,0.304000,1141756
2021-01-01,0.304000,0.532000,0.160000,0.240000,0.240000,1421582
2021-02-01,0.260000,0.760000,0.111000,0.170100,0.170100,2407205
2021-03-01,0.238000,0.244400,0.107400,0.132100,0.132100,467347
2021-04-01,0.132300,0.220000,0.132300,0.140000,0.140000,460435
2021-05-01,0.142100,0.160000,0.081400,0.100000,0.100000,169366
2021-06-01,0.100000,0.158500,0.095000,0.119500,0.119500,103639
2021-07-01,0.119400,0.136000,0.060000,0.080000,0.080000,185405
2021-08-01,0.099500,0.117900,0.045000,0.045000,0.045000,85829
2021-09-01,0.045000,0.109900,0.045000,0.057500,0.057500,45681
2021-10-01,0.054750,0.083000,0.050300,0.080500,0.080500,152179
2021-11-01,0.081600,0.081600,0.034100,0.056700,0.056700,202221
2021-12-01,0.057800,0.057800,0.021000,0.032300,0.032300,265104
2022-01-01,0.032300,0.077000,0.030000,0.033000,0.033000,10382
2022-02-01,0.033000,0.089000,0.033000,0.086400,0.086400,126439
2022-03-01,0.070000,0.088000,0.031000,0.057000,0.057000,188253
2022-04-01,0.057000,0.057000,0.034000,0.034000,0.034000,81240
2022-05-01,0.034000,0.043200,0.021000,0.030400,0.030400,264158
2022-06-01,0.030400,0.040000,0.027500,0.028000,0.028000,1752439
2022-07-01,0.028000,0.034000,0.018500,0.020000,0.020000,393595
