Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-03-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-04-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-05-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-06-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-07-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-08-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-09-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-10-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-11-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2013-12-01,44.444443,44.444443,44.444443,44.444443,44.444443,0
2014-01-01,44.444443,88.888885,44.444443,88.879997,88.879997,9
2014-02-01,88.879997,210.000000,88.879997,210.000000,210.000000,34
2014-03-01,210.000000,320.000000,90.000000,146.000000,146.000000,17113
2014-04-01,148.000000,174.000000,53.000000,111.599998,111.599998,68958
2014-05-01,115.000000,136.600006,74.800003,112.000000,112.000000,88374
2014-06-01,101.000000,102.000000,30.000000,31.600000,31.600000,40359
2014-07-01,31.000000,54.980000,19.600000,22.200001,22.200001,14350
2014-08-01,22.200001,28.000000,3.220000,4.000000,4.000000,128230
2014-09-01,3.900000,4.000000,2.040000,3.020000,3.020000,48012
2014-10-01,3.020000,3.500000,1.600000,2.300000,2.300000,31491
2014-11-01,1.960000,3.240000,1.200000,3.000000,3.000000,84461
2014-12-01,3.100000,4.580000,2.200000,4.500000,4.500000,42379
2015-01-01,4.800000,10.500000,4.200000,8.800000,8.800000,103486
2015-02-01,9.000000,9.000000,2.400000,4.600000,4.600000,93194
2015-03-01,4.600000,5.200000,3.200000,3.840000,3.840000,35426
2015-04-01,3.500000,4.800000,3.500000,4.440000,4.440000,22164
2015-05-01,4.600000,8.400000,4.020000,8.000000,8.000000,32529
2015-06-01,7.240000,9.400000,6.060000,8.380000,8.380000,22207
2015-07-01,8.300000,9.600000,7.740000,8.540000,8.540000,18908
2015-08-01,7.720000,9.700000,4.000000,5.020000,5.020000,13625
2015-09-01,5.020000,12.000000,4.200000,7.880000,7.880000,15402
2015-10-01,7.800000,8.000000,4.000000,6.400000,6.400000,12607
2015-11-01,6.200000,7.360000,4.900000,6.000000,6.000000,12421
2015-12-01,6.200000,6.200000,4.600000,5.620000,5.620000,4523
2016-01-01,5.760000,6.000000,4.460000,5.200000,5.200000,5573
2016-02-01,5.000000,6.000000,3.620000,5.400000,5.400000,7050
2016-03-01,5.020000,9.900000,4.400000,5.660000,5.660000,17791
2016-04-01,6.020000,6.020000,4.000000,4.600000,4.600000,7537
2016-05-01,4.600000,4.980000,1.600000,2.100000,2.100000,28942
2016-06-01,2.100000,2.100000,0.720000,1.200000,1.200000,36643
2016-07-01,1.400000,3.600000,0.640000,2.400000,2.400000,63831
2016-08-01,2.500000,3.200000,1.520000,1.700000,1.700000,81375
2016-09-01,1.600000,2.700000,1.200000,2.180000,2.180000,17423
2016-10-01,1.920000,5.600000,1.900000,3.200000,3.200000,93127
2016-11-01,3.200000,3.200000,1.500000,1.700000,1.700000,99550
2016-12-01,1.800000,2.300000,1.660000,2.280000,2.280000,37384
2017-01-01,2.300000,5.840000,2.280000,4.600000,4.600000,68708
2017-02-01,5.000000,5.900000,1.260000,1.500000,1.500000,96243
2017-03-01,1.600000,3.020000,1.000000,1.000000,1.000000,130387
2017-04-01,1.180000,1.180000,0.600000,0.740000,0.740000,30474
2017-05-01,0.740000,0.960000,0.600000,0.940000,0.940000,8621
2017-06-01,0.920000,0.940000,0.620000,0.620000,0.620000,7681
2017-07-01,0.600000,1.020000,0.400000,0.800000,0.800000,23656
2017-08-01,0.800000,0.800000,0.480000,0.600000,0.600000,8378
2017-09-01,0.600000,0.800000,0.480000,0.580000,0.580000,8050
2017-10-01,0.580000,0.700000,0.520000,0.520000,0.520000,8462
2017-11-01,0.660000,0.660000,0.420000,0.440000,0.440000,10786
2017-12-01,0.440000,1.460000,0.440000,0.800000,0.800000,29836
2018-01-01,0.800000,1.460000,0.640000,0.840000,0.840000,25229
2018-02-01,1.100000,1.100000,0.620000,0.800000,0.800000,10068
2018-03-01,0.800000,0.960000,0.620000,0.620000,0.620000,9214
2018-04-01,0.760000,0.760000,0.520000,0.540000,0.540000,5324
2018-05-01,0.540000,0.840000,0.460000,0.600000,0.600000,10502
2018-06-01,0.600000,0.800000,0.460000,0.780000,0.780000,12566
2018-07-01,0.780000,0.780000,0.460000,0.560000,0.560000,22174
2018-08-01,0.560000,0.780000,0.200000,0.640000,0.640000,23919
2018-09-01,0.520000,0.700000,0.260000,0.320000,0.320000,8838
2018-10-01,0.320000,0.700000,0.320000,0.520000,0.520000,8999
2018-11-01,0.360000,0.700000,0.320000,0.400000,0.400000,5638
2018-12-01,0.400000,0.460000,0.260000,0.260000,0.260000,2831
2019-01-01,0.260000,0.580000,0.220000,0.320000,0.320000,4440
2019-02-01,0.320000,0.480000,0.320000,0.480000,0.480000,1876
2019-03-01,0.480000,0.480000,0.320000,0.400000,0.400000,1032
2019-04-01,0.400000,0.460000,0.240000,0.460000,0.460000,2640
2019-05-01,0.460000,0.460000,0.240000,0.260000,0.260000,166
2019-06-01,0.460000,0.460000,0.240000,0.240000,0.240000,8680
2019-07-01,0.240000,0.440000,0.220000,0.240000,0.240000,919
2019-08-01,0.240000,0.420000,0.220000,0.220000,0.220000,706
2019-09-01,0.220000,0.440000,0.200000,0.400000,0.400000,20203
2019-10-01,0.400000,0.400000,0.140000,0.180000,0.180000,15471
2019-11-01,0.180000,0.500000,0.180000,0.300000,0.300000,2628
2019-12-01,0.200000,1.500000,0.200000,1.000000,1.000000,82433
2020-01-01,0.680000,1.400000,0.640000,0.860000,0.860000,56244
2020-02-01,0.900000,1.300000,0.580000,0.820000,0.820000,26678
2020-03-01,0.800000,1.080000,0.300000,0.380000,0.380000,23025
2020-04-01,0.360000,0.700000,0.240000,0.380000,0.380000,12328
2020-05-01,0.360000,0.480000,0.220000,0.400000,0.400000,20210
2020-06-01,0.300000,0.580000,0.300000,0.420000,0.420000,27666
2020-07-01,0.420000,0.500000,0.340000,0.380000,0.380000,3813
2020-08-01,0.380000,0.450000,0.001700,0.450000,0.450000,10526
2020-09-01,0.450000,0.450000,0.100000,0.100000,0.100000,2200
2020-10-01,0.100000,0.100000,0.015300,0.015400,0.015400,12500
2020-11-01,0.015400,0.197000,0.015400,0.197000,0.197000,15600
2020-12-01,0.016000,0.236000,0.016000,0.024100,0.024100,12200
2021-01-01,0.024100,0.189000,0.022300,0.026200,0.026200,5100
2021-02-01,0.032000,0.400000,0.032000,0.130000,0.130000,47300
2021-03-01,0.130000,0.300000,0.062200,0.160000,0.160000,44500
2021-04-01,0.160000,0.298000,0.140000,0.290000,0.290000,4000
2021-05-01,0.290000,0.290000,0.101000,0.101000,0.101000,1600
2021-06-01,0.101000,0.101000,0.062000,0.062000,0.062000,300
2021-07-01,0.062000,0.249900,0.055000,0.055000,0.055000,8700
2021-08-01,0.055000,0.497800,0.055000,0.060000,0.060000,30700
2021-09-01,0.060000,0.101300,0.060000,0.100000,0.100000,3900
2021-10-01,0.100000,0.710000,0.100000,0.600000,0.600000,18800
2021-11-01,0.600000,0.700000,0.120000,0.210000,0.210000,38400
2021-12-01,0.210000,1.200000,0.200000,0.591000,0.591000,118000
2022-01-01,0.600000,0.738000,0.410100,0.410200,0.410200,30900
2022-02-01,0.410200,0.650000,0.410200,0.644100,0.644100,4900
2022-03-01,0.644100,0.750000,0.360000,0.360000,0.360000,3000
2022-04-01,0.360000,0.750000,0.360000,0.587000,0.587000,31200
2022-05-01,0.587000,0.587000,0.400000,0.510000,0.510000,10000
2022-06-01,0.400000,0.455000,0.250000,0.265000,0.265000,9400
2022-07-01,0.265000,0.600000,0.265000,0.600000,0.600000,8600
2022-08-01,0.600000,0.679900,0.260100,0.679900,0.679900,6600
2022-09-01,0.679900,0.680000,0.351600,0.352300,0.352300,6000
2022-10-01,0.352300,0.500000,0.352300,0.361700,0.361700,3900
2022-11-01,0.361700,0.497900,0.361700,0.497900,0.497900,4400
2022-12-01,0.497900,0.497900,0.330000,0.340000,0.340000,7000
2023-01-01,0.340000,0.340000,0.330000,0.330000,0.330000,2100
2023-02-01,0.330000,0.488000,0.302100,0.302100,0.302100,1400
2023-03-01,0.482900,0.483000,0.200000,0.200000,0.200000,15100
2023-04-01,0.210000,0.212000,0.210000,0.212000,0.212000,400
2023-05-01,0.251000,0.261000,0.201000,0.201000,0.201000,700
2023-06-01,0.201000,0.201000,0.001300,0.001300,0.001300,500
2023-07-01,0.001300,0.020000,0.001300,0.020000,0.020000,200
2023-08-01,0.020000,0.200000,0.020000,0.150000,0.150000,4100
2023-09-01,0.150000,0.248000,0.032000,0.248000,0.248000,7500
2023-10-01,0.248000,0.248000,0.052000,0.052000,0.052000,500
