Date,Open,High,Low,Close,Adj Close,Volume
2015-02-01,19.850000,20.000000,17.000000,17.730000,17.730000,1489700
2015-03-01,18.003000,18.879999,17.030001,17.350000,17.350000,989900
2015-04-01,17.639999,20.930000,16.520000,17.030001,17.030001,1611300
2015-05-01,17.030001,18.200001,14.750000,16.650000,16.650000,1296300
2015-06-01,16.910000,18.830000,15.080000,17.680000,17.680000,1286600
2015-07-01,17.700001,23.809999,17.700001,20.030001,20.030001,2710800
2015-08-01,19.900000,22.379999,16.040001,19.139999,19.139999,1849600
2015-09-01,18.209999,20.730000,16.021999,17.700001,17.700001,1479300
2015-10-01,17.770000,18.490000,15.880000,18.000000,18.000000,978600
2015-11-01,18.120001,18.980000,16.389999,17.830000,17.830000,787200
2015-12-01,18.000000,18.969999,15.310000,18.320000,18.320000,606200
2016-01-01,18.059999,20.160000,12.990000,19.040001,19.040001,871900
2016-02-01,18.740000,19.889999,16.141001,17.350000,17.350000,903900
2016-03-01,17.490000,18.950001,15.250000,18.549999,18.549999,629200
2016-04-01,18.309999,19.049999,16.440001,16.870001,16.870001,587500
2016-05-01,16.780001,17.320000,13.580000,13.740000,13.740000,1388800
2016-06-01,13.860000,14.862000,11.920000,13.270000,13.270000,5331200
2016-07-01,13.420000,14.430000,12.340000,14.400000,14.400000,807400
2016-08-01,14.350000,18.870001,13.370000,18.440001,18.440001,1316700
2016-09-01,18.700001,21.700001,18.500000,20.100000,20.100000,1260200
2016-10-01,19.850000,21.790001,17.150000,19.469999,19.469999,2482700
2016-11-01,19.200001,20.959999,18.740000,20.530001,20.530001,999400
2016-12-01,20.700001,21.719999,19.209999,20.240000,20.240000,1027900
2017-01-01,19.969999,21.940001,19.600000,21.440001,21.440001,1019200
2017-02-01,21.450001,30.270000,21.070000,29.570000,29.570000,1430700
2017-03-01,29.719999,30.570000,26.559999,28.000000,28.000000,994000
2017-04-01,25.480000,31.860001,25.480000,29.520000,29.520000,493600
2017-05-01,29.030001,29.870001,23.010000,23.850000,23.850000,702000
2017-06-01,23.250000,29.879999,21.950001,27.760000,27.760000,4213500
2017-07-01,27.209999,29.391001,25.500000,28.200001,28.200001,1053900
2017-08-01,28.000000,28.860001,26.430000,27.959999,27.959999,2238000
2017-09-01,27.629999,42.000000,26.299999,36.250000,36.250000,7993500
2017-10-01,36.099998,37.509998,31.559999,33.980000,33.980000,3252800
2017-11-01,34.049999,38.490002,33.325001,37.099998,37.099998,2711100
2017-12-01,36.990002,41.139999,35.411999,40.060001,40.060001,2642300
2018-01-01,40.200001,55.000000,38.279999,50.970001,50.970001,3868200
2018-02-01,50.480000,63.689999,48.000000,62.189999,62.189999,4784100
2018-03-01,62.169998,69.000000,59.020000,65.400002,65.400002,3955700
2018-04-01,65.720001,68.250000,57.799999,63.009998,63.009998,1837100
2018-05-01,63.000000,76.290001,61.299999,72.019997,72.019997,2724300
2018-06-01,71.730003,74.730003,62.259998,66.519997,66.519997,3095200
2018-07-01,66.279999,72.930000,63.520000,67.940002,67.940002,2530300
2018-08-01,68.279999,76.989998,65.199997,70.980003,70.980003,2830600
