Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,11.780000,12.000000,9.800000,11.600000,11.600000,19676600
2021-06-01,11.600000,13.000000,11.050000,12.370000,12.370000,28220200
2021-07-01,12.390000,12.545000,9.820000,10.340000,10.340000,7942300
2021-08-01,10.360000,10.690000,8.490000,9.440000,9.440000,7912600
2021-09-01,9.430000,9.730000,7.590000,8.020000,8.020000,6973600
2021-10-01,8.040000,8.369000,6.400000,7.720000,7.720000,11993600
2021-11-01,7.710000,9.040000,6.400000,6.440000,6.440000,11480600
2021-12-01,6.600000,7.465000,5.890000,7.400000,7.400000,8176500
2022-01-01,7.460000,7.530000,5.195000,5.490000,5.490000,5753900
2022-02-01,5.530000,5.620000,4.520000,5.250000,5.250000,4925700
2022-03-01,5.240000,6.000000,3.375000,3.410000,3.410000,16788400
2022-04-01,3.390000,3.490000,2.890000,2.920000,2.920000,17816800
2022-05-01,2.920000,3.150000,2.090000,3.080000,3.080000,9287200
2022-06-01,3.100000,3.150000,2.150000,2.260000,2.260000,8393100
2022-07-01,2.250000,2.675000,1.890000,2.120000,2.120000,5942200
2022-08-01,2.110000,2.450000,1.820000,1.820000,1.820000,4433000
2022-09-01,1.800000,2.170000,1.480000,1.500000,1.500000,4729800
2022-10-01,1.530000,1.700000,1.155000,1.390000,1.390000,3946300
2022-11-01,1.480000,1.480000,0.679000,0.679000,0.679000,12569400
2022-12-01,0.705000,0.950000,0.666000,0.780000,0.780000,13773600
2023-01-01,0.740000,1.650000,0.700000,1.220000,1.220000,9204400
2023-02-01,1.250000,1.330000,1.050000,1.220000,1.220000,4235200
2023-03-01,1.230000,2.050000,0.950000,1.040000,1.040000,15077100
2023-04-01,1.010000,1.305000,0.950000,1.230000,1.230000,10353300
2023-05-01,1.230000,1.300000,0.961000,1.180000,1.180000,4776400
2023-06-01,1.190000,1.980000,1.140000,1.690000,1.690000,4497300
2023-07-01,1.630000,1.880000,1.410000,1.730000,1.730000,1827900
2023-08-01,1.690000,2.050000,1.410000,1.440000,1.440000,2409700
2023-09-01,1.440000,1.500000,1.140000,1.190000,1.190000,2585700
2023-10-01,1.180000,1.225000,1.080000,1.170000,1.170000,1713500
