Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,6.750675,7.500750,1.200120,2.700270,2.700270,348553
2010-04-01,6.750675,6.750675,0.900090,1.800180,1.800180,27054
2010-05-01,6.750675,6.750675,1.350135,1.500150,1.500150,14739
2010-06-01,6.750675,6.750675,0.450045,1.050105,1.050105,22631
2010-07-01,1.050105,1.500150,0.540054,0.630063,0.630063,8393
2010-08-01,0.960096,2.400240,0.540054,1.500150,1.500150,53508
2010-09-01,1.500150,6.750675,0.840084,1.350135,1.350135,35087
2010-10-01,1.350135,3.900390,1.050105,1.950195,1.950195,115191
2010-11-01,1.800180,1.890189,0.810081,0.900090,0.900090,92396
2010-12-01,1.050105,1.650165,0.450045,1.410141,1.410141,154412
2011-01-01,1.500150,2.220222,0.690069,0.900090,0.900090,295778
2011-02-01,1.200120,1.530153,0.450045,0.570057,0.570057,664973
2011-03-01,0.600060,0.600060,0.210021,0.210021,0.210021,433302
2011-04-01,0.210021,0.360036,0.120012,0.150015,0.150015,463614
2011-05-01,0.120012,0.210021,0.060006,0.150015,0.150015,1290795
2011-06-01,0.150015,0.270027,0.060006,0.120012,0.120012,1979092
2011-07-01,0.120012,0.240024,0.060006,0.150015,0.150015,1688534
2011-08-01,0.120012,0.150015,0.060006,0.090009,0.090009,1168977
2011-09-01,0.090009,0.090009,0.030003,0.030003,0.030003,883095
2011-10-01,0.030003,0.060006,0.030003,0.030003,0.030003,494747
2011-11-01,0.030003,0.030003,0.030003,0.030003,0.030003,21047
2011-12-01,0.030003,0.030003,0.030003,0.030003,0.030003,42680
2012-01-01,0.030003,0.180018,0.030003,0.060006,0.060006,2623703
2012-02-01,0.030003,0.090009,0.030003,0.030003,0.030003,6683516
2012-03-01,0.030003,0.060006,0.030003,0.030003,0.030003,1340220
2012-04-01,0.030003,0.060006,0.030003,0.030003,0.030003,1535557
2012-05-01,0.030003,0.030003,0.030003,0.030003,0.030003,52625
2012-06-01,0.030003,0.030003,0.030003,0.030003,0.030003,25047
2012-07-01,0.030003,0.030003,0.030003,0.030003,0.030003,75150
2012-08-01,0.030003,0.030003,0.030003,0.030003,0.030003,91441
2012-09-01,0.030003,0.030003,0.030003,0.030003,0.030003,13665
2012-10-01,0.030003,0.030003,0.030003,0.030003,0.030003,4182
2012-11-01,0.030003,0.030003,0.030003,0.030003,0.030003,11670
2012-12-01,0.030003,0.030003,0.030003,0.030003,0.030003,24995
2013-01-01,0.030003,0.030003,0.030003,0.030003,0.030003,11281
2013-02-01,0.030003,0.030003,0.030003,0.030003,0.030003,3653
2013-03-01,0.030003,0.060006,0.030003,0.030003,0.030003,611837
2013-04-01,0.030003,0.030003,0.030003,0.030003,0.030003,18363
2013-05-01,0.030003,0.030003,0.030003,0.030003,0.030003,0
2013-06-01,0.030003,0.030003,0.030003,0.030003,0.030003,20547
2013-07-01,0.030003,0.030003,0.030003,0.030003,0.030003,14998
2013-08-01,0.030003,0.030003,0.030003,0.030003,0.030003,3999
2013-09-01,0.030003,0.030003,0.030003,0.030003,0.030003,0
2013-10-01,0.030003,0.120012,0.030003,0.060006,0.060006,4849266
2013-11-01,0.030003,0.090009,0.030003,0.030003,0.030003,1678739
2013-12-01,0.030003,0.060006,0.030003,0.030003,0.030003,657700
2014-01-01,0.030003,0.060006,0.030003,0.030003,0.030003,649695
2014-02-01,0.030003,0.240024,0.030003,0.150015,0.150015,4512588
2014-03-01,0.180018,0.240024,0.090009,0.180018,0.180018,3333331
2014-04-01,0.150015,0.210021,0.030003,0.180018,0.180018,1350357
2014-05-01,0.180018,0.180018,0.090009,0.150015,0.150015,959305
2014-06-01,0.150015,1.020102,0.120012,0.390039,0.390039,4702378
2014-07-01,0.450045,0.480048,0.180018,0.210021,0.210021,3820670
2014-08-01,0.210021,0.300030,0.120012,0.150015,0.150015,1299858
2014-09-01,0.150015,0.360036,0.090009,0.120012,0.120012,5822688
2014-10-01,0.120012,0.180018,0.060006,0.090009,0.090009,4583905
2014-11-01,0.090009,0.210021,0.030003,0.090009,0.090009,3951062
2014-12-01,0.090009,0.090009,0.030003,0.060006,0.060006,5151879
2015-01-01,0.060006,0.060006,0.003000,0.030003,0.030003,1263351
2015-02-01,0.030003,0.060006,0.003000,0.030003,0.030003,3435326
2015-03-01,0.030003,0.060006,0.024002,0.030003,0.030003,1678038
2015-04-01,0.030003,0.030003,0.003000,0.030003,0.030003,520454
2015-05-01,0.030003,0.060006,0.003000,0.030003,0.030003,2318062
2015-06-01,0.030003,0.060006,0.030003,0.030003,0.030003,2774525
2015-07-01,0.030003,0.030003,0.003000,0.030000,0.030000,1239156
2015-08-01,0.040000,0.040000,0.010000,0.020000,0.020000,2081886
2015-09-01,0.019900,0.028000,0.007000,0.017000,0.017000,5478005
2015-10-01,0.012000,0.020000,0.007000,0.009000,0.009000,2322601
2015-11-01,0.007000,0.035000,0.005000,0.020000,0.020000,3585718
2015-12-01,0.027500,0.027500,0.005500,0.008000,0.008000,3840409
2016-01-01,0.008000,0.012000,0.006300,0.009500,0.009500,1011583
2016-02-01,0.009500,0.012000,0.006400,0.007000,0.007000,4731859
2016-03-01,0.009080,0.011000,0.003200,0.005400,0.005400,7004173
2016-04-01,0.005400,0.005400,0.001000,0.001200,0.001200,14499927
2016-05-01,0.001300,0.002000,0.001000,0.001200,0.001200,4312961
2016-06-01,0.001200,0.002800,0.001200,0.001510,0.001510,2297740
2016-07-01,0.001510,0.001510,0.001100,0.001200,0.001200,1719248
2016-08-01,0.001000,0.006900,0.001000,0.001300,0.001300,97063764
2016-09-01,0.001300,0.002200,0.001000,0.001100,0.001100,12305998
2016-10-01,0.001100,0.002000,0.000900,0.001120,0.001120,1993955
2016-11-01,0.001120,0.007360,0.001000,0.004900,0.004900,14954906
2016-12-01,0.004050,0.004900,0.000900,0.001000,0.001000,30593257
2017-01-01,0.001000,0.001800,0.000900,0.001700,0.001700,13894913
2017-02-01,0.001900,0.005000,0.001300,0.001600,0.001600,116769064
2017-03-01,0.001800,0.002300,0.001000,0.001900,0.001900,60708228
2017-04-01,0.001900,0.009900,0.001800,0.005300,0.005300,108944879
2017-05-01,0.005100,0.007600,0.002600,0.003300,0.003300,50372075
2017-06-01,0.003300,0.004000,0.001200,0.002080,0.002080,278805857
2017-07-01,0.002200,0.002200,0.001100,0.001700,0.001700,66963915
2017-08-01,0.001600,0.002000,0.000700,0.001400,0.001400,118331724
2017-09-01,0.001900,0.003400,0.001500,0.002900,0.002900,147473612
2017-10-01,0.002700,0.003000,0.001600,0.002800,0.002800,46853909
2017-11-01,0.002570,0.002800,0.001300,0.001700,0.001700,20641201
2017-12-01,0.001600,0.002600,0.001000,0.001100,0.001100,45322072
2018-01-01,0.001100,0.001700,0.000900,0.001400,0.001400,13963592
2018-02-01,0.001200,0.002400,0.001000,0.001800,0.001800,52329006
2018-03-01,0.001800,0.001800,0.001000,0.001400,0.001400,22607855
2018-04-01,0.001000,0.001600,0.000800,0.001200,0.001200,50804711
2018-05-01,0.001200,0.001610,0.000900,0.001600,0.001600,24284576
2018-06-01,0.001200,0.001600,0.001000,0.001300,0.001300,14971179
2018-07-01,0.001000,0.001300,0.000800,0.000900,0.000900,43264389
2018-08-01,0.001000,0.001300,0.000850,0.001000,0.001000,30570437
2018-09-01,0.001000,0.001000,0.000800,0.000800,0.000800,9834540
2018-10-01,0.000800,0.001000,0.000700,0.000800,0.000800,4326387
2018-11-01,0.000800,0.001000,0.000800,0.000800,0.000800,844870
2018-12-01,0.000800,0.000850,0.000600,0.000600,0.000600,5256902
2019-01-01,0.000600,0.000700,0.000500,0.000600,0.000600,8717109
2019-02-01,0.000500,0.000600,0.000500,0.000600,0.000600,6123050
2019-03-01,0.000600,0.000800,0.000500,0.000500,0.000500,40935525
2019-04-01,0.000600,0.001100,0.000300,0.000600,0.000600,371123908
2019-05-01,0.000400,0.000600,0.000400,0.000500,0.000500,14261661
2019-06-01,0.000400,0.000500,0.000300,0.000500,0.000500,13992901
2019-07-01,0.000300,0.000400,0.000300,0.000400,0.000400,4714175
2019-08-01,0.000400,0.000400,0.000300,0.000400,0.000400,9703720
2019-09-01,0.000400,0.000400,0.000300,0.000400,0.000400,17582215
2019-10-01,0.000300,0.000300,0.000200,0.000300,0.000300,8867384
2019-11-01,0.000200,0.000400,0.000200,0.000200,0.000200,7706986
2019-12-01,0.000200,0.000300,0.000200,0.000200,0.000200,15709448
2020-01-01,0.000200,0.000400,0.000200,0.000300,0.000300,13305010
2020-02-01,0.000300,0.000600,0.000300,0.000500,0.000500,98284142
2020-03-01,0.000450,0.000800,0.000300,0.000400,0.000400,61463932
2020-04-01,0.000400,0.000900,0.000400,0.000750,0.000750,17033471
2020-05-01,0.000700,0.000900,0.000500,0.000700,0.000700,5148753
2020-06-01,0.000790,0.001200,0.000700,0.001200,0.001200,35698777
2020-07-01,0.001200,0.001400,0.000500,0.001100,0.001100,14888776
2020-08-01,0.000900,0.001300,0.000700,0.000750,0.000750,1670686
2020-09-01,0.000750,0.001400,0.000700,0.000800,0.000800,4475717
2020-10-01,0.000800,0.001100,0.000400,0.000520,0.000520,87922266
2020-11-01,0.000550,0.000550,0.000200,0.000400,0.000400,118437531
2020-12-01,0.000400,0.000700,0.000300,0.000300,0.000300,18022966
2021-01-01,0.000300,0.000600,0.000300,0.000400,0.000400,37672361
2021-02-01,0.000500,0.001400,0.000500,0.001000,0.001000,104497747
2021-03-01,0.000950,0.001300,0.000700,0.000700,0.000700,23853537
2021-04-01,0.000800,0.002700,0.000600,0.002500,0.002500,73679090
2021-05-01,0.002200,0.003000,0.000500,0.000500,0.000500,60305713
2021-06-01,0.000500,0.001000,0.000200,0.000300,0.000300,27599778
2021-07-01,0.000300,0.000800,0.000100,0.000600,0.000600,10766268
2021-08-01,0.000200,0.001500,0.000100,0.001000,0.001000,5391859
2021-09-01,0.000500,0.000900,0.000400,0.000500,0.000500,12218800
2021-10-01,0.000500,0.000500,0.000100,0.000100,0.000100,1201267
2021-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,1000000
2021-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
