Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,12.500000,13.750000,10.250000,12.250000,12.250000,28553
2010-04-01,13.000000,13.250000,10.250000,11.000000,11.000000,25442
2010-05-01,11.000000,11.000000,7.500000,8.500000,8.500000,36488
2010-06-01,8.750000,8.750000,5.500000,5.500000,5.500000,43999
2010-07-01,5.500000,11.750000,4.250000,9.250000,9.250000,182575
2010-08-01,9.250000,10.250000,7.000000,8.000000,8.000000,78775
2010-09-01,8.000000,10.000000,7.000000,8.500000,8.500000,176782
2010-10-01,8.750000,14.000000,8.500000,12.500000,12.500000,250869
2010-11-01,13.000000,22.500000,12.500000,16.500000,16.500000,900188
2010-12-01,16.750000,17.000000,12.750000,16.000000,16.000000,449400
2011-01-01,15.250000,21.250000,14.500000,19.000000,19.000000,354731
2011-02-01,19.250000,20.750000,17.250000,17.500000,17.500000,324288
2011-03-01,17.750000,18.250000,7.750000,9.750000,9.750000,628567
2011-04-01,9.750000,11.250000,7.000000,8.500000,8.500000,145713
2011-05-01,8.000000,9.000000,6.500000,8.000000,8.000000,186640
2011-06-01,7.750000,8.000000,5.500000,5.750000,5.750000,133554
2011-07-01,6.000000,6.500000,4.500000,5.000000,5.000000,256264
2011-08-01,5.250000,6.000000,4.500000,6.000000,6.000000,124805
2011-09-01,5.750000,6.000000,4.000000,4.000000,4.000000,74145
2011-10-01,4.000000,5.000000,3.500000,4.000000,4.000000,193170
2011-11-01,4.000000,5.500000,3.500000,4.000000,4.000000,144290
2011-12-01,4.000000,5.250000,3.250000,3.500000,3.500000,132284
2012-01-01,3.500000,5.750000,3.500000,4.750000,4.750000,208981
2012-02-01,4.750000,5.250000,4.250000,4.500000,4.500000,101048
2012-03-01,4.700000,5.100000,2.950000,3.250000,3.250000,136701
2012-04-01,3.200000,3.550000,2.250000,2.350000,2.350000,89314
2012-05-01,2.350000,2.450000,1.650000,2.250000,2.250000,122996
2012-06-01,2.200000,2.400000,1.900000,2.200000,2.200000,95380
2012-07-01,2.200000,2.450000,1.850000,2.300000,2.300000,88230
2012-08-01,2.300000,3.250000,2.300000,3.200000,3.200000,112815
2012-09-01,3.200000,3.200000,2.400000,2.450000,2.450000,138871
