Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.380000,0.500000,0.380000,0.440000,0.145622,228800
2010-04-01,0.400000,0.460000,0.380000,0.410000,0.139086,268800
2010-05-01,0.420000,0.430000,0.390000,0.420000,0.142478,88600
2010-06-01,0.430000,0.640000,0.310000,0.360000,0.122124,388700
2010-07-01,0.360000,0.400000,0.250000,0.350000,0.121155,288700
2010-08-01,0.350000,0.400000,0.330000,0.330000,0.114232,317200
2010-09-01,0.330000,0.500000,0.330000,0.440000,0.152309,383200
2010-10-01,0.440000,0.490000,0.380000,0.420000,0.149539,127500
2010-11-01,0.420000,0.480000,0.390000,0.460000,0.163781,103200
2010-12-01,0.400000,0.530000,0.390000,0.490000,0.174463,132700
2011-01-01,0.490000,0.500000,0.410000,0.490000,0.186094,66900
2011-02-01,0.490000,0.550000,0.450000,0.530000,0.201285,219900
2011-03-01,0.520000,0.590000,0.490000,0.500000,0.189891,71100
2011-04-01,0.500000,0.640000,0.500000,0.580000,0.224769,212100
2011-05-01,0.580000,1.010000,0.490000,0.650000,0.251897,437600
2011-06-01,0.690000,0.780000,0.550000,0.680000,0.263523,35900
2011-07-01,0.680000,0.780000,0.560000,0.710000,0.279448,120300
2011-08-01,0.630000,0.730000,0.530000,0.690000,0.271576,129100
2011-09-01,0.690000,0.690000,0.510000,0.680000,0.267640,39600
2011-10-01,0.680000,0.680000,0.480000,0.540000,0.215859,82000
2011-11-01,0.550000,0.590000,0.500000,0.580000,0.231848,98000
2011-12-01,0.580000,0.700000,0.510000,0.640000,0.255833,66100
2012-01-01,0.640000,0.640000,0.550000,0.560000,0.236290,38700
2012-02-01,0.630000,0.630000,0.520000,0.600000,0.253168,105700
2012-03-01,0.590000,0.630000,0.560000,0.630000,0.265826,296700
2012-04-01,0.630000,0.650000,0.570000,0.620000,0.265826,84100
2012-05-01,0.620000,0.650000,0.550000,0.620000,0.265826,129500
2012-06-01,0.600000,0.640000,0.580000,0.600000,0.257251,53600
2012-07-01,0.600000,0.680000,0.510000,0.650000,0.283493,32100
2012-08-01,0.650000,0.680000,0.600000,0.660000,0.287855,49400
2012-09-01,0.660000,0.680000,0.620000,0.660000,0.287855,64900
2012-10-01,0.660000,0.660000,0.590000,0.590000,0.261224,50600
2012-11-01,0.600000,0.640000,0.560000,0.630000,0.278934,104400
2012-12-01,0.630000,0.660000,0.540000,0.620000,0.274506,183000
2013-01-01,0.620000,0.650000,0.570000,0.580000,0.278934,68700
2013-02-01,0.590000,0.640000,0.580000,0.630000,0.302980,66000
2013-03-01,0.630000,0.660000,0.580000,0.660000,0.317407,274200
2013-04-01,0.650000,0.720000,0.600000,0.720000,0.351673,353200
2013-05-01,0.720000,0.890000,0.510000,0.810000,0.395632,381000
2013-06-01,0.860000,0.890000,0.790000,0.820000,0.400517,153900
2013-07-01,0.820000,0.880000,0.800000,0.830000,0.410227,46700
2013-08-01,0.830000,0.860000,0.690000,0.800000,0.395400,257100
2013-09-01,0.830000,0.950000,0.810000,0.950000,0.469537,180900
2013-10-01,0.950000,0.950000,0.840000,0.910000,0.455252,37900
2013-11-01,0.910000,0.950000,0.760000,0.870000,0.435241,133500
2013-12-01,0.860000,0.860000,0.750000,0.840000,0.420233,79700
2014-01-01,0.790000,0.850000,0.790000,0.800000,0.414687,37500
2014-02-01,0.800000,0.850000,0.790000,0.840000,0.435422,32000
2014-03-01,0.840000,0.840000,0.760000,0.760000,0.393953,45200
2014-04-01,0.770000,0.810000,0.740000,0.790000,0.414623,135600
2014-05-01,0.800000,0.830000,0.700000,0.800000,0.419871,109100
2014-06-01,0.800000,0.820000,0.730000,0.800000,0.419871,18800
2014-07-01,0.800000,0.830000,0.740000,0.760000,0.404196,228500
2014-08-01,0.760000,0.760000,0.740000,0.750000,0.398878,190500
2014-09-01,0.740000,0.760000,0.710000,0.730000,0.388241,202600
2014-10-01,0.730000,0.760000,0.680000,0.750000,0.404342,165300
2014-11-01,0.750000,0.750000,0.700000,0.750000,0.404342,142800
2014-12-01,0.750000,0.760000,0.690000,0.750000,0.404342,276600
2015-01-01,0.750000,0.750000,0.720000,0.750000,0.415573,321700
2015-02-01,0.740000,0.760000,0.730000,0.750000,0.415573,418000
2015-03-01,0.750000,0.780000,0.700000,0.750000,0.415573,89900
2015-04-01,0.750000,0.750000,0.610000,0.610000,0.342567,172600
2015-05-01,0.670000,0.720000,0.580000,0.650000,0.365030,209900
2015-06-01,0.650000,0.720000,0.610000,0.640000,0.359415,101000
2015-07-01,0.640000,0.640000,0.580000,0.630000,0.359327,135400
2015-08-01,0.630000,0.630000,0.550000,0.550000,0.313698,277000
2015-09-01,0.570000,0.740000,0.520000,0.650000,0.370734,25500
2015-10-01,0.650000,0.650000,0.550000,0.600000,0.348553,47500
2015-11-01,0.560000,0.620000,0.550000,0.560000,0.325317,70300
2015-12-01,0.560000,0.730000,0.550000,0.600000,0.348553,125200
2016-01-01,0.600000,0.620000,0.520000,0.560000,0.343061,67700
2016-02-01,0.590000,0.590000,0.550000,0.590000,0.361439,21100
2016-03-01,0.560000,0.600000,0.560000,0.580000,0.355313,229500
2016-04-01,0.580000,0.620000,0.570000,0.610000,0.380025,178900
2016-05-01,0.610000,0.640000,0.560000,0.580000,0.361336,110800
2016-06-01,0.580000,0.650000,0.560000,0.650000,0.404945,253300
2016-07-01,0.600000,0.700000,0.600000,0.660000,0.417916,159600
2016-08-01,0.700000,0.740000,0.670000,0.720000,0.455908,172300
2016-09-01,0.730000,0.790000,0.700000,0.760000,0.481236,256100
2016-10-01,0.730000,0.840000,0.730000,0.820000,0.526060,256000
2016-11-01,0.820000,0.920000,0.740000,0.820000,0.526060,319600
2016-12-01,0.800000,0.870000,0.550000,0.800000,0.513229,114900
2017-01-01,0.800000,0.880000,0.530000,0.870000,0.572448,57100
2017-02-01,0.800000,0.870000,0.730000,0.800000,0.526389,83400
2017-03-01,0.800000,0.830000,0.730000,0.760000,0.500070,87900
2017-04-01,0.780000,0.780000,0.720000,0.780000,0.519726,94900
2017-05-01,0.710000,0.770000,0.640000,0.750000,0.499737,53700
2017-06-01,0.750000,0.780000,0.700000,0.760000,0.506400,106700
2017-07-01,0.760000,0.800000,0.690000,0.730000,0.492983,97000
2017-08-01,0.710000,0.760000,0.690000,0.710000,0.479477,56900
2017-09-01,0.710000,0.820000,0.610000,0.690000,0.465971,55100
2017-10-01,0.680000,0.740000,0.660000,0.660000,0.451817,174900
2017-11-01,0.660000,0.720000,0.660000,0.700000,0.479199,80100
2017-12-01,0.700000,0.720000,0.660000,0.670000,0.458662,36000
2018-01-01,0.670000,0.720000,0.660000,0.670000,0.472775,151100
2018-02-01,0.670000,0.720000,0.610000,0.720000,0.508057,172200
2018-03-01,0.720000,0.720000,0.650000,0.700000,0.493944,49800
2018-04-01,0.650000,0.700000,0.650000,0.670000,0.479627,19500
2018-05-01,0.680000,0.740000,0.660000,0.700000,0.501103,84500
2018-06-01,0.700000,0.720000,0.690000,0.710000,0.508261,34700
2018-07-01,0.720000,0.720000,0.670000,0.680000,0.493944,82200
2018-08-01,0.680000,0.710000,0.650000,0.680000,0.493944,372700
2018-09-01,0.710000,0.710000,0.670000,0.700000,0.508472,84900
2018-10-01,0.680000,0.710000,0.660000,0.680000,0.501428,130300
2018-11-01,0.680000,0.700000,0.660000,0.680000,0.501428,136600
2018-12-01,0.680000,0.710000,0.650000,0.660000,0.486680,90800
2019-01-01,0.660000,0.740000,0.650000,0.690000,0.531929,85700
2019-02-01,0.660000,0.740000,0.660000,0.740000,0.570475,259600
2019-03-01,0.700000,0.850000,0.670000,0.700000,0.539639,503800
2019-04-01,0.780000,0.840000,0.700000,0.760000,0.593811,77500
2019-05-01,0.810000,0.880000,0.760000,0.790000,0.617251,365200
2019-06-01,0.790000,0.950000,0.760000,0.850000,0.664130,101900
2019-07-01,0.810000,0.850000,0.700000,0.820000,0.649121,463400
2019-08-01,0.850000,0.850000,0.700000,0.700000,0.554127,523400
2019-09-01,0.700000,0.850000,0.700000,0.820000,0.649121,143600
2019-10-01,0.800000,0.900000,0.770000,0.890000,0.712921,428100
2019-11-01,0.890000,0.890000,0.820000,0.820000,0.656848,255600
2019-12-01,0.830000,0.890000,0.790000,0.840000,0.672869,175600
2020-01-01,0.840000,0.890000,0.810000,0.830000,0.689483,128300
2020-02-01,0.830000,0.870000,0.780000,0.790000,0.656255,177300
2020-03-01,0.790000,0.810000,0.570000,0.750000,0.623027,348900
2020-04-01,0.750000,0.890000,0.040000,0.600000,0.505441,232000
2020-05-01,0.610000,0.610000,0.440000,0.520000,0.438049,129100
2020-06-01,0.470000,0.600000,0.450000,0.570000,0.480169,76000
2020-07-01,0.570000,0.600000,0.450000,0.500000,0.421201,180000
2020-08-01,0.500000,0.610000,0.460000,0.600000,0.505441,104300
2020-09-01,0.600000,0.600000,0.500000,0.500000,0.421201,47500
2020-10-01,0.500000,0.570000,0.500000,0.570000,0.480169,99600
2020-11-01,0.570000,0.600000,0.520000,0.550000,0.463321,129900
2020-12-01,0.560000,0.600000,0.520000,0.590000,0.497017,231100
2021-01-01,0.560000,0.720000,0.540000,0.630000,0.530714,194100
2021-02-01,0.560000,0.750000,0.560000,0.670000,0.564410,204500
2021-03-01,0.660000,0.750000,0.620000,0.720000,0.616157,132100
2021-04-01,0.690000,0.770000,0.650000,0.750000,0.651132,200700
2021-05-01,0.750000,0.760000,0.690000,0.720000,0.625087,91100
2021-06-01,0.750000,0.830000,0.700000,0.770000,0.668496,240400
2021-07-01,0.770000,0.810000,0.710000,0.750000,0.659931,80000
2021-08-01,0.780000,0.810000,0.710000,0.740000,0.651132,287600
2021-09-01,0.740000,0.800000,0.710000,0.720000,0.633534,213900
2021-10-01,0.800000,0.870000,0.710000,0.740000,0.659814,185600
2021-11-01,0.740000,1.050000,0.740000,0.800000,0.713313,146700
2021-12-01,0.820000,0.880000,0.770000,0.820000,0.731145,116900
2022-01-01,0.910000,0.910000,0.750000,0.780000,0.704512,97500
2022-02-01,0.780000,0.850000,0.770000,0.830000,0.749673,44500
2022-03-01,0.830000,0.950000,0.820000,0.880000,0.794834,100800
2022-04-01,0.880000,0.950000,0.880000,0.920000,0.841096,144100
2022-05-01,0.920000,0.950000,0.870000,0.870000,0.795385,50700
2022-06-01,0.880000,0.910000,0.790000,0.880000,0.804527,170500
2022-07-01,0.910000,1.000000,0.830000,0.940000,0.868930,72700
2022-08-01,0.940000,0.960000,0.850000,0.910000,0.841198,29300
2022-09-01,0.890000,0.890000,0.780000,0.800000,0.739515,106100
2022-10-01,0.860000,0.860000,0.680000,0.780000,0.730391,93900
2022-11-01,0.780000,0.850000,0.700000,0.740000,0.692935,223500
2022-12-01,0.780000,0.910000,0.730000,0.780000,0.730391,107300
2023-01-01,0.740000,0.920000,0.740000,0.810000,0.778982,105100
2023-02-01,0.780000,0.870000,0.780000,0.870000,0.836685,55800
2023-03-01,0.860000,0.860000,0.780000,0.800000,0.769365,83000
2023-04-01,0.800000,0.850000,0.780000,0.810000,0.788256,21200
2023-05-01,0.760000,0.820000,0.700000,0.730000,0.710404,239000
2023-06-01,0.730000,0.750000,0.690000,0.690000,0.671477,113000
2023-07-01,0.700000,0.850000,0.690000,0.710000,0.700405,176700
2023-08-01,0.710000,0.770000,0.690000,0.740000,0.730000,18800
2023-09-01,0.720000,0.800000,0.690000,0.720000,0.710270,133900
2023-10-01,0.720000,0.750000,0.700000,0.720000,0.720000,19100
