Date,Open,High,Low,Close,Adj Close,Volume
2013-09-01,0.950000,0.980000,0.950000,0.980000,0.980000,3000
2013-10-01,0.980000,1.000000,0.960000,0.960000,0.960000,6400
2013-11-01,0.960000,0.960000,0.910000,0.910000,0.910000,3000
2013-12-01,0.910000,0.930000,0.850000,0.850000,0.850000,12900
2014-01-01,0.850000,0.850000,0.200000,0.200000,0.200000,82900
2014-02-01,0.200000,0.200000,0.100000,0.100000,0.100000,52600
2014-03-01,0.080000,0.120000,0.072000,0.120000,0.120000,50900
2014-04-01,0.100000,0.400000,0.085000,0.400000,0.400000,146000
2014-05-01,0.350000,0.450000,0.260000,0.300000,0.300000,52800
2014-06-01,0.300000,0.310000,0.300000,0.310000,0.310000,6700
2014-07-01,0.310000,0.310000,0.180000,0.235000,0.235000,29300
2014-08-01,0.235000,0.235000,0.190000,0.190000,0.190000,2900
2014-09-01,0.190000,0.300000,0.185000,0.260000,0.260000,76200
2014-10-01,0.260000,0.350000,0.135000,0.350000,0.350000,63000
2014-11-01,0.350000,1.000000,0.350000,0.770000,0.770000,134300
2014-12-01,0.750000,0.770000,0.580000,0.650000,0.650000,83700
2015-01-01,0.650000,0.650000,0.510000,0.600000,0.600000,17300
2015-02-01,0.650000,0.790000,0.650000,0.750000,0.750000,15600
2015-03-01,0.700000,0.700000,0.630000,0.630000,0.630000,11400
2015-04-01,0.630000,0.630000,0.405000,0.405000,0.405000,40900
2015-05-01,0.410000,0.410000,0.300000,0.390000,0.390000,72200
2015-06-01,0.430000,0.430000,0.350000,0.350000,0.350000,36100
2015-07-01,0.350000,0.390000,0.350000,0.390000,0.390000,8000
2015-08-01,0.380000,0.380000,0.350000,0.350000,0.350000,3200
2015-09-01,0.350000,0.350000,0.350000,0.350000,0.350000,1700
2015-10-01,0.350000,0.390000,0.350000,0.390000,0.390000,5700
2015-11-01,0.390000,0.390000,0.360000,0.390000,0.390000,3800
2015-12-01,0.385000,0.500000,0.385000,0.426000,0.426000,46600
2016-01-01,0.420000,0.500000,0.420000,0.474000,0.474000,2800
2016-02-01,0.474000,0.581000,0.410000,0.500000,0.500000,23300
2016-03-01,0.590000,0.650000,0.540000,0.630000,0.630000,91500
2016-04-01,0.636000,0.670000,0.540000,0.620000,0.620000,27300
2016-05-01,0.620000,0.750000,0.410000,0.500000,0.500000,92100
2016-06-01,0.500000,0.510000,0.440000,0.510000,0.510000,10800
2016-07-01,0.510000,0.510000,0.400000,0.400000,0.400000,30700
2016-08-01,0.400000,0.480000,0.350000,0.480000,0.480000,26500
2016-09-01,0.480000,0.520000,0.350000,0.350000,0.350000,14200
2016-10-01,0.350000,0.350000,0.215000,0.215000,0.215000,22200
2016-11-01,0.215000,0.390000,0.080000,0.350000,0.350000,173700
2016-12-01,0.300000,0.580000,0.300000,0.400000,0.400000,342200
2017-01-01,0.400000,0.425000,0.150000,0.295000,0.295000,160800
2017-02-01,0.295000,0.620000,0.255000,0.570000,0.570000,306400
2017-03-01,0.570000,0.700000,0.400000,0.520000,0.520000,376900
2017-04-01,0.520000,0.660000,0.400000,0.480000,0.480000,243100
2017-05-01,0.450000,0.590000,0.150000,0.288000,0.288000,309800
2017-06-01,0.199000,0.400000,0.185000,0.300000,0.300000,125100
2017-07-01,0.300000,0.300000,0.240000,0.270000,0.270000,95000
2017-08-01,0.270000,0.279000,0.200000,0.279000,0.279000,165400
2017-09-01,0.279000,0.400000,0.210000,0.350000,0.350000,167800
2017-10-01,0.350000,0.380000,0.221000,0.310000,0.310000,161700
2017-11-01,0.320000,0.480000,0.280000,0.480000,0.480000,197000
2017-12-01,0.500000,0.750000,0.400000,0.570000,0.570000,297200
2018-01-01,0.575000,0.740000,0.263000,0.519000,0.519000,207700
2018-02-01,0.421000,0.570000,0.322000,0.430000,0.430000,190000
2018-03-01,0.400000,0.450000,0.255000,0.398000,0.398000,90800
2018-04-01,0.310000,0.350000,0.199000,0.300000,0.300000,124500
2018-05-01,0.267000,0.400000,0.215000,0.240000,0.240000,116500
2018-06-01,0.250000,0.300000,0.105000,0.125000,0.125000,178600
2018-07-01,0.170000,0.200000,0.098000,0.150000,0.150000,382700
2018-08-01,0.150000,0.210000,0.120000,0.208000,0.208000,34400
2018-09-01,0.208000,0.208000,0.100000,0.170000,0.170000,42400
2018-10-01,0.170000,0.170000,0.085000,0.096000,0.096000,139800
2018-11-01,0.100000,0.230000,0.096000,0.100000,0.100000,240400
2018-12-01,0.100000,0.160000,0.070000,0.075000,0.075000,399500
2019-01-01,0.075000,0.135000,0.065000,0.135000,0.135000,374500
2019-02-01,0.135000,0.140000,0.080000,0.120000,0.120000,224100
2019-03-01,0.100000,0.150000,0.100000,0.140000,0.140000,226200
2019-04-01,0.144000,0.990000,0.115000,0.990000,0.990000,2382100
2019-05-01,0.996000,1.130000,0.450000,0.745000,0.745000,990600
2019-06-01,0.745000,0.900000,0.510000,0.695000,0.695000,377100
2019-07-01,0.670000,0.750000,0.270000,0.500000,0.500000,1704900
2019-08-01,0.500000,0.510000,0.170000,0.200000,0.200000,1987100
2019-09-01,0.190000,0.340000,0.115000,0.200000,0.200000,2303100
2019-10-01,0.159000,0.280000,0.093000,0.250000,0.250000,4775600
2019-11-01,0.230000,0.320000,0.170000,0.295000,0.295000,1686000
2019-12-01,0.310000,0.310000,0.200000,0.210000,0.210000,633000
2020-01-01,0.250000,0.260000,0.151000,0.170000,0.170000,1054200
2020-02-01,0.169000,0.199000,0.101000,0.139000,0.139000,2169000
2020-03-01,0.140000,0.196000,0.077000,0.120000,0.120000,1724500
2020-04-01,0.120000,0.192000,0.100000,0.150000,0.150000,1729400
2020-05-01,0.150000,0.175000,0.118000,0.120000,0.120000,1051100
2020-06-01,0.140000,0.188000,0.120000,0.160000,0.160000,1129900
2020-07-01,0.165000,0.480000,0.151000,0.255000,0.255000,6587900
2020-08-01,0.285000,0.320000,0.204000,0.280000,0.280000,3079400
2020-09-01,0.350000,1.120000,0.290000,0.646000,0.646000,27319500
2020-10-01,0.646000,0.646000,0.420000,0.446000,0.446000,4011500
2020-11-01,0.480000,0.559000,0.320000,0.415000,0.415000,4578800
2020-12-01,0.430000,0.439000,0.275000,0.309000,0.309000,5015000
2021-01-01,0.319000,0.320000,0.250000,0.278000,0.278000,4928400
2021-02-01,0.278000,0.280000,0.191000,0.238000,0.238000,6227000
2021-03-01,0.240000,0.260000,0.190000,0.235000,0.235000,5357600
2021-04-01,0.260000,0.365000,0.189000,0.300000,0.300000,9121400
2021-05-01,0.300000,0.349000,0.248000,0.250000,0.250000,5610700
2021-06-01,0.260000,0.668000,0.208000,0.439000,0.439000,11826500
2021-07-01,0.450000,0.479000,0.305000,0.365000,0.365000,9947100
2021-08-01,0.370000,0.430000,0.315000,0.328000,0.328000,4719800
2021-09-01,0.335000,0.380000,0.263000,0.290000,0.290000,3701100
2021-10-01,0.290000,0.345000,0.265000,0.271000,0.271000,3336500
2021-11-01,0.275000,0.290000,0.216000,0.254000,0.254000,3463100
2021-12-01,0.255000,0.290000,0.213000,0.260000,0.260000,4055000
2022-01-01,0.222000,0.260000,0.161000,0.180000,0.180000,4904000
2022-02-01,0.187000,0.200000,0.090000,0.107000,0.107000,6314400
