Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,84.300003,96.599998,82.599998,89.099998,44.854744,1414660
2010-04-01,89.099998,100.500000,81.400002,82.400002,41.481823,1971580
2010-05-01,82.699997,86.400002,65.000000,68.500000,34.581318,2117950
2010-06-01,68.000000,70.000000,61.000000,64.000000,32.309547,1495520
2010-07-01,64.300003,72.699997,53.599998,59.500000,30.037775,2197100
2010-08-01,60.200001,61.200001,55.700001,56.799999,33.627182,1112920
2010-09-01,57.799999,72.699997,57.000000,72.099998,42.685196,1073800
2010-10-01,72.500000,73.199997,60.299999,65.599998,38.837017,1062140
2010-11-01,65.800003,68.900002,59.799999,64.400002,38.126595,1328290
2010-12-01,64.900002,66.599998,59.099998,59.700001,35.484196,1424150
2011-01-01,60.700001,61.000000,55.299999,56.200001,33.403893,1160210
2011-02-01,56.599998,61.400002,55.599998,59.000000,35.068142,789340
2011-03-01,58.900002,59.900002,54.099998,58.500000,34.770950,838030
2011-04-01,58.599998,68.099998,57.500000,67.199997,40.112854,961690
2011-05-01,67.500000,71.000000,63.799999,66.300003,39.575623,1175300
2011-06-01,66.400002,66.900002,58.400002,61.099998,36.471653,739820
2011-07-01,61.200001,82.500000,60.700001,74.099998,44.412407,1281950
2011-08-01,74.900002,75.099998,56.599998,68.599998,41.115940,1207110
2011-09-01,68.599998,76.199997,61.099998,67.199997,40.276836,1217420
2011-10-01,66.599998,77.000000,62.900002,71.800003,43.177250,922870
2011-11-01,68.699997,77.300003,67.199997,73.599998,44.259674,918920
2011-12-01,73.199997,85.800003,72.599998,83.300003,50.092815,964400
2012-01-01,84.400002,88.400002,81.599998,87.599998,52.851578,674560
2012-02-01,88.000000,93.800003,85.500000,89.599998,54.058239,566750
2012-03-01,90.300003,95.800003,89.500000,92.300003,55.839962,571460
2012-04-01,91.900002,95.000000,81.800003,82.000000,49.608631,485720
2012-05-01,82.199997,84.800003,60.000000,63.799999,38.597931,1211690
2012-06-01,62.400002,63.000000,53.500000,58.700001,35.512524,854530
2012-07-01,58.700001,62.799999,54.799999,60.000000,36.448135,809380
2012-08-01,60.200001,62.900002,52.500000,54.299999,32.985561,503360
2012-09-01,54.099998,54.500000,47.799999,48.000000,29.158504,580700
2012-10-01,48.200001,48.599998,39.799999,40.400002,24.660999,675150
2012-11-01,40.500000,42.000000,34.799999,37.599998,22.951818,914930
2012-12-01,38.000000,41.200001,36.200001,40.000000,24.589022,1149860
2013-01-01,40.599998,42.200001,35.900002,41.799999,25.695528,1331840
2013-02-01,40.200001,41.799999,37.599998,39.599998,24.343128,1524320
2013-03-01,39.299999,47.000000,39.000000,41.700001,25.796505,814740
2013-04-01,41.200001,57.000000,40.000000,56.599998,35.013947,1168950
2013-05-01,56.599998,57.000000,49.700001,54.599998,33.776718,1352670
2013-06-01,55.000000,60.099998,51.299999,56.099998,34.704647,997400
2013-07-01,56.500000,61.500000,52.000000,59.799999,37.158253,932670
2013-08-01,60.200001,61.400002,52.500000,57.799999,35.915497,981820
2013-09-01,58.299999,62.200001,52.799999,60.900002,37.841770,791460
2013-10-01,60.700001,62.099998,55.700001,60.500000,37.752644,623350
2013-11-01,56.500000,61.599998,47.200001,58.900002,36.754230,933940
2013-12-01,58.500000,58.900002,49.900002,53.200001,33.197365,576780
2014-01-01,53.299999,57.400002,49.400002,49.700001,31.145527,462870
2014-02-01,49.599998,60.700001,46.500000,60.700001,38.038898,1083510
2014-03-01,60.299999,70.300003,59.299999,61.200001,38.352234,680340
2014-04-01,61.099998,68.800003,49.700001,50.500000,31.764503,837600
2014-05-01,50.299999,53.700001,40.299999,41.000000,25.789007,905020
2014-06-01,40.500000,41.200001,30.100000,30.500000,19.184505,1521320
2014-07-01,30.799999,32.000000,27.799999,28.100000,17.783342,1224550
2014-08-01,28.200001,33.099998,26.100000,33.000000,20.884348,740460
2014-09-01,33.299999,33.700001,22.799999,23.200001,14.682329,996190
2014-10-01,23.100000,24.400000,20.000000,22.900000,14.572540,582280
2014-11-01,23.100000,32.599998,21.200001,30.200001,19.217939,939880
2014-12-01,30.200001,30.200001,20.200001,21.900000,13.936188,1208990
2015-01-01,22.100000,38.200001,21.500000,35.799999,22.902496,1945440
2015-02-01,36.200001,40.000000,34.299999,36.799999,23.542227,1185750
2015-03-01,36.400002,38.900002,31.000000,36.299999,23.222355,634900
2015-04-01,35.900002,36.599998,31.500000,33.099998,21.263561,387850
2015-05-01,33.000000,34.200001,25.000000,26.000000,16.702497,728510
2015-06-01,26.000000,26.200001,17.900000,20.000000,12.848075,1228880
2015-07-01,20.100000,21.500000,17.600000,18.400000,11.820227,404240
2015-08-01,18.299999,19.200001,12.400000,13.700000,8.800930,826670
2015-09-01,13.700000,13.700000,9.300000,9.400000,6.038593,1074230
2015-10-01,9.500000,12.600000,9.500000,11.100000,7.130682,497290
2015-11-01,11.000000,11.600000,3.900000,4.600000,2.955057,1761270
2015-12-01,4.700000,6.700000,4.300000,5.600000,3.597461,1423930
2016-01-01,5.700000,5.900000,3.700000,3.900000,2.505374,498770
