Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.680000,0.720000,0.600000,0.640000,0.640000,4221250
2010-04-01,0.640000,1.000000,0.640000,0.800000,0.800000,17109250
2010-05-01,0.800000,0.800000,0.560000,0.560000,0.560000,6679125
2010-06-01,0.560000,0.600000,0.520000,0.520000,0.520000,1783250
2010-07-01,0.560000,0.680000,0.520000,0.560000,0.560000,5308500
2010-08-01,0.560000,0.560000,0.480000,0.480000,0.480000,1234125
2010-09-01,0.480000,0.720000,0.480000,0.600000,0.600000,5043250
2010-10-01,0.600000,0.640000,0.520000,0.520000,0.520000,1925750
2010-11-01,0.520000,0.600000,0.480000,0.520000,0.520000,806375
2010-12-01,0.520000,0.560000,0.480000,0.520000,0.520000,875750
2011-01-01,0.520000,0.600000,0.480000,0.480000,0.480000,1107500
2011-02-01,0.520000,0.560000,0.440000,0.440000,0.440000,917625
2011-03-01,0.440000,0.520000,0.400000,0.480000,0.480000,2208500
2011-04-01,0.520000,0.520000,0.440000,0.480000,0.480000,433125
2011-05-01,0.480000,0.560000,0.440000,0.480000,0.480000,1809375
2011-06-01,0.440000,0.480000,0.360000,0.360000,0.360000,466750
2011-07-01,0.400000,0.400000,0.320000,0.384000,0.384000,122750
2011-08-01,0.344000,0.400000,0.280000,0.336000,0.336000,1567500
2011-09-01,0.392000,0.392000,0.320000,0.352000,0.352000,264875
2011-10-01,0.344000,0.504000,0.304000,0.472000,0.472000,1130125
2011-11-01,0.472000,0.592000,0.456000,0.488000,0.488000,3107875
2011-12-01,0.496000,0.496000,0.360000,0.480000,0.480000,1466250
2012-01-01,0.480000,0.480000,0.384000,0.400000,0.400000,678875
2012-02-01,0.400000,0.544000,0.360000,0.536000,0.536000,2045125
2012-03-01,0.496000,0.512000,0.400000,0.400000,0.400000,279625
2012-04-01,0.416000,0.432000,0.368000,0.392000,0.392000,143000
2012-05-01,0.392000,0.392000,0.248000,0.248000,0.248000,37125
2012-06-01,0.360000,0.360000,0.256000,0.360000,0.360000,29250
2012-07-01,0.264000,0.400000,0.256000,0.400000,0.400000,116750
2012-08-01,0.360000,0.400000,0.264000,0.264000,0.264000,37250
2012-09-01,0.264000,0.280000,0.240000,0.264000,0.264000,52875
2012-10-01,0.264000,0.280000,0.240000,0.240000,0.240000,144625
2012-11-01,0.240000,0.264000,0.208000,0.240000,0.240000,209500
2012-12-01,0.240000,0.312000,0.224000,0.248000,0.248000,168125
2013-01-01,0.248000,0.400000,0.248000,0.296000,0.296000,627875
2013-02-01,0.296000,0.352000,0.272000,0.312000,0.312000,247750
2013-03-01,0.296000,0.304000,0.240000,0.248000,0.248000,902125
2013-04-01,0.256000,0.384000,0.248000,0.336000,0.336000,7568250
2013-05-01,0.336000,0.384000,0.320000,0.352000,0.352000,1494375
2013-06-01,0.352000,0.432000,0.352000,0.424000,0.424000,1904000
2013-07-01,0.416000,0.856000,0.408000,0.640000,0.640000,15250500
2013-08-01,0.616000,0.936000,0.520000,0.664000,0.664000,11294500
2013-09-01,0.664000,0.808000,0.648000,0.648000,0.648000,9246500
2013-10-01,0.656000,0.656000,0.544000,0.584000,0.584000,1627375
2013-11-01,0.560000,0.624000,0.560000,0.576000,0.576000,418000
2013-12-01,0.576000,0.640000,0.568000,0.624000,0.624000,313000
2014-01-01,0.624000,0.640000,0.528000,0.560000,0.560000,1047500
2014-02-01,0.552000,0.576000,0.544000,0.552000,0.552000,545250
2014-03-01,0.552000,0.552000,0.480000,0.480000,0.480000,538750
2014-04-01,0.544000,0.696000,0.472000,0.504000,0.504000,1298625
2014-05-01,0.504000,0.600000,0.456000,0.576000,0.576000,510750
2014-06-01,0.576000,0.640000,0.520000,0.520000,0.520000,541625
2014-07-01,0.520000,44.005001,0.480000,44.005001,44.005001,313572
2014-08-01,0.488000,0.488000,0.440000,0.464000,0.464000,408625
2014-09-01,0.464000,0.504000,0.440000,0.440000,0.440000,472375
2014-10-01,0.440000,0.544000,0.400000,0.504000,0.504000,1343500
