Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,34.020000,37.990002,33.709999,36.419998,27.739365,33729600
2010-04-01,36.520000,41.419998,36.400002,38.200001,29.095102,34199900
2010-05-01,38.349998,38.919998,34.000000,35.330002,26.909159,39001600
2010-06-01,35.000000,35.779999,31.270000,32.090000,24.441408,50205700
2010-07-01,32.209999,36.480000,31.719999,34.310001,26.132278,27052600
2010-08-01,34.830002,35.250000,30.020000,31.260000,23.809244,39602900
2010-09-01,31.520000,34.549999,31.490000,33.250000,25.324924,22714200
2010-10-01,33.380001,34.000000,31.000000,31.370001,23.893024,32175900
2010-11-01,31.370001,31.620001,28.840000,30.650000,23.344629,45982100
2010-12-01,30.940001,31.200001,27.820000,30.459999,23.199919,39213900
2011-01-01,30.620001,32.779999,30.250000,31.790001,24.212917,24512300
2011-02-01,31.910000,42.270000,31.570000,41.029999,31.250584,43795800
2011-03-01,41.240002,43.869999,39.770000,43.430000,33.078548,42085500
2011-04-01,43.480000,44.439999,40.570000,41.110001,31.311508,29161700
2011-05-01,40.980000,41.419998,30.830000,33.410000,25.446791,69079100
2011-06-01,33.220001,33.480000,31.320000,33.150002,25.248764,38765900
2011-07-01,33.410000,36.439999,33.080002,34.830002,26.528341,19853400
2011-08-01,35.230000,35.270000,28.889999,33.900002,25.819998,34634700
2011-09-01,34.000000,36.000000,30.790001,34.830002,26.528341,31753400
2011-10-01,34.730000,38.910000,32.549999,37.689999,28.706663,25985800
2011-11-01,36.830002,41.810001,36.130001,40.110001,30.549868,30082500
2011-12-01,39.980000,40.619999,35.650002,37.759998,28.759972,25661500
2012-01-01,38.250000,41.540001,37.119999,39.490002,30.077637,22602800
2012-02-01,39.619999,44.820000,39.480000,43.849998,33.398434,21405100
2012-03-01,44.049999,47.220001,41.990002,43.020000,32.766270,29776300
2012-04-01,42.639999,45.980000,34.459999,36.639999,27.906929,44757600
2012-05-01,36.669998,38.150002,33.770000,36.750000,27.990709,37703500
2012-06-01,36.020000,41.419998,36.020000,40.790001,31.067793,23718400
2012-07-01,41.029999,41.340000,38.060001,40.509998,30.854523,18730300
2012-08-01,40.650002,42.259998,29.330000,30.440001,23.184683,42738500
2012-09-01,30.490000,31.900000,29.080000,29.580000,22.529665,24320700
2012-10-01,29.760000,31.260000,28.459999,29.129999,22.186918,23806600
2012-11-01,29.170000,31.719999,26.690001,28.160000,21.448118,21687400
2012-12-01,28.290001,32.130001,27.090000,28.459999,21.676611,36158900
2013-01-01,29.040001,32.660000,27.420000,32.150002,24.487108,26189000
2013-02-01,32.259998,34.930000,32.000000,33.299999,25.363007,40455800
2013-03-01,33.119999,36.730000,32.590000,35.270000,26.863466,21345000
2013-04-01,35.189999,37.810001,33.759998,36.419998,27.739365,13676200
2013-05-01,36.320000,39.220001,34.049999,34.049999,25.934244,21840700
2013-06-01,34.020000,34.240002,31.170000,31.530001,24.014891,18006700
2013-07-01,31.879999,36.560001,31.670000,36.130001,27.518488,16428100
2013-08-01,36.369999,37.270000,31.559999,35.419998,26.977711,15205500
2013-09-01,35.650002,37.980000,34.250000,37.090000,28.249668,9583000
2013-10-01,37.090000,37.869999,35.259998,36.360001,27.693665,9093600
2013-11-01,36.540001,38.639999,35.400002,38.330002,29.194120,9084100
2013-12-01,38.279999,39.020000,30.219999,32.290001,24.593742,30222900
2014-01-01,32.299999,32.340000,26.490000,26.790001,20.404655,25384700
2014-02-01,26.840000,29.809999,25.500000,29.549999,22.506817,21985400
2014-03-01,29.389999,38.400002,28.830000,37.869999,28.843761,45340500
2014-04-01,37.740002,40.240002,36.619999,39.500000,30.085249,23249200
2014-05-01,39.630001,43.200001,36.759998,42.439999,32.324516,22239800
2014-06-01,42.259998,46.290001,42.150002,45.700001,34.807495,21717900
2014-07-01,45.689999,46.389999,43.180000,43.750000,33.322277,13334400
2014-08-01,43.509998,48.520000,42.900002,46.349998,35.436317,16771100
2014-09-01,46.490002,47.639999,43.009998,43.049999,32.913349,17916100
2014-10-01,42.939999,46.790001,41.230000,45.650002,35.029560,27902100
2014-11-01,45.680000,51.750000,44.360001,50.799999,38.981438,18736000
2014-12-01,48.580002,48.779999,38.150002,40.020000,30.709381,38134000
2015-01-01,40.360001,48.220001,38.740002,45.910000,35.376961,26753500
2015-02-01,45.900002,48.910000,44.450001,47.709999,36.763985,11892500
2015-03-01,47.740002,51.110001,47.049999,48.029999,37.010567,24311500
2015-04-01,47.959999,49.610001,44.950001,45.570000,35.249306,14580000
2015-05-01,45.740002,48.529999,43.750000,43.900002,33.957531,22585700
2015-06-01,44.099998,47.389999,43.959999,44.990002,34.800667,22800100
2015-07-01,45.240002,47.250000,41.369999,43.180000,33.539120,21446100
2015-08-01,43.240002,49.000000,39.770000,47.990002,37.275181,25140300
2015-09-01,47.389999,49.180000,44.119999,47.919998,37.220810,23366400
2015-10-01,47.759998,50.150002,45.630001,46.099998,35.952663,19547700
2015-11-01,45.939999,48.139999,41.009998,44.990002,35.087006,13994000
2015-12-01,45.009998,45.919998,37.410000,38.540001,30.056742,24594000
2016-01-01,38.040001,40.639999,33.779999,38.779999,30.395052,16959700
2016-02-01,38.400002,40.869999,35.860001,40.450001,31.703978,14672000
2016-03-01,40.369999,46.130001,40.029999,45.290001,35.497467,20601600
2016-04-01,45.290001,47.950001,43.680000,45.860001,36.116119,16532700
2016-05-01,46.130001,53.049999,41.610001,52.299999,41.187828,32484700
2016-06-01,52.230000,53.349998,47.939999,50.110001,39.463127,28066400
2016-07-01,50.080002,53.950001,49.500000,53.180000,42.047924,18547400
2016-08-01,53.180000,56.299999,48.939999,49.320000,38.995934,29857000
2016-09-01,49.180000,50.209999,45.779999,47.750000,37.754574,21622800
2016-10-01,47.560001,48.000000,42.400002,43.400002,34.461548,17215400
2016-11-01,43.400002,53.990002,42.580002,50.610001,40.186600,19297700
2016-12-01,50.110001,56.540001,49.669998,50.209999,39.868977,23151600
2017-01-01,50.380001,52.560001,47.610001,50.000000,39.855103,18141800
2017-02-01,50.000000,53.779999,49.230000,51.340000,40.923218,19673600
2017-03-01,52.470001,55.099998,46.990002,48.680000,38.802933,30673800
2017-04-01,48.639999,51.950001,46.840000,50.490002,40.453392,18925100
2017-05-01,50.720001,51.770000,45.099998,48.830002,39.123367,26974800
2017-06-01,49.070000,51.709999,46.160000,48.299999,38.698723,21982700
2017-07-01,48.509998,50.680000,46.070000,49.669998,40.003708,18916700
2017-08-01,49.799999,52.500000,47.020000,47.599998,38.336552,23359600
2017-09-01,47.830002,54.180000,46.950001,53.570000,43.144730,20953700
2017-10-01,53.310001,53.689999,50.669998,51.310001,41.543194,16363100
2017-11-01,51.700001,60.180000,51.009998,59.099998,47.850372,15747000
2017-12-01,56.139999,60.200001,52.959999,56.150002,45.461910,25368600
2018-01-01,56.330002,64.419998,54.419998,60.779999,49.431892,21794900
2018-02-01,60.279999,60.709999,53.009998,56.200001,45.707031,19164000
2018-03-01,56.290001,57.259998,42.360001,43.529999,35.402615,46835100
2018-04-01,43.590000,44.689999,41.040001,42.450001,34.752190,30496200
2018-05-01,42.520000,43.680000,39.480000,40.910000,33.491447,27174600
2018-06-01,36.799999,43.509998,36.200001,41.779999,34.203682,46388700
2018-07-01,41.669998,44.500000,39.990002,43.430000,35.809105,22748900
2018-08-01,43.139999,50.349998,41.090000,43.049999,35.495785,35582500
2018-09-01,43.110001,44.630001,40.759998,41.790001,34.456890,23537400
2018-10-01,41.939999,44.840000,39.330002,41.520000,34.479321,26468400
2018-11-01,41.500000,45.130001,40.230000,43.560001,36.173397,19083300
2018-12-01,44.139999,44.810001,26.209999,28.920000,24.015945,44481600
2019-01-01,28.500000,32.709999,28.219999,31.540001,26.457745,22638400
2019-02-01,31.610001,32.740002,30.049999,31.530001,26.449360,18871400
2019-03-01,31.930000,38.299999,31.129999,38.020000,31.893578,52582000
2019-04-01,38.209999,39.529999,36.689999,37.160000,31.445675,21319300
2019-05-01,37.340000,38.590000,25.730000,27.600000,23.355776,32484500
2019-06-01,26.209999,30.559999,26.150000,28.610001,24.210463,24175400
2019-07-01,28.969999,29.490000,23.040001,25.600000,21.890245,31172500
2019-08-01,25.670000,26.200001,19.830000,22.750000,19.453249,34089800
2019-09-01,22.500000,25.070000,21.410000,24.500000,20.949652,24797700
2019-10-01,24.600000,24.750000,19.830000,21.670000,18.761282,23140000
2019-11-01,21.799999,22.950001,18.540001,20.900000,18.094633,23267100
2019-12-01,21.000000,29.629999,18.730000,28.719999,24.864969,58024600
2020-01-01,28.959999,30.440001,26.129999,27.059999,23.679611,25238500
2020-02-01,27.150000,29.110001,14.750000,15.810000,13.834985,33204400
2020-03-01,16.389999,18.889999,10.130000,14.220000,12.443609,52196800
2020-04-01,13.530000,25.469999,12.760000,23.450001,21.095924,43570600
2020-05-01,23.760000,42.330002,23.270000,38.750000,34.859997,42558800
2020-06-01,38.279999,44.900002,32.110001,42.000000,37.783745,55720100
2020-07-01,42.029999,43.029999,35.130001,39.340000,35.681896,29104000
2020-08-01,39.750000,57.240002,38.799999,47.150002,42.765663,32916000
2020-09-01,47.240002,51.900002,42.610001,44.599998,40.452782,36368500
2020-10-01,44.900002,54.700001,43.020000,47.599998,43.453449,27533300
2020-11-01,48.000000,53.700001,44.840000,51.669998,47.168900,18583400
2020-12-01,52.000000,55.290001,42.660000,42.930000,39.190258,39122500
2021-01-01,43.150002,67.000000,42.049999,59.680000,54.850243,37690900
2021-02-01,60.360001,68.120003,51.310001,63.540001,58.397861,19358000
2021-03-01,63.919998,72.269997,56.200001,68.300003,62.772644,22067400
2021-04-01,69.010002,71.540001,62.259998,68.940002,63.643303,13316700
2021-05-01,69.290001,71.000000,58.619999,60.939999,56.257935,15196900
2021-06-01,61.560001,73.230003,61.049999,66.010002,60.938412,18361700
2021-07-01,66.480003,66.480003,56.240002,57.610001,53.411163,11546700
2021-08-01,57.990002,60.240002,46.869999,48.660000,45.113468,18722000
2021-09-01,48.910000,50.099998,43.040001,43.360001,40.199760,19395500
2021-10-01,43.389999,48.110001,41.759998,44.250000,41.293324,16505200
2021-11-01,44.720001,52.090000,42.310001,43.380001,40.481449,13480300
2021-12-01,44.290001,47.750000,40.060001,45.049999,42.039864,21867400
2022-01-01,45.529999,50.869999,38.529999,41.910000,39.378345,22546600
2022-02-01,42.360001,43.900002,31.570000,34.759998,32.660252,20975200
2022-03-01,35.029999,40.450001,31.430000,34.599998,32.509918,34957000
2022-04-01,34.820000,39.490002,30.820000,30.900000,29.269213,19760100
2022-05-01,31.160000,34.689999,24.110001,24.490000,23.197510,42118800
2022-06-01,24.459999,25.639999,20.410000,20.969999,19.863281,32630700
2022-07-01,21.010000,23.650000,18.160000,20.190001,19.124447,20168200
2022-08-01,20.160000,29.250000,19.719999,20.570000,19.484392,32645400
2022-09-01,20.250000,24.090000,15.520000,15.610000,14.786162,24242800
2022-10-01,15.830000,19.190001,15.160000,18.870001,18.112860,20833600
2022-11-01,19.209999,20.910000,16.590000,19.500000,18.717579,19839300
2022-12-01,17.150000,18.430000,12.870000,14.700000,14.110176,29121400
2023-01-01,14.960000,19.540001,14.590000,16.360001,15.988745,18953400
2023-02-01,16.330000,19.969999,14.280000,14.350000,14.024357,22200800
2023-03-01,14.280000,15.980000,9.780000,10.960000,10.711286,38999200
2023-04-01,10.900000,12.270000,8.280000,8.990000,8.990000,30934100
2023-05-01,8.950000,9.120000,4.780000,5.020000,5.020000,45547400
2023-06-01,4.960000,9.310000,4.820000,8.830000,8.830000,80697200
2023-07-01,8.820000,11.060000,8.220000,10.250000,10.250000,29690800
2023-08-01,10.090000,10.200000,6.020000,6.200000,6.200000,46225600
2023-09-01,6.220000,6.540000,4.390000,5.110000,5.110000,31697200
2023-10-01,5.100000,5.180000,3.730000,4.350000,4.350000,16796500
