Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,17.469999,21.700001,14.720000,20.870001,20.870001,39401100
2022-04-01,21.000000,34.000000,14.360000,14.900000,14.900000,50204000
2022-05-01,14.890000,14.890000,8.450000,9.920000,9.920000,16772200
2022-06-01,9.710000,10.400000,6.620000,8.160000,8.160000,22396500
2022-07-01,8.430000,9.690000,8.030000,9.390000,9.390000,7174600
2022-08-01,9.390000,11.067000,8.250000,9.750000,9.750000,15348000
2022-09-01,9.800000,9.820000,7.260000,7.730000,7.730000,12869300
2022-10-01,7.850000,8.200000,5.820000,7.250000,7.250000,7964600
2022-11-01,7.350000,8.060000,5.830000,6.110000,6.110000,9657800
2022-12-01,6.100000,6.880000,5.750000,6.110000,6.110000,7387900
2023-01-01,6.200000,7.000000,5.745000,6.600000,6.600000,11650900
2023-02-01,6.590000,8.270000,6.240000,6.660000,6.660000,11441200
2023-03-01,6.700000,6.720000,4.860000,5.140000,5.140000,16224200
2023-04-01,5.150000,5.415000,4.790000,5.210000,5.210000,7464200
2023-05-01,5.190000,5.820000,4.850000,5.390000,5.390000,9227500
2023-06-01,5.430000,5.850000,5.005000,5.160000,5.160000,10645400
2023-07-01,5.150000,5.170000,4.375000,4.580000,4.580000,12013200
2023-08-01,4.590000,5.025000,3.910000,4.520000,4.520000,14889100
2023-09-01,4.530000,4.805000,3.450000,3.590000,3.590000,9689800
2023-10-01,3.590000,3.635000,2.610000,2.730000,2.730000,6989100
