Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,3.920000,4.820000,3.920000,4.340000,4.221350,75500
2010-04-01,4.350000,4.500000,4.070000,4.400000,4.279709,69800
2010-05-01,4.440000,4.490000,3.500000,3.610000,3.511307,194100
2010-06-01,3.260000,3.750000,2.760000,2.870000,2.791538,384200
2010-07-01,2.950000,3.120000,2.580000,2.850000,2.772085,139100
2010-08-01,2.900000,3.200000,2.650000,2.860000,2.781811,106900
2010-09-01,2.900000,3.340000,2.620000,3.210000,3.122242,116300
2010-10-01,3.250000,3.650000,2.900000,3.040000,2.956890,136400
2010-11-01,3.050000,3.350000,2.720000,3.080000,2.995797,166900
2010-12-01,3.140000,3.690000,2.850000,3.620000,3.521034,200800
2011-01-01,3.740000,9.010000,3.700000,7.490000,7.285233,1852400
2011-02-01,8.100000,8.100000,5.870000,7.540000,7.333866,617300
2011-03-01,7.680000,7.800000,6.620000,7.240000,7.042068,311900
2011-04-01,7.170000,7.750000,6.350000,6.850000,6.662729,247300
2011-05-01,6.820000,6.990000,6.350000,6.440000,6.263939,150400
2011-06-01,6.450000,6.710000,4.910000,5.150000,5.009205,257200
2011-07-01,4.900000,5.200000,4.180000,4.480000,4.357522,111600
2011-08-01,4.360000,4.440000,2.910000,4.000000,3.890645,102100
2011-09-01,3.890000,4.000000,3.300000,3.500000,3.404315,60400
2011-10-01,3.500000,3.730000,3.260000,3.400000,3.307049,205000
2011-11-01,3.400000,3.640000,3.050000,3.350000,3.258415,65300
2011-12-01,3.220000,3.420000,2.700000,2.700000,2.626186,172700
2012-01-01,2.980000,3.110000,2.600000,2.850000,2.772085,76600
2012-02-01,2.890000,3.080000,2.620000,2.830000,2.752631,415800
2012-03-01,2.820000,4.140000,2.710000,3.300000,3.209782,510800
2012-04-01,3.250000,3.480000,3.000000,3.160000,3.073610,178400
2012-05-01,3.290000,3.350000,2.860000,3.250000,3.161149,119000
2012-06-01,3.210000,3.210000,2.790000,2.970000,2.888804,84700
2012-07-01,3.000000,3.140000,2.870000,2.990000,2.908257,31500
2012-08-01,3.010000,3.370000,2.900000,3.070000,2.986070,39000
2012-09-01,3.070000,3.270000,3.020000,3.220000,3.131969,37100
2012-10-01,3.220000,3.500000,3.050000,3.340000,3.248688,85700
2012-11-01,3.340000,3.440000,3.180000,3.330000,3.238962,27400
2012-12-01,3.300000,3.370000,3.190000,3.320000,3.229235,139000
2013-01-01,3.320000,3.500000,3.080000,3.400000,3.307049,70500
2013-02-01,3.480000,3.640000,3.260000,3.400000,3.307049,31400
