Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,120000.000000,156000.000000,93600.000000,128000.000000,128000.000000,0
2013-02-01,128000.000000,139200.000000,120000.000000,137600.000000,137600.000000,0
2013-03-01,132000.000000,136000.000000,92000.000000,108000.000000,108000.000000,0
2013-04-01,92000.000000,131600.000000,56000.000000,80000.000000,80000.000000,0
2013-05-01,80000.000000,94400.000000,61600.000000,80000.000000,80000.000000,0
2013-06-01,72000.000000,95200.000000,56408.000000,58400.000000,58400.000000,0
2013-07-01,58400.000000,79200.000000,40000.000000,64000.000000,64000.000000,5
2013-08-01,60000.000000,65600.000000,44000.000000,48000.000000,48000.000000,3
2013-09-01,40800.000000,57600.000000,26400.000000,50400.000000,50400.000000,0
2013-10-01,52000.000000,55200.000000,40800.000000,48000.000000,48000.000000,0
2013-11-01,48000.000000,56000.000000,40800.000000,44000.000000,44000.000000,1
2013-12-01,42400.000000,44000.000000,32000.000000,40400.000000,40400.000000,3
2014-01-01,40400.000000,72000.000000,36000.000000,51920.000000,51920.000000,1
2014-02-01,41000.000000,52000.000000,39200.000000,52000.000000,52000.000000,2
2014-03-01,52000.000000,52000.000000,22408.000000,35200.000000,35200.000000,17
2014-04-01,33600.000000,36800.000000,24000.000000,24784.000000,24784.000000,16
2014-05-01,24080.000000,48000.000000,24000.000000,39600.000000,39600.000000,10
2014-06-01,33600.000000,38400.000000,19200.000000,23840.000000,23840.000000,10
2014-07-01,24000.000000,32000.000000,20808.000000,27200.000000,27200.000000,6
2014-08-01,25600.000000,28000.000000,20000.000000,26400.000000,26400.000000,13
2014-09-01,23216.000000,32000.000000,21600.000000,27992.000000,27992.000000,5
2014-10-01,25200.000000,28000.000000,20808.000000,28000.000000,28000.000000,9
2014-11-01,26400.000000,32000.000000,20960.000000,31920.000000,31920.000000,1
2014-12-01,31200.000000,41600.000000,31200.000000,36000.000000,36000.000000,3
2015-01-01,31200.000000,39600.000000,31200.000000,36800.000000,36800.000000,2
2015-02-01,36800.000000,39200.000000,32080.000000,36800.000000,36800.000000,0
2015-03-01,36800.000000,38400.000000,28000.000000,32000.000000,32000.000000,5
2015-04-01,32000.000000,38800.000000,24000.000000,29600.000000,29600.000000,4
2015-05-01,28000.000000,35200.000000,27280.000000,35200.000000,35200.000000,4
2015-06-01,33600.000000,34400.000000,27360.000000,29600.000000,29600.000000,3
2015-07-01,29200.000000,49000.000000,28000.000000,41000.000000,41000.000000,9
