Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,4.520000,5.090000,4.400000,4.850000,4.850000,492892
2010-04-01,4.900000,6.469000,4.800000,6.190000,6.190000,506213
2010-05-01,6.090000,6.350000,4.030000,4.430000,4.430000,348118
2010-06-01,4.370000,4.790000,3.650000,3.700000,3.700000,269777
2010-07-01,3.670000,4.150000,2.820000,3.070000,3.070000,304881
2010-08-01,3.090000,3.600000,2.950000,3.100000,3.100000,526657
2010-09-01,3.200000,3.400000,2.910000,3.050000,3.050000,489392
2010-10-01,3.060000,3.300000,2.860000,2.880000,2.880000,259288
2010-11-01,2.880000,3.190000,2.500000,2.510000,2.510000,410501
2010-12-01,2.540000,2.850000,2.360000,2.670000,2.670000,731214
2011-01-01,2.660000,2.940000,2.520000,2.780000,2.780000,679305
2011-02-01,2.780000,2.850000,2.570000,2.640000,2.640000,581720
2011-03-01,2.630000,2.730000,2.250000,2.460000,2.460000,657022
2011-04-01,2.450000,2.750000,2.450000,2.500000,2.500000,206370
2011-05-01,2.530000,2.670000,2.260000,2.440000,2.440000,187930
2011-06-01,2.460000,2.700000,2.250000,2.570000,2.570000,194715
2011-07-01,2.580000,2.600000,2.240000,2.370000,2.370000,137658
2011-08-01,2.370000,2.460000,2.210000,2.300000,2.300000,274210
2011-09-01,2.300000,2.400000,2.150000,2.300000,2.300000,229432
2011-10-01,2.250000,2.350000,1.450000,1.563600,1.563600,769343
2011-11-01,1.620000,1.950000,1.400000,1.730000,1.730000,177244
2011-12-01,1.600000,1.730000,1.200000,1.240000,1.240000,359054
2012-01-01,1.240000,1.679900,1.130000,1.280000,1.280000,250755
2012-02-01,1.260000,1.500000,1.250000,1.300000,1.300000,534920
2012-03-01,1.310000,1.500000,1.155000,1.450000,1.450000,675988
2012-04-01,1.530000,2.250000,1.430000,2.080000,2.080000,398496
2012-05-01,2.150000,3.010000,1.500000,2.940000,2.940000,1691260
2012-06-01,2.820000,3.000000,2.740000,2.990000,2.990000,913625
2012-07-01,3.000000,3.210000,2.910000,2.960000,2.960000,585270
2012-08-01,2.950000,3.030000,2.790000,2.900000,2.900000,247226
2012-09-01,2.900000,3.210000,2.900000,2.980000,2.980000,347123
2012-10-01,2.950000,3.070000,2.560000,2.850000,2.850000,315678
2012-11-01,2.840000,2.940000,2.510000,2.749900,2.749900,246631
2012-12-01,2.660000,2.850000,2.580000,2.780000,2.780000,317126
2013-01-01,2.780000,2.980000,2.760000,2.880000,2.880000,301569
2013-02-01,2.920000,2.980000,2.850000,2.980000,2.980000,156085
2013-03-01,null,null,null,null,null,null
2013-04-01,null,null,null,null,null,null
2013-05-01,null,null,null,null,null,null
2013-06-01,null,null,null,null,null,null
2013-07-01,null,null,null,null,null,null
2013-08-01,null,null,null,null,null,null
2013-09-01,null,null,null,null,null,null
2013-10-01,null,null,null,null,null,null
2013-11-01,null,null,null,null,null,null
2013-12-01,null,null,null,null,null,null
2014-01-01,null,null,null,null,null,null
2014-02-01,null,null,null,null,null,null
2014-03-01,null,null,null,null,null,null
2014-04-01,null,null,null,null,null,null
2014-05-01,null,null,null,null,null,null
2014-06-01,null,null,null,null,null,null
2014-07-01,null,null,null,null,null,null
2014-08-01,null,null,null,null,null,null
2014-09-01,null,null,null,null,null,null
2014-10-01,null,null,null,null,null,null
2014-11-01,null,null,null,null,null,null
2014-12-01,null,null,null,null,null,null
2015-01-01,null,null,null,null,null,null
2015-02-01,null,null,null,null,null,null
2015-03-01,null,null,null,null,null,null
2015-04-01,null,null,null,null,null,null
2015-05-01,null,null,null,null,null,null
2015-06-01,null,null,null,null,null,null
2015-07-01,null,null,null,null,null,null
2015-08-01,null,null,null,null,null,null
2015-09-01,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-11-01,null,null,null,null,null,null
2015-12-01,null,null,null,null,null,null
2016-01-01,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-03-01,null,null,null,null,null,null
2016-04-01,null,null,null,null,null,null
2016-05-01,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
