Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,7.600000,8.680000,5.510000,8.040000,8.040000,2188100
2021-09-01,8.100000,14.780000,7.100000,10.840000,10.840000,4584800
2021-10-01,10.880000,11.980000,9.270000,11.230000,11.230000,725700
2021-11-01,11.410000,11.950000,9.550000,10.360000,10.360000,811700
2021-12-01,10.100000,10.400000,6.060000,7.820000,7.820000,1282900
2022-01-01,7.620000,8.100000,4.060000,4.290000,4.290000,840600
2022-02-01,4.500000,5.060000,3.500000,4.120000,4.120000,404900
2022-03-01,4.130000,5.450000,3.550000,5.090000,5.090000,921400
2022-04-01,5.160000,5.750000,3.480000,3.580000,3.580000,2097400
2022-05-01,3.530000,4.250000,3.020000,3.770000,3.770000,536300
2022-06-01,3.510000,4.240000,3.000000,3.240000,3.240000,229600
2022-07-01,3.210000,3.960000,2.805000,3.100000,3.100000,85300
2022-08-01,3.200000,4.000000,3.000000,3.470000,3.470000,570400
2022-09-01,3.400000,4.250000,3.019000,3.140000,3.140000,485200
2022-10-01,3.120000,3.320000,1.480000,1.940000,1.940000,1195800
2022-11-01,1.840000,1.988000,1.470000,1.750000,1.750000,539500
2022-12-01,1.790000,2.870000,1.400000,1.790000,1.790000,1112100
2023-01-01,1.820000,3.060000,1.600000,2.570000,2.570000,859500
2023-02-01,2.600000,2.600000,1.800000,1.800000,1.800000,331200
2023-03-01,2.010000,2.060000,1.300000,1.350000,1.350000,377500
2023-04-01,1.370000,1.770000,1.150000,1.290000,1.290000,1088300
2023-05-01,1.250000,1.860000,1.250000,1.510000,1.510000,479600
2023-06-01,1.546000,1.800000,1.180000,1.260000,1.260000,547900
2023-07-01,1.250000,1.290000,0.977000,1.080000,1.080000,372100
2023-08-01,1.030000,1.370000,0.985000,1.220000,1.220000,321200
2023-09-01,1.180000,1.290000,0.870000,0.920000,0.920000,468100
2023-10-01,0.966000,1.100000,0.860000,0.900000,0.900000,193500
