Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,16.299999,16.500000,15.900000,16.219999,16.219999,452800
2018-09-01,16.180000,18.900000,16.180000,17.000000,17.000000,1472900
2018-10-01,17.340000,17.990000,14.600000,16.330000,16.330000,352800
2018-11-01,16.260000,16.660000,15.000000,15.950000,15.950000,258800
2018-12-01,15.900000,16.490000,11.850000,15.230000,15.230000,437300
2019-01-01,15.110000,15.680000,12.540000,14.870000,14.870000,219200
2019-02-01,15.000000,17.000000,14.870000,16.350000,16.350000,254000
2019-03-01,16.625000,17.264999,14.920000,16.990000,16.990000,370900
2019-04-01,17.190001,17.500000,15.380000,15.950000,15.950000,188600
2019-05-01,16.400000,17.000000,15.500000,16.059999,16.059999,258500
2019-06-01,16.160000,17.000000,15.070000,15.470000,15.470000,488800
2019-07-01,15.330000,16.250000,14.800000,15.890000,15.890000,510500
2019-08-01,15.738000,15.990000,14.570000,14.770000,14.770000,462200
2019-09-01,15.100000,16.250000,14.210000,15.110000,15.110000,825700
2019-10-01,15.400000,16.350000,14.770000,15.050000,15.050000,343900
2019-11-01,15.100000,18.584999,15.050000,16.990000,16.990000,395800
2019-12-01,17.200001,17.379999,16.379999,16.469999,16.469999,362700
2020-01-01,16.370001,18.480000,15.750000,17.799999,17.799999,791800
2020-02-01,17.740000,18.139999,15.950000,16.389999,16.389999,219100
2020-03-01,16.500000,17.400000,8.410000,10.510000,10.510000,630600
2020-04-01,11.010000,15.550000,9.200000,13.130000,13.130000,419200
2020-05-01,12.780000,14.940000,11.100000,12.700000,12.700000,277600
2020-06-01,12.700000,15.660000,12.320000,14.520000,14.520000,584700
2020-07-01,14.290000,15.120000,12.110000,13.370000,13.370000,377900
2020-08-01,13.020000,15.000000,13.020000,13.750000,13.750000,242600
2020-09-01,13.790000,16.120001,12.060000,12.250000,12.250000,304200
2020-10-01,12.600000,15.980000,11.580000,14.860000,14.860000,240100
2020-11-01,14.950000,20.000000,14.870000,19.719999,19.719999,482500
2020-12-01,19.950001,23.530001,19.139999,21.000000,21.000000,425900
2021-01-01,21.280001,22.538000,19.610001,19.799999,19.799999,326200
2021-02-01,19.799999,28.799999,19.760000,28.000000,28.000000,362700
2021-03-01,29.309999,32.784000,25.035000,26.219999,26.219999,830800
2021-04-01,26.209999,30.500000,25.500000,29.770000,29.770000,357700
2021-05-01,29.790001,33.759998,27.870001,31.100000,31.100000,448200
2021-06-01,31.139999,32.264999,27.879999,28.559999,28.559999,816300
2021-07-01,28.700001,30.629999,26.799999,29.219999,29.219999,498200
2021-08-01,29.025000,31.865000,28.450001,29.370001,29.370001,650400
2021-09-01,29.219999,33.330002,28.280001,31.860001,31.860001,798900
2021-10-01,32.169998,38.369999,31.000000,38.049999,38.049999,658900
2021-11-01,38.380001,49.263000,37.599998,43.730000,43.730000,685600
2021-12-01,44.360001,54.410000,39.119999,50.619999,50.619999,1213100
2022-01-01,51.060001,54.020000,45.900002,48.419998,48.419998,1192600
2022-02-01,48.570000,50.463001,42.361000,47.599998,47.599998,913500
2022-03-01,46.169998,49.220001,45.290001,45.750000,45.750000,1037200
2022-04-01,45.959999,46.825001,40.130001,41.040001,41.040001,621700
2022-05-01,41.110001,42.360001,35.610001,39.459999,39.459999,937400
2022-06-01,39.845001,40.250000,36.310001,38.119999,38.119999,995300
2022-07-01,37.820000,42.730000,36.500000,41.230000,41.230000,766300
2022-08-01,40.830002,44.330002,39.099998,40.200001,40.200001,1226700
2022-09-01,40.009998,43.481998,39.360001,39.740002,39.740002,773100
2022-10-01,39.930000,46.700001,38.773998,46.619999,46.619999,670700
2022-11-01,47.060001,50.049999,46.250000,49.919998,49.919998,1290000
2022-12-01,50.000000,54.529999,46.910000,47.520000,47.520000,1286200
2023-01-01,47.709999,47.779999,42.334999,45.669998,45.669998,1067800
2023-02-01,45.459999,48.500000,44.450001,46.150002,46.150002,816400
2023-03-01,46.009998,46.480000,29.910000,36.009998,36.009998,2114600
2023-04-01,36.160000,36.480000,32.450001,36.250000,36.250000,875900
2023-05-01,36.340000,37.469002,32.200001,34.209999,34.209999,928900
2023-06-01,34.500000,41.369999,34.049999,37.650002,37.650002,1193400
2023-07-01,37.759998,48.500000,36.540001,45.169998,45.169998,1118500
2023-08-01,44.830002,45.990002,42.810001,44.049999,44.049999,673700
2023-09-01,44.500000,45.325001,42.200001,42.910000,42.910000,763500
2023-10-01,42.910000,43.500000,40.500000,42.000000,42.000000,351000
