Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,11.900000,13.110000,11.870000,12.770000,12.770000,1387100
2010-04-01,12.900000,13.030000,12.010000,12.470000,12.470000,645900
2010-05-01,12.500000,15.080000,12.100000,12.920000,12.920000,970800
2010-06-01,12.800000,14.000000,11.000000,12.070000,12.070000,1192400
2010-07-01,12.100000,13.740000,10.900000,13.190000,13.190000,792600
2010-08-01,13.360000,13.360000,9.910000,10.990000,10.990000,682100
2010-09-01,11.200000,11.200000,9.300000,10.260000,10.260000,732500
2010-10-01,10.430000,12.000000,9.780000,10.870000,10.870000,2085500
2010-11-01,10.940000,11.860000,10.430000,11.280000,11.280000,754000
2010-12-01,11.480000,12.500000,10.890000,12.440000,12.440000,594900
2011-01-01,12.500000,13.140000,11.800000,11.810000,11.810000,698000
2011-02-01,11.880000,12.990000,11.780000,12.800000,12.800000,374900
2011-03-01,12.820000,13.240000,10.630000,12.190000,12.190000,529700
2011-04-01,12.250000,12.750000,11.240000,12.450000,12.450000,337500
2011-05-01,12.510000,12.510000,10.430000,10.510000,10.510000,383300
2011-06-01,10.390000,12.040000,10.050000,10.860000,10.860000,1235300
2011-07-01,10.880000,12.000000,10.460000,10.780000,10.780000,457300
2011-08-01,10.890000,11.280000,8.550000,10.060000,10.060000,731600
2011-09-01,10.070000,10.920000,7.900000,7.910000,7.910000,619800
2011-10-01,7.820000,11.390000,7.050000,9.610000,9.610000,739200
2011-11-01,9.150000,10.240000,6.770000,8.540000,8.540000,630000
2011-12-01,8.460000,10.740000,8.040000,9.630000,9.630000,610700
2012-01-01,9.750000,10.940000,8.900000,9.940000,9.940000,568400
2012-02-01,10.100000,10.970000,9.190000,10.620000,10.620000,652000
2012-03-01,10.620000,10.740000,9.030000,9.200000,9.200000,682800
2012-04-01,9.180000,9.830000,8.000000,8.430000,8.430000,638300
2012-05-01,8.490000,9.090000,7.480000,7.560000,7.560000,702400
2012-06-01,7.350000,8.000000,6.590000,7.210000,7.210000,1264200
2012-07-01,7.250000,7.910000,6.480000,7.100000,7.100000,879900
2012-08-01,8.510000,11.000000,8.130000,8.160000,8.160000,2068200
2012-09-01,8.490000,10.500000,7.750000,9.710000,9.710000,944900
2012-10-01,9.750000,10.250000,8.500000,8.600000,8.600000,538200
2012-11-01,8.580000,8.980000,7.410000,8.550000,8.550000,997900
2012-12-01,8.600000,8.600000,7.320000,7.920000,7.920000,906200
