Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,174.000000,201.000000,165.000000,168.000000,160.363632,896735
2010-04-01,169.199997,173.880005,150.600006,152.160004,145.243637,578125
2010-05-01,153.240005,159.360001,119.400002,129.960007,124.052734,878434
2010-06-01,126.599998,136.440002,106.919998,107.760002,102.861816,751166
2010-07-01,105.959999,136.800003,97.800003,129.119995,123.250900,680515
2010-08-01,131.759995,150.000000,109.800003,115.199997,109.963631,1038590
2010-09-01,115.559998,122.760002,99.360001,105.360001,100.570908,961875
2010-10-01,106.800003,125.879997,81.720001,88.199997,84.190903,1148008
2010-11-01,88.559998,114.839996,85.559998,101.639999,97.019997,880167
2010-12-01,105.000000,117.480003,96.599998,108.000000,103.090904,523191
2011-01-01,110.879997,113.879997,85.199997,97.559998,93.125450,1289894
2011-02-01,99.599998,105.599998,90.599998,93.959999,89.689087,401924
2011-03-01,93.959999,97.199997,77.400002,82.800003,79.036362,467649
2011-04-01,83.760002,94.440002,75.599998,84.480003,80.639999,331490
2011-05-01,84.480003,87.839996,55.799999,57.119999,54.523636,467332
2011-06-01,61.080002,63.480000,41.160000,59.759998,57.043633,440140
2011-07-01,59.520000,71.639999,55.919998,61.680000,58.876362,259775
2011-08-01,65.279999,67.800003,45.000000,46.680000,44.558182,252190
2011-09-01,47.279999,72.959999,46.200001,57.360001,54.752728,288690
2011-10-01,57.360001,60.240002,46.200001,48.480000,46.276363,223160
2011-11-01,46.799999,53.400002,37.200001,39.360001,37.570908,332492
2011-12-01,39.480000,41.279999,31.320000,36.000000,34.363636,316782
2012-01-01,36.000000,56.160000,36.000000,53.520000,51.087273,269116
2012-02-01,53.160000,57.000000,48.119999,50.880001,48.567272,324310
2012-03-01,51.000000,54.840000,46.919998,51.599998,49.254543,175673
2012-04-01,51.480000,54.000000,49.080002,49.799999,47.536362,137242
2012-05-01,49.799999,50.759998,38.520000,42.959999,41.007271,133491
2012-06-01,41.880001,43.799999,39.119999,42.720001,40.778183,77658
2012-07-01,42.240002,54.720001,41.639999,47.400002,45.245457,120036
2012-08-01,47.279999,51.119999,42.000000,44.520000,42.496365,86969
2012-09-01,44.040001,52.439999,38.160000,39.360001,37.570908,163301
2012-10-01,39.720001,42.959999,37.799999,41.279999,39.403633,95235
2012-11-01,41.040001,44.160000,32.880001,40.439999,38.601818,101651
2012-12-01,40.439999,43.799999,37.320000,39.360001,37.570908,104992
2013-01-01,39.720001,47.400002,39.720001,44.160000,42.152725,106927
2013-02-01,44.400002,44.400002,38.400002,38.520000,36.769093,70182
2013-03-01,38.520000,44.759998,37.680000,38.400002,36.654545,104417
2013-04-01,38.279999,40.919998,35.400002,36.480000,34.821815,94317
2013-05-01,36.480000,36.959999,33.360001,34.680000,33.103638,135607
2013-06-01,34.439999,34.919998,33.360001,33.959999,32.416363,56174
2013-07-01,34.560001,35.639999,30.840000,33.959999,32.416363,125890
2013-08-01,35.639999,43.200001,33.720001,40.200001,38.372726,189499
2013-09-01,41.040001,56.279999,40.200001,54.599998,52.118179,327101
2013-10-01,55.200001,61.200001,46.560001,47.279999,45.130909,416057
2013-11-01,47.040001,55.200001,45.599998,48.720001,46.505455,200444
2013-12-01,48.599998,49.200001,42.119999,43.439999,41.465454,178941
2014-01-01,43.200001,48.000000,37.080002,40.080002,38.258183,237166
2014-02-01,39.720001,40.200001,33.599998,35.279999,33.676361,227842
2014-03-01,35.040001,40.919998,33.599998,34.680000,33.103638,266026
2014-04-01,34.439999,38.639999,33.119999,33.119999,31.614544,186200
2014-05-01,33.119999,36.840000,27.120001,27.719999,26.459999,285534
2014-06-01,27.719999,30.959999,26.160000,26.400000,25.199999,156419
2014-07-01,26.400000,28.080000,22.799999,23.400000,22.336363,192984
2014-08-01,23.520000,31.200001,22.799999,26.400000,25.199999,423615
2014-09-01,26.520000,48.000000,23.280001,23.760000,22.680000,2345792
2014-10-01,26.879999,28.680000,21.600000,24.600000,23.481817,1135310
2014-11-01,24.959999,26.400000,23.760000,24.120001,24.120001,281441
2014-12-01,24.120001,24.480000,16.440001,18.240000,18.240000,308158
