Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,0.110000,0.110000,0.110000,0.110000,0.110000,1000
2010-08-01,null,null,null,null,null,null
2010-09-01,null,null,null,null,null,null
2010-10-01,null,null,null,null,null,null
2010-11-01,null,null,null,null,null,null
2010-12-01,null,null,null,null,null,null
2011-01-01,null,null,null,null,null,null
2011-02-01,null,null,null,null,null,null
2011-03-01,null,null,null,null,null,null
2011-04-01,null,null,null,null,null,null
2011-05-01,null,null,null,null,null,null
2011-06-01,null,null,null,null,null,null
2011-07-01,0.100000,0.100000,0.100000,0.100000,0.100000,11600
2011-08-01,0.100000,0.100000,0.100000,0.100000,0.100000,1000
2011-09-01,null,null,null,null,null,null
2011-10-01,0.100000,0.100000,0.100000,0.100000,0.100000,1000
2011-11-01,0.100000,0.100000,0.100000,0.100000,0.100000,1000
2011-12-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-01-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-02-01,0.100000,0.100000,0.100000,0.100000,0.100000,2000
2012-03-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-04-01,0.100000,0.110000,0.100000,0.100000,0.100000,5000
2012-05-01,0.110000,0.110000,0.100000,0.100000,0.100000,1000
2012-06-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-07-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-08-01,0.100000,0.100000,0.100000,0.100000,0.100000,1000
2012-09-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-10-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-11-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-12-01,0.100000,0.100000,0.100000,0.100000,0.100000,1000
2013-01-01,0.100000,0.100000,0.100000,0.100000,0.100000,1000
2013-02-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-03-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-04-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-05-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-06-01,0.100000,0.160000,0.100000,0.160000,0.160000,253500
2013-07-01,0.170000,0.170000,0.160000,0.160000,0.160000,69148
2013-08-01,0.160000,0.160000,0.130000,0.130000,0.130000,64900
2013-09-01,0.150000,0.170000,0.140000,0.140000,0.140000,248730
2013-10-01,0.170000,0.200000,0.170000,0.200000,0.200000,73000
2013-11-01,0.200000,0.200000,0.170000,0.190000,0.190000,112534
2013-12-01,0.190000,0.190000,0.170000,0.180000,0.180000,53052
2014-01-01,0.180000,0.180000,0.160000,0.180000,0.180000,231548
2014-02-01,0.160000,0.170000,0.150000,0.170000,0.170000,314008
2014-03-01,0.160000,0.170000,0.130000,0.130000,0.130000,241725
2014-04-01,0.140000,0.180000,0.120000,0.160000,0.160000,384815
2014-05-01,0.170000,0.190000,0.130000,0.140000,0.140000,393374
2014-06-01,0.140000,0.168000,0.125000,0.168000,0.168000,262000
2014-07-01,0.149000,0.168000,0.140000,0.140000,0.140000,56000
2014-08-01,0.140000,0.167000,0.140000,0.167000,0.167000,74000
2014-09-01,0.167000,0.167000,0.140000,0.166000,0.166000,104700
2014-10-01,0.165000,0.165000,0.135000,0.150000,0.150000,294235
2014-11-01,0.150000,0.170000,0.150000,0.170000,0.170000,100524
2014-12-01,0.130000,0.135000,0.130000,0.135000,0.135000,2000
2015-01-01,0.135000,0.150000,0.130000,0.130000,0.130000,120000
2015-02-01,0.135000,0.150000,0.135000,0.135000,0.135000,59169
2015-03-01,0.135000,0.160000,0.135000,0.160000,0.160000,50831
2015-04-01,0.160000,0.160000,0.160000,0.160000,0.160000,0
2015-05-01,0.160000,0.160000,0.120000,0.120000,0.120000,98100
2015-06-01,0.140000,0.140000,0.120000,0.140000,0.140000,21370
2015-07-01,0.120000,0.140000,0.120000,0.140000,0.140000,20000
2015-08-01,0.120000,0.140000,0.120000,0.125000,0.125000,57975
2015-09-01,0.125000,0.125000,0.125000,0.125000,0.125000,0
2015-10-01,0.125000,0.125000,0.125000,0.125000,0.125000,0
2015-11-01,0.125000,0.125000,0.110000,0.110000,0.110000,88900
2015-12-01,0.110000,0.130000,0.110000,0.120000,0.120000,119000
2016-01-01,0.120000,5.074000,0.120000,5.074000,5.074000,39697
2016-02-01,0.129000,0.139000,0.110000,0.139000,0.139000,131000
2016-03-01,0.112000,0.112000,0.110000,0.110000,0.110000,10000
2016-04-01,0.110000,0.110000,0.110000,0.110000,0.110000,0
2016-05-01,0.110000,0.110000,0.110000,0.110000,0.110000,0
2016-06-01,0.110000,0.110000,0.100000,0.105000,0.105000,18000
2016-07-01,0.105000,0.105000,0.060000,0.080000,0.080000,12000
2016-08-01,0.080000,0.090000,0.060000,0.090000,0.090000,179911
2016-09-01,0.090000,0.090000,0.090000,0.090000,0.090000,32000
2016-10-01,0.090000,0.090000,0.090000,0.090000,0.090000,0
2016-11-01,0.090000,0.090000,0.090000,0.090000,0.090000,0
2016-12-01,0.090000,0.090000,0.090000,0.090000,0.090000,0
2017-01-01,0.090000,0.090000,0.090000,0.090000,0.090000,0
2017-02-01,0.090000,0.100000,0.080000,0.080000,0.080000,235841
2017-03-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2017-04-01,0.100000,0.100000,0.069000,0.069000,0.069000,35000
2017-05-01,0.069000,0.069000,0.069000,0.069000,0.069000,20000
2017-06-01,0.069000,0.080000,0.041000,0.080000,0.080000,63415
2017-07-01,0.080000,0.080000,0.078000,0.078000,0.078000,0
2017-08-01,0.078000,0.078000,0.058000,0.074000,0.074000,146555
2017-09-01,0.074000,0.076000,0.074000,0.076000,0.076000,7360
2017-10-01,0.076000,0.076000,0.076000,0.076000,0.076000,0
2017-11-01,0.076000,0.076000,0.076000,0.076000,0.076000,0
2017-12-01,0.076000,0.076000,0.076000,0.076000,0.076000,0
2018-01-01,0.050000,0.050000,0.050000,0.050000,0.050000,0
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
