Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,3.350000,4.650000,3.060000,3.440000,3.440000,2426711
2010-04-01,3.350000,3.800000,2.930000,3.400000,3.400000,1118119
2010-05-01,3.350000,3.480000,2.260000,2.660000,2.660000,921502
2010-06-01,3.350000,2.720000,2.320000,2.420000,2.420000,359218
2010-07-01,2.400000,2.750000,2.290000,2.670000,2.670000,388578
2010-08-01,2.670000,2.700000,2.100000,2.130000,2.130000,643125
2010-09-01,3.350000,2.540000,2.000000,2.060000,2.060000,408770
2010-10-01,2.100000,2.580000,2.100000,2.490000,2.490000,367596
2010-11-01,2.470000,2.650000,1.500000,1.750000,1.750000,1385745
2010-12-01,1.750000,1.800000,1.490000,1.740000,1.740000,578000
2011-01-01,1.750000,2.170000,1.680000,2.140000,2.140000,440527
2011-02-01,2.140000,2.150000,1.410000,1.900000,1.900000,744552
2011-03-01,1.710000,1.990000,0.525000,0.900000,0.900000,1058322
2011-04-01,0.720000,0.930000,0.720000,0.880000,0.880000,239196
2011-05-01,0.800000,0.900000,0.720000,0.850000,0.850000,80926
2011-06-01,0.850000,0.850000,0.850000,0.850000,0.850000,0
2011-07-01,0.850000,0.850000,0.850000,0.850000,0.850000,0
2011-08-01,0.850000,0.850000,0.400000,0.590000,0.590000,5625
2011-09-01,0.500000,0.510000,0.190000,0.480000,0.480000,164200
2011-10-01,0.410000,0.680000,0.410000,0.550000,0.550000,198849
2011-11-01,0.520000,0.630000,0.410000,0.490000,0.490000,98170
2011-12-01,0.490000,0.500000,0.270000,0.390000,0.390000,272025
2012-01-01,0.390000,0.400000,0.320000,0.380000,0.380000,85012
2012-02-01,0.380000,0.450000,0.380000,0.410000,0.410000,87090
2012-03-01,0.410000,0.720000,0.400000,0.545000,0.545000,255678
2012-04-01,0.545000,0.545000,0.400000,0.410000,0.410000,36035
2012-05-01,0.410000,0.499200,0.200000,0.300000,0.300000,173221
2012-06-01,0.250000,0.300000,0.160000,0.300000,0.300000,230200
2012-07-01,0.300000,0.300000,0.130000,0.178000,0.178000,168480
2012-08-01,0.160000,0.250000,0.160000,0.250000,0.250000,67031
2012-09-01,0.250000,0.250000,0.160000,0.240000,0.240000,45217
2012-10-01,0.122200,0.150000,0.015600,0.084300,0.084300,400328
2012-11-01,0.025000,0.059900,0.010100,0.059900,0.059900,32400
2012-12-01,0.025000,0.040000,0.015000,0.030000,0.030000,201613
2013-01-01,0.030000,0.044900,0.010500,0.044900,0.044900,451799
2013-02-01,0.044900,0.044900,0.030000,0.030000,0.030000,9550
2013-03-01,0.030000,0.050000,0.030000,0.050000,0.050000,74900
2013-04-01,0.040000,0.040000,0.031000,0.035000,0.035000,78642
2013-05-01,0.035000,0.075000,0.025000,0.045000,0.045000,224550
2013-06-01,0.031000,0.049000,0.024000,0.042500,0.042500,98100
2013-07-01,0.042500,0.042500,0.020000,0.040000,0.040000,314225
2013-08-01,0.020000,0.040000,0.020000,0.020000,0.020000,152100
2013-09-01,0.020000,0.030000,0.010000,0.030000,0.030000,100547
2013-10-01,0.030000,0.030000,0.010000,0.020000,0.020000,149843
2013-11-01,0.020000,0.030000,0.010000,0.010000,0.010000,66000
2013-12-01,0.010000,0.015000,0.007100,0.010000,0.010000,240346
2014-01-01,0.010000,0.014000,0.010000,0.011000,0.011000,49600
2014-02-01,0.011000,0.014000,0.010000,0.011000,0.011000,121450
2014-03-01,0.011000,0.012000,0.007600,0.007600,0.007600,99762
2014-04-01,0.007600,0.010000,0.007200,0.008000,0.008000,205850
2014-05-01,0.008000,0.009500,0.007700,0.007700,0.007700,87508
2014-06-01,0.007700,0.016000,0.007500,0.012000,0.012000,139476
2014-07-01,0.012000,0.012000,0.008000,0.008000,0.008000,29701
2014-08-01,0.008000,0.008100,0.008000,0.008000,0.008000,34116
2014-09-01,0.008000,0.011000,0.008000,0.010000,0.010000,137766
2014-10-01,0.010000,0.010600,0.008000,0.008000,0.008000,188440
2014-11-01,0.008000,0.008990,0.008000,0.008000,0.008000,47000
2014-12-01,0.008000,0.010000,0.007000,0.007000,0.007000,431900
2015-01-01,0.007000,0.013000,0.007000,0.010000,0.010000,347111
2015-02-01,0.010000,0.031250,0.010000,0.012000,0.012000,542400
2015-03-01,0.012000,0.014850,0.009500,0.009500,0.009500,121211
2015-04-01,0.009500,0.015000,0.009500,0.015000,0.015000,36750
2015-05-01,0.017500,0.017500,0.010000,0.015000,0.015000,244140
2015-06-01,0.015000,0.016000,0.013000,0.015000,0.015000,106376
2015-07-01,0.015500,0.018000,0.015500,0.018000,0.018000,38500
2015-08-01,0.018000,0.018000,0.015000,0.015000,0.015000,30652
2015-09-01,0.015000,0.016500,0.015000,0.015000,0.015000,16150
2015-10-01,0.015000,0.016500,0.013000,0.013000,0.013000,61950
2015-11-01,0.013000,0.014490,0.010000,0.012000,0.012000,54520
2015-12-01,0.012000,0.013490,0.012000,0.012000,0.012000,110929
2016-01-01,0.012000,0.013000,0.012000,0.012000,0.012000,83500
2016-02-01,0.012000,0.013000,0.010000,0.010000,0.010000,85748
2016-03-01,0.010200,0.011000,0.003600,0.011000,0.011000,191475
2016-04-01,0.011000,0.011000,0.010200,0.010200,0.010200,81770
2016-05-01,0.010200,0.020000,0.010200,0.015540,0.015540,338450
2016-06-01,0.015540,0.029990,0.015500,0.020000,0.020000,47550
2016-07-01,0.020000,0.035000,0.020000,0.025000,0.025000,449035
2016-08-01,0.027590,0.053000,0.025000,0.040000,0.040000,349312
2016-09-01,0.040000,0.050000,0.025000,0.044900,0.044900,309854
2016-10-01,0.044900,0.052300,0.035000,0.050000,0.050000,470265
2016-11-01,0.050000,0.078700,0.046000,0.055000,0.055000,331689
2016-12-01,0.055000,0.085000,0.050000,0.050000,0.050000,509533
2017-01-01,0.050000,0.070000,0.050000,0.050000,0.050000,93902
2017-02-01,0.050000,0.068000,0.050000,0.060000,0.060000,118898
2017-03-01,0.080000,0.090000,0.062000,0.082200,0.082200,121200
2017-04-01,0.110000,0.150000,0.095000,0.122100,0.122100,185115
2017-05-01,0.122100,0.206200,0.115000,0.135000,0.135000,178442
2017-06-01,0.141000,0.185000,0.115000,0.127000,0.127000,323820
2017-07-01,0.127000,0.127000,0.095000,0.095000,0.095000,234500
2017-08-01,0.095000,0.100000,0.060000,0.060000,0.060000,319678
2017-09-01,0.060000,0.060000,0.060000,0.060000,0.060000,885
2017-10-01,0.065000,0.065000,0.045000,0.045000,0.045000,43500
2017-11-01,0.045000,0.059210,0.045000,0.057000,0.057000,23300
2017-12-01,0.057000,0.085000,0.050000,0.050000,0.050000,32055
2018-01-01,0.050000,0.180000,0.050000,0.118900,0.118900,109397
2018-02-01,0.118900,0.118900,0.065000,0.098000,0.098000,11983
2018-03-01,0.098000,0.100000,0.073000,0.100000,0.100000,54864
2018-04-01,0.100000,0.107500,0.073000,0.100000,0.100000,250919
2018-05-01,0.083000,0.100000,0.066000,0.066000,0.066000,15900
2018-06-01,0.107500,0.149000,0.055000,0.098000,0.098000,21836
2018-07-01,0.055000,0.098000,0.055000,0.098000,0.098000,13379
2018-08-01,0.098000,0.100000,0.060000,0.090000,0.090000,35927
2018-09-01,0.090000,0.090000,0.060000,0.090000,0.090000,64687
2018-10-01,0.090000,0.090000,0.090000,0.090000,0.090000,0
2018-11-01,0.090000,0.090000,0.052000,0.090000,0.090000,31000
2018-12-01,0.090000,0.090000,0.052000,0.053000,0.053000,22845
2019-01-01,0.053000,0.088000,0.052000,0.088000,0.088000,48124
2019-02-01,0.088000,0.088000,0.052000,0.088000,0.088000,20500
2019-03-01,0.088000,0.088000,0.051100,0.055000,0.055000,75574
2019-04-01,0.055000,0.055000,0.051100,0.051550,0.051550,7590
2019-05-01,0.051550,0.060000,0.051500,0.060000,0.060000,14938
2019-06-01,0.060000,0.060000,0.060000,0.060000,0.060000,0
2019-07-01,0.060000,0.061490,0.051500,0.051500,0.051500,3600
2019-08-01,0.051500,0.052340,0.051000,0.051000,0.051000,15315
2019-09-01,0.051000,0.051000,0.030000,0.030000,0.030000,75800
2019-10-01,0.030000,0.050000,0.030000,0.030000,0.030000,4500
2019-11-01,0.030000,0.039990,0.030000,0.031000,0.031000,50000
2019-12-01,0.031000,0.031000,0.031000,0.031000,0.031000,12100
2020-01-01,0.031000,0.098000,0.031000,0.098000,0.098000,13350
2020-02-01,0.098000,0.098000,0.032000,0.032000,0.032000,13820
