Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,3.930000,5.100000,3.000000,3.160000,3.160000,2235300
2023-01-01,3.160000,5.100000,3.060000,3.570000,3.570000,1942600
2023-02-01,3.470000,4.090000,2.900000,3.240000,3.240000,545400
2023-03-01,3.140000,5.042000,1.110000,1.150000,1.150000,12286700
2023-04-01,1.150000,1.200000,0.366000,0.555000,0.555000,83161900
2023-05-01,0.548000,0.790000,0.545000,0.580000,0.580000,19640600
2023-06-01,0.589000,0.680000,0.430000,0.475000,0.475000,8874700
2023-07-01,0.475000,0.500000,0.410000,0.440000,0.440000,2165400
2023-08-01,0.451000,0.500000,0.370000,0.391000,0.391000,1809000
2023-09-01,0.409000,0.540000,0.150000,0.160000,0.160000,22067600
2023-10-01,0.161000,0.345000,0.141000,0.179000,0.179000,82486200
