Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,3.000000,3.800000,3.000000,3.330000,3.293686,152800
2010-04-01,3.400000,6.120000,3.400000,5.300000,5.242204,1157200
2010-05-01,5.350000,5.640000,4.900000,5.150000,5.093840,154800
2010-06-01,5.150000,5.590000,4.710000,5.450000,5.390568,131600
2010-07-01,5.420000,6.150000,4.860000,5.610000,5.548823,132300
2010-08-01,5.510000,5.530000,3.990000,4.690000,4.638856,102000
2010-09-01,4.780000,4.780000,4.230000,4.400000,4.352018,59700
2010-10-01,4.440000,5.500000,4.440000,4.730000,4.678420,69100
2010-11-01,4.700000,5.500000,4.290000,5.050000,4.994930,118700
2010-12-01,5.180000,6.070000,5.050000,5.760000,5.697187,89300
2011-01-01,5.750000,6.720000,5.600000,6.140000,6.073043,214700
2011-02-01,6.140000,6.490000,5.520000,6.240000,6.171953,144000
2011-03-01,6.150000,8.060000,5.930000,7.730000,7.645705,288700
2011-04-01,7.550000,8.790000,7.550000,8.450000,8.357853,208300
2011-05-01,8.450000,9.670000,8.130000,9.600000,9.495313,561400
2011-06-01,9.600000,9.690000,8.220000,8.970000,8.872183,327400
2011-07-01,8.970000,9.500000,8.600000,9.110000,9.010655,221700
2011-08-01,9.190000,9.820000,6.610000,8.630000,8.535891,1914500
2011-09-01,8.600000,8.680000,7.730000,7.730000,7.645705,596900
2011-10-01,7.660000,8.780000,6.470000,8.680000,8.585345,445300
2011-11-01,8.540000,9.680000,8.040000,8.260000,8.169925,579100
2011-12-01,8.260000,8.750000,8.010000,8.090000,8.001779,249200
2012-01-01,8.120000,8.810000,8.120000,8.490000,8.397416,297700
2012-02-01,8.550000,9.810000,8.550000,9.570000,9.465640,617700
2012-03-01,9.600000,10.040000,8.670000,9.200000,9.099673,1141800
2012-04-01,9.170000,9.550000,8.210000,8.310000,8.219380,801300
2012-05-01,8.250000,8.750000,7.450000,7.710000,7.625923,529800
2012-06-01,7.630000,8.340000,7.230000,8.240000,8.150143,341200
2012-07-01,8.310000,8.380000,7.810000,8.010000,7.922651,160900
2012-08-01,8.000000,8.210000,7.270000,7.460000,7.378649,204100
2012-09-01,7.490000,7.750000,7.300000,7.350000,7.269848,178800
2012-10-01,7.390000,7.440000,6.900000,7.020000,6.943447,132900
2012-11-01,7.030000,7.190000,6.520000,6.850000,6.775301,227500
2012-12-01,6.850000,6.980000,6.500000,6.620000,6.547809,142000
2013-01-01,6.650000,7.060000,6.350000,7.060000,6.983011,426100
2013-02-01,7.090000,7.090000,6.600000,6.980000,6.903883,185700
2013-03-01,7.000000,9.300000,6.550000,8.830000,8.733708,497100
2013-04-01,8.910000,8.990000,8.300000,8.910000,8.812836,251900
2013-05-01,8.930000,9.520000,8.580000,9.360000,9.257930,339200
2013-06-01,9.350000,9.430000,8.630000,8.920000,8.822727,144600
2013-07-01,8.920000,9.500000,8.600000,9.230000,9.129347,138100
2013-08-01,9.310000,9.500000,8.500000,9.360000,9.257930,934700
2013-09-01,9.270000,9.640000,9.100000,9.580000,9.475531,306000
2013-10-01,9.550000,11.400000,9.350000,10.800000,10.682226,295100
2013-11-01,10.870000,11.540000,10.650000,11.450000,11.325139,268100
2013-12-01,11.590000,14.000000,11.010000,13.700000,13.550601,399500
2014-01-01,13.570000,13.870000,11.210000,12.250000,12.116414,371100
2014-02-01,12.250000,15.250000,11.510000,14.850000,14.688061,458700
2014-03-01,14.590000,15.490000,12.050000,12.730000,12.591180,505300
2014-04-01,12.660000,12.980000,10.180000,12.010000,11.879032,378200
2014-05-01,12.010000,12.890000,11.680000,12.170000,12.037287,307100
2014-06-01,12.190000,13.950000,11.810000,13.000000,12.858234,279800
2014-07-01,13.000000,13.500000,12.500000,13.250000,13.105510,184200
2014-08-01,13.230000,14.780000,12.710000,13.910000,13.758311,345900
2014-09-01,13.910000,14.450000,13.080000,14.320000,14.163840,262600
2014-10-01,14.200000,14.270000,12.850000,13.300000,13.154964,273900
2014-11-01,13.400000,13.990000,12.470000,12.880000,12.739544,207400
2014-12-01,13.000000,14.000000,12.520000,14.000000,13.847330,186100
2015-01-01,13.650000,15.250000,13.610000,14.500000,14.341878,162800
2015-02-01,14.780000,14.850000,13.850000,14.100000,13.946240,163600
2015-03-01,14.290000,17.309999,13.850000,17.170000,16.982761,359600
2015-04-01,17.280001,22.000000,17.020000,21.879999,21.641399,1530400
2015-05-01,21.629999,28.000000,21.000000,26.010000,25.726364,3302100
2015-06-01,26.230000,28.950001,19.400000,22.840000,22.590929,4606700
2015-07-01,23.400000,23.400000,17.969999,19.080000,18.871931,1660000
2015-08-01,18.610001,22.490000,17.500000,21.850000,21.611725,1169500
2015-09-01,21.530001,21.730000,16.860001,18.450001,18.248806,806700
2015-10-01,18.570000,20.750000,18.160000,20.040001,19.821466,516700
2015-11-01,20.150000,22.000000,12.910000,14.250000,14.094604,985800
2015-12-01,14.400000,14.720000,11.000000,12.830000,12.690089,864500
2016-01-01,12.750000,12.760000,9.270000,10.830000,10.711900,581600
2016-02-01,10.850000,11.810000,9.230000,11.380000,11.255902,455600
2016-03-01,11.510000,13.390000,11.300000,12.480000,12.343905,466600
2016-04-01,12.240000,12.440000,10.650000,11.730000,11.602084,550600
2016-05-01,11.700000,13.450000,11.080000,12.610000,12.472488,919100
2016-06-01,12.480000,14.380000,12.370000,13.650000,13.501147,1564700
2016-07-01,13.700000,17.250000,12.510000,15.920000,15.746392,1260300
2016-08-01,15.750000,16.879999,11.860000,14.650000,14.490241,2170300
2016-09-01,14.680000,17.030001,14.260000,16.900000,16.715706,1791300
2016-10-01,16.990000,19.629999,16.760000,17.420000,17.230036,1546000
2016-11-01,17.730000,17.980000,13.550000,15.950000,15.776066,952000
2016-12-01,16.100000,18.040001,15.510000,17.110001,16.923414,724500
2017-01-01,17.090000,17.270000,15.060000,15.420000,15.251845,374700
2017-02-01,15.580000,16.860001,14.420000,16.190001,16.013451,343400
2017-03-01,16.400000,18.190001,15.300000,17.830000,17.635565,433700
2017-04-01,17.690001,19.870001,16.379999,19.780001,19.564301,520500
2017-05-01,19.860001,21.400000,18.809999,20.930000,20.701761,642100
2017-06-01,20.850000,22.830000,19.549999,21.610001,21.374346,1418600
2017-07-01,21.500000,22.230000,18.850000,19.070000,18.862043,558800
2017-08-01,18.900000,24.500000,18.900000,20.570000,20.345686,667900
2017-09-01,20.750000,22.150000,20.040001,21.940001,21.750357,411100
2017-10-01,21.850000,23.850000,21.400000,23.209999,23.009380,417900
2017-11-01,23.150000,23.400000,19.870001,21.520000,21.333988,315600
2017-12-01,21.480000,23.799999,19.740000,21.700001,21.564445,497500
2018-01-01,21.950001,22.360001,19.600000,20.799999,20.670067,300000
2018-02-01,20.760000,20.940001,18.110001,18.200001,18.086309,376000
2018-03-01,18.219999,19.870001,16.469999,17.830000,17.718620,691200
2018-04-01,17.400000,18.090000,15.450000,15.500000,15.445191,528500
2018-05-01,15.370000,16.610001,13.530000,14.420000,14.369010,586500
2018-06-01,14.140000,17.400000,13.700000,14.280000,14.280000,1430200
2018-07-01,14.180000,15.320000,13.010000,13.450000,13.450000,384500
2018-08-01,13.550000,14.110000,9.020000,9.170000,9.170000,1664500
2018-09-01,9.210000,9.610000,6.580000,6.670000,6.670000,1180400
2018-10-01,6.800000,8.580000,6.370000,6.810000,6.810000,999800
2018-11-01,7.010000,7.940000,6.560000,7.800000,7.800000,550400
2018-12-01,8.000000,8.600000,6.560000,7.110000,7.110000,383500
2019-01-01,7.090000,8.980000,7.010000,8.700000,8.700000,314500
2019-02-01,8.880000,9.000000,7.630000,7.630000,7.630000,158700
2019-03-01,7.710000,7.710000,6.790000,7.380000,7.380000,202800
2019-04-01,7.670000,8.120000,7.220000,8.120000,8.120000,156900
2019-05-01,8.000000,8.500000,7.170000,7.670000,7.670000,155500
2019-06-01,7.560000,7.970000,6.730000,7.470000,7.470000,87900
2019-07-01,7.580000,7.580000,6.550000,6.650000,6.650000,190500
2019-08-01,6.570000,6.740000,5.750000,6.000000,6.000000,271900
2019-09-01,6.010000,6.670000,5.920000,6.410000,6.410000,147100
2019-10-01,6.480000,6.490000,5.590000,5.710000,5.710000,153200
2019-11-01,5.560000,6.000000,2.800000,3.690000,3.690000,958500
2019-12-01,3.680000,3.680000,3.000000,3.250000,3.250000,326900
2020-01-01,3.250000,3.500000,3.150000,3.160000,3.160000,94000
2020-02-01,3.110000,3.230000,2.840000,2.880000,2.880000,134400
2020-03-01,2.880000,2.980000,1.500000,1.540000,1.540000,455200
2020-04-01,1.620000,3.350000,1.030000,2.520000,2.520000,1584000
2020-05-01,2.910000,4.860000,2.020000,4.750000,4.750000,2663600
2020-06-01,4.250000,5.350000,3.900000,4.120000,4.120000,743600
2020-07-01,4.280000,4.750000,3.810000,4.600000,4.600000,310300
2020-08-01,4.660000,6.750000,4.660000,6.100000,6.100000,513300
2020-09-01,5.990000,10.820000,5.990000,8.860000,8.860000,1060900
2020-10-01,8.850000,9.540000,7.690000,7.690000,7.690000,307900
2020-11-01,7.910000,11.800000,7.910000,11.200000,11.200000,649200
2020-12-01,11.070000,14.230000,11.020000,14.080000,14.080000,867700
2021-01-01,14.080000,14.920000,11.500000,11.980000,11.980000,826300
2021-02-01,11.900000,13.480000,11.500000,12.150000,12.150000,457800
2021-03-01,12.250000,14.230000,11.080000,11.730000,11.730000,724600
2021-04-01,12.010000,12.550000,11.010000,11.010000,11.010000,611900
2021-05-01,11.010000,14.500000,11.010000,13.500000,13.500000,560000
2021-06-01,13.500000,16.000000,12.650000,15.430000,15.430000,1138200
2021-07-01,15.650000,17.350000,13.710000,14.230000,14.230000,732500
2021-08-01,14.500000,16.000000,13.610000,13.770000,13.770000,801200
2021-09-01,13.970000,14.550000,11.410000,11.510000,11.510000,584700
2021-10-01,11.570000,12.000000,11.000000,11.000000,11.000000,533400
2021-11-01,10.970000,11.690000,8.900000,9.050000,9.050000,1028600
2021-12-01,9.230000,9.230000,8.160000,8.510000,8.510000,586300
2022-01-01,8.380000,9.200000,7.960000,8.010000,8.010000,308500
2022-02-01,8.240000,8.890000,8.100000,8.580000,8.580000,125400
2022-03-01,8.720000,11.510000,8.270000,10.760000,10.760000,363100
2022-04-01,10.910000,10.950000,9.720000,10.000000,10.000000,164100
2022-05-01,9.870000,11.360000,9.750000,10.000000,10.000000,359500
2022-06-01,10.050000,10.180000,8.890000,9.190000,9.190000,177900
2022-07-01,8.900000,11.330000,8.500000,10.860000,10.860000,279800
2022-08-01,10.970000,13.600000,10.050000,12.400000,12.400000,524900
2022-09-01,12.270000,12.530000,9.400000,9.930000,9.930000,210700
