Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,3.100000,4.000000,3.100000,4.000000,3.428605,300
2010-04-01,4.000000,5.000000,4.000000,4.500000,3.857180,5400
2010-05-01,4.500000,4.500000,3.500000,4.500000,3.857180,5200
2010-06-01,4.500000,4.500000,2.500000,3.250000,2.785741,10200
2010-07-01,3.250000,4.000000,2.510000,2.550000,2.185735,6800
2010-08-01,2.550000,3.500000,2.500000,2.500000,2.142878,2000
2010-09-01,2.500000,2.500000,2.500000,2.500000,2.142878,3200
2010-10-01,2.500000,2.750000,2.500000,2.500000,2.142878,3700
2010-11-01,2.500000,2.500000,2.500000,2.500000,2.142878,0
2010-12-01,2.500000,4.000000,2.500000,4.000000,3.428605,900
2011-01-01,4.000000,4.000000,4.000000,4.000000,3.428605,0
2011-02-01,4.000000,4.000000,3.500000,3.500000,3.000029,1800
2011-03-01,3.500000,6.000000,3.500000,6.000000,5.142906,700
2011-04-01,6.000000,6.000000,5.000000,6.000000,5.142906,1000
2011-05-01,6.000000,6.000000,5.050000,5.050000,4.328614,1500
2011-06-01,5.050000,8.000000,5.050000,8.000000,6.857210,200
2011-07-01,8.000000,8.000000,5.000000,5.000000,4.285756,3100
2011-08-01,5.000000,5.000000,5.000000,5.000000,4.285756,0
2011-09-01,5.000000,5.000000,5.000000,5.000000,4.285756,0
2011-10-01,5.000000,5.000000,5.000000,5.000000,4.285756,0
2011-11-01,5.000000,5.000000,4.500000,5.000000,4.285756,6900
2011-12-01,5.000000,5.500000,5.000000,5.500000,4.714332,200
2012-01-01,5.500000,5.500000,5.500000,5.500000,4.714332,200
2012-02-01,5.000000,5.000000,5.000000,5.000000,4.285756,1100
2012-03-01,5.000000,5.500000,5.000000,5.500000,4.714332,400
2012-04-01,5.500000,5.500000,4.000000,4.010000,3.437177,19000
2012-05-01,4.010000,4.530000,4.000000,4.050000,3.471462,11400
2012-06-01,4.050000,5.000000,4.000000,5.000000,4.285756,6000
2012-07-01,5.000000,5.000000,4.000000,4.000000,3.428605,1500
2012-08-01,4.000000,4.120000,4.000000,4.000000,3.428605,3900
2012-09-01,4.000000,4.000000,4.000000,4.000000,3.428605,2500
2012-10-01,4.000000,4.000000,3.600000,3.600000,3.085744,4000
2012-11-01,4.050000,4.250000,3.580000,3.590000,3.077173,28400
2012-12-01,3.590000,5.000000,3.590000,5.000000,4.285756,21500
2013-01-01,5.000000,5.000000,3.750000,4.010000,3.437177,6000
2013-02-01,4.010000,4.750000,4.010000,4.750000,4.071468,9500
2013-03-01,4.750000,5.000000,4.300000,4.500000,3.857180,1400
2013-04-01,5.000000,5.000000,5.000000,5.000000,4.285756,100
2013-05-01,5.000000,5.000000,4.300000,4.400000,3.771465,32100
