Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.051000,0.120000,0.051000,0.085000,0.085000,554324
2010-04-01,0.051000,0.110000,0.051000,0.058000,0.058000,476231
2010-05-01,0.051000,0.098000,0.050000,0.060000,0.060000,447943
2010-06-01,0.051000,0.150000,0.035300,0.070000,0.070000,673743
2010-07-01,0.080000,0.100000,0.060000,0.090000,0.090000,196924
2010-08-01,0.090000,0.095000,0.060000,0.060300,0.060300,206132
2010-09-01,0.051000,0.090000,0.050000,0.050000,0.050000,202513
2010-10-01,0.074000,0.075000,0.021600,0.033000,0.033000,78387
2010-11-01,0.035000,0.070000,0.033000,0.040000,0.040000,144366
2010-12-01,0.050000,0.070000,0.040000,0.069000,0.069000,885742
2011-01-01,0.069000,0.069000,0.030400,0.042000,0.042000,901392
2011-02-01,0.042000,0.055000,0.035000,0.052000,0.052000,194129
2011-03-01,0.052000,0.054000,0.040000,0.040000,0.040000,78350
2011-04-01,0.040000,0.050000,0.040000,0.040000,0.040000,138913
2011-05-01,0.040000,0.060000,0.010000,0.058000,0.058000,228067
2011-06-01,0.035000,0.040000,0.015000,0.015000,0.015000,81336
2011-07-01,0.015000,0.050000,0.015000,0.045000,0.045000,87765
2011-08-01,0.021500,0.050000,0.021500,0.030000,0.030000,170158
2011-09-01,0.039000,0.045000,0.030000,0.045000,0.045000,67070
2011-10-01,0.045000,0.045000,0.010000,0.030000,0.030000,188880
2011-11-01,0.030000,0.030000,0.020000,0.025000,0.025000,152801
2011-12-01,0.025000,0.025000,0.015000,0.015000,0.015000,328383
2012-01-01,0.015000,0.025000,0.010000,0.010000,0.010000,147714
2012-02-01,0.010000,0.020000,0.009000,0.009000,0.009000,378425
2012-03-01,0.009000,0.060000,0.009000,0.020000,0.020000,275723
2012-04-01,0.020000,0.020000,0.010000,0.010000,0.010000,44415
2012-05-01,0.010000,0.034500,0.010000,0.012000,0.012000,69043
2012-06-01,0.030000,0.030000,0.010000,0.012500,0.012500,77464
2012-07-01,0.012500,0.030000,0.011100,0.030000,0.030000,233433
2012-08-01,0.030000,0.030000,0.011100,0.013000,0.013000,30890
2012-09-01,0.013000,0.022900,0.011100,0.013000,0.013000,15076
2012-10-01,0.013000,0.013000,0.013000,0.013000,0.013000,10067
2012-11-01,0.013000,0.025000,0.013000,0.015000,0.015000,107253
2012-12-01,0.015000,0.025000,0.013000,0.015000,0.015000,96014
2013-01-01,0.015000,0.015000,0.001200,0.005000,0.005000,547472
2013-02-01,0.005000,0.005000,0.004000,0.004000,0.004000,30160
2013-03-01,0.004000,0.004000,0.004000,0.004000,0.004000,11406
2013-04-01,0.004000,0.004000,0.003500,0.003500,0.003500,45059
2013-05-01,0.003500,0.005000,0.003500,0.004000,0.004000,86302
2013-06-01,0.004000,0.004000,0.004000,0.004000,0.004000,42565
2013-07-01,0.004000,0.004000,0.002000,0.002000,0.002000,304027
2013-08-01,0.002000,0.002500,0.001100,0.001500,0.001500,782033
2013-09-01,0.001500,0.001600,0.001500,0.001600,0.001600,115830
2013-10-01,0.001600,0.004000,0.001600,0.002000,0.002000,350740
2013-11-01,0.002000,0.003000,0.002000,0.002000,0.002000,157306
2013-12-01,0.002000,0.002000,0.002000,0.002000,0.002000,24311
2014-01-01,0.002000,0.002000,0.001600,0.001600,0.001600,182146
2014-02-01,0.001600,0.001600,0.001600,0.001600,0.001600,219372
2014-03-01,0.001600,0.002500,0.001200,0.001200,0.001200,301641
2014-04-01,0.001200,0.002200,0.001200,0.001800,0.001800,147601
2014-05-01,0.001800,0.002400,0.001800,0.001800,0.001800,124940
2014-06-01,0.001800,0.002400,0.001800,0.002300,0.002300,172306
2014-07-01,0.002300,0.002500,0.001100,0.001100,0.001100,1003905
2014-08-01,0.001100,0.001300,0.001000,0.001000,0.001000,546080
2014-09-01,0.001000,0.001500,0.001000,0.001000,0.001000,961099
2014-10-01,0.001000,0.001500,0.001000,0.001100,0.001100,569777
2014-11-01,0.001100,0.001100,0.001000,0.001000,0.001000,25938
2014-12-01,0.001000,0.001000,0.000900,0.000900,0.000900,417772
2015-01-01,0.000900,0.030000,0.000900,0.002800,0.002800,2486615
2015-02-01,0.002800,0.002900,0.002800,0.002900,0.002900,472245
2015-03-01,0.002900,0.003400,0.002200,0.002600,0.002600,396569
