Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,22.500000,32.591000,22.059999,25.139999,25.139999,22814600
2021-09-01,25.459999,27.750000,20.290001,20.930000,20.930000,24579600
2021-10-01,20.930000,21.459999,18.469999,18.889999,18.889999,10939300
2021-11-01,18.910000,22.309999,12.270000,12.910000,12.910000,20158900
2021-12-01,13.380000,14.430000,11.390000,12.160000,12.160000,17205500
2022-01-01,12.130000,12.379000,8.510000,10.190000,10.190000,23030500
2022-02-01,10.250000,10.740000,8.460000,9.870000,9.870000,16813200
2022-03-01,9.830000,10.090000,6.820000,7.440000,7.440000,33516600
2022-04-01,7.540000,8.150000,5.960000,5.990000,5.990000,12478900
2022-05-01,6.000000,6.490000,4.250000,4.750000,4.750000,32653800
2022-06-01,4.740000,5.450000,3.850000,4.250000,4.250000,19340000
2022-07-01,4.290000,4.840000,2.910000,3.070000,3.070000,13107100
2022-08-01,3.050000,4.300000,2.540000,2.640000,2.640000,37023400
2022-09-01,2.610000,3.605000,2.515000,2.820000,2.820000,22334800
2022-10-01,2.960000,4.400000,2.680000,4.150000,4.150000,17036400
2022-11-01,4.220000,4.550000,3.010000,3.200000,3.200000,13286500
2022-12-01,3.240000,3.690000,2.480000,2.820000,2.820000,12529400
2023-01-01,2.760000,3.650000,2.535000,3.630000,3.630000,9188800
2023-02-01,3.610000,4.590000,3.580000,3.980000,3.980000,9912400
2023-03-01,3.970000,4.165000,2.950000,4.110000,4.110000,13156900
2023-04-01,4.080000,4.210000,2.900000,3.040000,3.040000,5802100
2023-05-01,3.040000,3.825000,2.650000,3.690000,3.690000,8199100
2023-06-01,3.620000,4.490000,3.455000,4.250000,4.250000,6926600
2023-07-01,4.220000,4.630000,3.600000,4.460000,4.460000,5101200
2023-08-01,4.410000,6.700000,4.060000,4.470000,4.470000,28457100
2023-09-01,4.510000,4.510000,2.325000,2.730000,2.730000,11353900
2023-10-01,2.710000,2.870000,2.500000,2.500000,2.500000,3969000
