Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,19.629999,21.670000,19.459999,19.959999,19.959999,6722709
2010-04-01,19.969999,20.090000,17.290001,18.940001,18.940001,11297888
2010-05-01,18.959999,19.250000,16.610001,16.690001,16.690001,7244639
2010-06-01,16.549999,17.740000,15.530000,15.580000,15.580000,8418327
2010-07-01,15.610000,16.379999,12.250000,13.510000,13.510000,17790642
2010-08-01,13.690000,14.160000,12.630000,13.815000,13.815000,6230534
2010-09-01,14.020000,15.150000,13.360000,13.750000,13.750000,4707730
2010-10-01,13.900000,15.000000,13.040000,14.210000,14.210000,5718303
2010-11-01,14.210000,15.780000,13.010000,13.150000,13.150000,5175879
2010-12-01,13.350000,14.320000,13.020000,13.800000,13.800000,4495867
2011-01-01,13.950000,14.500000,12.720800,13.505000,13.505000,5571491
2011-02-01,13.580000,15.440000,13.530000,14.060000,14.060000,4950598
2011-03-01,14.040000,14.480000,12.560000,14.470000,14.470000,5817371
2011-04-01,14.610000,15.700000,14.000000,15.430000,15.430000,3146475
2011-05-01,15.510000,15.510000,12.010000,12.730000,12.730000,5583395
2011-06-01,12.680000,13.310000,10.310000,11.670000,11.670000,10886790
2011-07-01,11.690000,12.730000,11.150000,11.390000,11.390000,4938350
2011-08-01,11.480000,12.520000,10.000000,10.600000,10.600000,7773756
2011-09-01,10.590000,11.310000,9.750000,10.470000,10.470000,4212336
2011-10-01,10.350000,12.550000,9.680000,11.510000,11.510000,4257954
2011-11-01,11.010000,11.840000,10.100000,10.955000,10.955000,4118140
2011-12-01,10.920000,13.850000,10.790000,12.640000,12.640000,6238801
2012-01-01,12.640000,12.900000,11.340000,12.380000,12.380000,3535807
2012-02-01,12.430000,14.080000,12.355000,13.470000,13.470000,3508740
2012-03-01,13.500000,15.250000,13.355000,14.380000,14.380000,4274216
2012-04-01,14.370000,20.200001,13.000000,18.770000,18.770000,7688368
2012-05-01,18.650000,19.059999,16.410000,16.840000,16.840000,7110647
2012-06-01,16.549999,20.070000,15.810000,19.820000,19.820000,4180997
2012-07-01,19.790001,20.650000,18.290001,18.580000,18.580000,3508078
2012-08-01,20.459999,20.639999,18.033800,19.010000,19.010000,4117068
