Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.001000,0.003000,0.001000,0.002000,0.002000,206100
2010-04-01,0.002000,0.015000,0.001000,0.002000,0.002000,433638
2010-05-01,0.001000,0.003000,0.000700,0.003000,0.003000,316550
2010-06-01,0.001000,0.002000,0.001000,0.001000,0.001000,40000
2010-07-01,0.001000,0.001000,0.000800,0.000800,0.000800,45000
2010-08-01,0.000800,0.001000,0.000800,0.001000,0.001000,25300
2010-09-01,0.001000,0.001000,0.001000,0.001000,0.001000,0
2010-10-01,0.001000,0.001000,0.000800,0.000800,0.000800,10000
2010-11-01,0.000800,0.000900,0.000800,0.000900,0.000900,1600
2010-12-01,0.000900,0.003000,0.000900,0.003000,0.003000,55000
2011-01-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2011-02-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2011-03-01,0.003000,0.003000,0.001100,0.001100,0.001100,2000
2011-04-01,0.001100,0.003000,0.001100,0.003000,0.003000,99250
2011-05-01,0.003000,0.003000,0.000800,0.000800,0.000800,674079
2011-06-01,0.000800,0.000800,0.000700,0.000800,0.000800,131000
2011-07-01,0.000800,0.000800,0.000800,0.000800,0.000800,41250
2011-08-01,0.000700,0.000800,0.000700,0.000800,0.000800,10602
2011-09-01,0.000800,0.000800,0.000800,0.000800,0.000800,0
2011-10-01,0.000800,0.000800,0.000800,0.000800,0.000800,0
2011-11-01,0.000800,0.000800,0.000800,0.000800,0.000800,0
2011-12-01,0.000800,0.000800,0.000600,0.000600,0.000600,149000
2012-01-01,0.000600,0.000600,0.000600,0.000600,0.000600,0
2012-02-01,0.000600,0.000600,0.000600,0.000600,0.000600,0
2012-03-01,0.000600,0.000600,0.000600,0.000600,0.000600,0
2012-04-01,0.000600,0.008000,0.000400,0.002000,0.002000,505050
2012-05-01,0.002000,0.002000,0.001000,0.001000,0.001000,47500
2012-06-01,0.001000,0.004000,0.000500,0.004000,0.004000,42000
2012-07-01,0.004000,0.004000,0.004000,0.004000,0.004000,0
2012-08-01,0.004000,0.004000,0.004000,0.004000,0.004000,0
2012-09-01,0.004000,0.004000,0.004000,0.004000,0.004000,0
2012-10-01,0.004000,0.004000,0.004000,0.004000,0.004000,0
2012-11-01,0.004000,0.004000,0.000800,0.000800,0.000800,10000
2012-12-01,0.000800,0.000800,0.000800,0.000800,0.000800,0
2013-01-01,0.000800,0.001000,0.000800,0.001000,0.001000,320994
2013-02-01,0.001000,0.001000,0.001000,0.001000,0.001000,0
2013-03-01,0.001000,0.001000,0.001000,0.001000,0.001000,0
2013-04-01,0.001000,0.001000,0.001000,0.001000,0.001000,0
2013-05-01,0.001000,0.001000,0.001000,0.001000,0.001000,0
2013-06-01,0.001000,0.002600,0.000900,0.000900,0.000900,11500
