Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.031250,0.031250,0.031250,0.031250,0.031250,0
2010-04-01,0.031250,0.031250,0.015625,0.015625,0.015625,120000
2010-05-01,0.015625,0.031250,0.008750,0.025000,0.025000,155200
2010-06-01,0.025000,0.025000,0.025000,0.025000,0.025000,0
2010-07-01,0.025000,0.025000,0.025000,0.025000,0.025000,0
2010-08-01,0.025000,0.025000,0.025000,0.025000,0.025000,0
2010-09-01,0.025000,0.025000,0.025000,0.025000,0.025000,0
2010-10-01,0.025000,0.025000,0.025000,0.025000,0.025000,0
2010-11-01,0.025000,0.025000,0.025000,0.025000,0.025000,0
2010-12-01,0.025000,0.025000,0.025000,0.025000,0.025000,0
2011-01-01,0.025000,0.031250,0.006250,0.031250,0.031250,220000
2011-02-01,0.032500,0.068750,0.032500,0.068750,0.068750,73872
2011-03-01,0.112500,0.268750,0.045000,0.100000,0.100000,1237185
2011-04-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2011-05-01,0.100000,0.150000,0.100000,0.100000,0.100000,177250
2011-06-01,0.100000,0.100000,0.070000,0.090000,0.090000,2258764
2011-07-01,0.090000,0.095000,0.065000,0.095000,0.095000,37214
2011-08-01,0.095000,0.180000,0.095000,0.115000,0.115000,2590218
2011-09-01,0.115000,0.148000,0.082000,0.088000,0.088000,41228246
2011-10-01,0.088000,0.095000,0.066500,0.089000,0.089000,1292296
2011-11-01,0.075000,0.090000,0.018600,0.026500,0.026500,94893449
2011-12-01,0.026500,0.042000,0.015000,0.023000,0.023000,20818510
2012-01-01,0.023000,0.025000,0.012000,0.018000,0.018000,4719862
2012-02-01,0.018000,0.039000,0.015000,0.018300,0.018300,54203379
2012-03-01,0.019700,0.020000,0.007100,0.009700,0.009700,40586762
2012-04-01,0.009800,0.016500,0.003000,0.005500,0.005500,169483017
2012-05-01,0.005500,0.008000,0.004200,0.005500,0.005500,20788225
2012-06-01,0.005500,0.007800,0.003500,0.003700,0.003700,9865875
2012-07-01,0.003700,0.004000,0.003000,0.003500,0.003500,4231331
2012-08-01,0.003500,0.007000,0.002000,0.003000,0.003000,23922868
2012-09-01,0.003000,0.003200,0.002000,0.002500,0.002500,7212605
2012-10-01,0.002200,0.002600,0.001500,0.002200,0.002200,3910743
2012-11-01,0.002200,0.002900,0.001000,0.002000,0.002000,4388124
2012-12-01,0.002000,0.002500,0.001100,0.001300,0.001300,3930210
2013-01-01,0.001300,0.001700,0.001000,0.001700,0.001700,4062167
2013-02-01,0.001700,0.002700,0.001000,0.001800,0.001800,3228065
2013-03-01,0.001800,0.002400,0.001100,0.001900,0.001900,1135776
2013-04-01,0.001900,0.002300,0.001200,0.002000,0.002000,2405150
2013-05-01,0.001500,0.002900,0.001300,0.001700,0.001700,4940654
2013-06-01,0.001700,0.002300,0.001400,0.001800,0.001800,4590571
2013-07-01,0.001800,0.001800,0.001000,0.001200,0.001200,2649726
2013-08-01,0.001200,0.001200,0.000800,0.000800,0.000800,2093649
2013-09-01,0.000800,0.001500,0.000600,0.000600,0.000600,4165326
2013-10-01,0.000600,0.001000,0.000600,0.000600,0.000600,1950807
2013-11-01,0.000600,0.000800,0.000400,0.000500,0.000500,12386963
2013-12-01,0.000500,0.000600,0.000300,0.000500,0.000500,7707942
2014-01-01,0.000500,0.000600,0.000400,0.000500,0.000500,2999147
2014-02-01,0.000500,0.000900,0.000400,0.000900,0.000900,4245049
2014-03-01,0.000800,0.000800,0.000700,0.000700,0.000700,1461984
2014-04-01,0.000700,0.001900,0.000600,0.001100,0.001100,10952164
