Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,10.500000,14.960000,7.500000,9.500000,9.500000,452700
2011-02-01,9.510000,19.750000,9.500000,19.500000,19.500000,115200
2011-03-01,19.500000,19.500000,15.000000,18.490000,18.490000,70300
2011-04-01,17.250000,18.500000,17.000000,17.400000,17.400000,19200
2011-05-01,17.400000,18.200001,14.500000,17.000000,17.000000,35200
2011-06-01,17.000000,17.500000,12.000000,13.000000,13.000000,74100
2011-07-01,13.100000,15.890000,13.000000,15.000000,15.000000,102100
2011-08-01,15.200000,17.000000,12.500000,15.000000,15.000000,24100
2011-09-01,15.000000,15.000000,12.100000,14.750000,14.750000,35700
2011-10-01,14.750000,17.879999,12.500000,14.000000,14.000000,23900
2011-11-01,14.100000,17.500000,13.750000,15.250000,15.250000,17100
2011-12-01,15.000000,17.500000,12.510000,13.500000,13.500000,11200
2012-01-01,13.500000,14.000000,11.510000,12.510000,12.510000,8100
2012-02-01,14.000000,17.000000,10.550000,11.980000,11.980000,9500
2012-03-01,11.980000,12.000000,7.770000,8.770000,8.770000,13900
2012-04-01,8.770000,12.980000,8.510000,11.980000,11.980000,7900
2012-05-01,11.980000,11.980000,8.650000,9.730000,9.730000,4100
2012-06-01,9.730000,10.150000,8.260000,9.500000,9.500000,6300
2012-07-01,9.500000,10.060000,8.500000,8.500000,8.500000,2200
2012-08-01,8.750000,9.000000,7.500000,9.000000,9.000000,5500
2012-09-01,9.000000,10.000000,6.500000,8.240000,8.240000,13600
2012-10-01,7.240000,8.990000,6.600000,6.750000,6.750000,7600
2012-11-01,7.650000,7.900000,7.000000,7.100000,7.100000,8800
2012-12-01,7.100000,10.690000,6.950000,8.720000,8.720000,23000
2013-01-01,8.500000,12.000000,7.600000,8.000000,8.000000,48600
2013-02-01,8.800000,9.000000,8.000000,8.000000,8.000000,24700
2013-03-01,8.000000,9.750000,7.750000,9.250000,9.250000,59400
2013-04-01,9.000000,9.300000,8.160000,8.500000,8.500000,50500
2013-05-01,8.500000,8.500000,7.850000,8.200000,8.200000,13200
2013-06-01,8.200000,10.000000,7.850000,8.210000,8.210000,20800
2013-07-01,8.210000,9.500000,7.850000,8.500000,8.500000,60600
2013-08-01,8.600000,9.900000,8.170000,9.900000,9.900000,25900
2013-09-01,9.900000,12.500000,9.490000,10.000000,10.000000,9900
2013-10-01,10.000000,10.000000,9.200000,9.200000,9.200000,5900
2013-11-01,9.200000,10.500000,9.100000,10.500000,10.500000,13700
2013-12-01,10.890000,11.000000,9.150000,9.460000,9.460000,14100
2014-01-01,9.460000,11.110000,9.200000,11.000000,11.000000,28400
2014-02-01,11.000000,13.000000,10.250000,12.760000,12.760000,16000
2014-03-01,12.760000,14.000000,10.000000,13.000000,13.000000,4100
2014-04-01,13.000000,13.000000,10.900000,13.000000,13.000000,200
2014-05-01,13.000000,13.950000,10.500000,10.500000,10.500000,2400
2014-06-01,10.500000,11.000000,7.110000,11.000000,11.000000,8500
2014-07-01,8.500000,11.000000,7.000000,10.000000,10.000000,11600
2014-08-01,10.000000,10.000000,7.000000,8.750000,8.750000,22300
2014-09-01,8.750000,9.000000,7.000000,8.800000,8.800000,20400
2014-10-01,8.800000,8.800000,7.500000,7.500000,7.500000,6800
2014-11-01,7.500000,7.500000,3.950000,4.700000,4.700000,188400
2014-12-01,4.010000,6.990000,2.050000,4.760000,4.760000,46200
2015-01-01,4.760000,5.500000,3.500000,4.000000,4.000000,167600
2015-02-01,4.000000,6.650000,2.050000,4.990000,4.990000,24100
2015-03-01,4.750000,4.990000,4.750000,4.750000,4.750000,2200
2015-04-01,4.750000,6.490000,4.750000,4.910000,4.910000,5400
2015-05-01,4.910000,6.400000,4.900000,5.100000,5.100000,2200
2015-06-01,5.100000,5.100000,4.010000,4.250000,4.250000,4600
