Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,7.930000,9.600000,7.880000,8.750000,2.859564,11784100
2010-04-01,8.770000,9.410000,7.910000,8.490000,2.774595,6656300
2010-05-01,8.540000,8.630000,6.890000,7.560000,2.470663,6931500
2010-06-01,7.450000,8.270000,7.200000,7.520000,2.457591,6223000
2010-07-01,7.510000,8.320000,6.710000,8.100000,2.647139,4950200
2010-08-01,8.220000,8.340000,6.960000,7.120000,2.326868,4625800
2010-09-01,7.250000,8.300000,7.190000,8.250000,2.696160,4976100
2010-10-01,8.210000,9.880000,7.890000,9.520000,3.111206,5540400
2010-11-01,9.540000,12.060000,9.420000,12.030000,3.931491,26604600
2010-12-01,12.310000,15.350000,11.820000,15.180000,4.960935,13419400
2011-01-01,15.410000,17.469999,14.550000,17.320000,5.660302,16392700
2011-02-01,17.660000,21.680000,16.370001,18.900000,6.176658,62291200
2011-03-01,18.850000,23.180000,17.570000,23.160000,7.568855,57505900
2011-04-01,23.350000,24.379999,20.510000,22.230000,7.264926,36285600
2011-05-01,22.400000,22.400000,18.299999,21.860001,7.144008,50762200
2011-06-01,21.840000,25.030001,20.030001,24.620001,8.045996,68522900
2011-07-01,24.610001,28.010000,24.090000,26.850000,8.774777,31249600
2011-08-01,28.330000,29.000000,19.200001,28.469999,9.304201,70096600
2011-09-01,28.410000,29.610001,20.020000,21.139999,6.908706,56955900
2011-10-01,20.760000,27.950001,18.400000,24.760000,8.091747,58367200
2011-11-01,23.139999,27.209999,16.620001,18.200001,5.947893,79724100
2011-12-01,18.080000,19.299999,17.440001,18.730000,6.121100,45222400
2012-01-01,19.299999,25.440001,19.190001,24.940001,8.150574,48252700
2012-02-01,25.160000,30.110001,25.160000,27.209999,8.892426,45168400
2012-03-01,27.530001,27.940001,25.410000,26.750000,8.742096,31680900
2012-04-01,26.629999,30.510000,26.280001,30.360001,9.921870,65556300
2012-05-01,30.219999,31.709999,25.000000,25.440001,8.313975,43384000
2012-06-01,25.120001,26.930000,23.540001,26.580000,8.686534,13262600
2012-07-01,26.809999,29.080000,26.530001,28.559999,9.333619,6529200
2012-08-01,28.480000,29.830000,27.110001,29.820000,9.745396,6786700
2012-09-01,29.840000,38.349998,29.840000,36.750000,12.010169,8013900
2012-10-01,39.000000,40.650002,35.220001,36.750000,12.010169,5309400
2012-11-01,36.860001,46.470001,34.520000,45.740002,14.948165,5749800
2012-12-01,45.959999,49.630001,43.860001,48.790001,15.944923,7012600
2013-01-01,50.029999,59.270000,46.290001,58.750000,19.199924,11073700
2013-02-01,54.290001,57.299999,52.540001,56.180000,18.360033,7037600
2013-03-01,55.639999,62.500000,50.509998,51.619999,18.612213,10700900
2013-04-01,51.799999,53.000000,44.950001,49.270000,17.764894,10617100
2013-05-01,48.810001,72.320000,47.439999,62.810001,22.646898,16180200
2013-06-01,63.660000,64.029999,46.540001,47.400002,19.091753,12382700
2013-07-01,47.750000,49.939999,43.299999,47.189999,19.007168,12250100
2013-08-01,47.779999,49.500000,40.509998,42.820000,17.247021,12604100
2013-09-01,43.529999,44.200001,38.060001,38.520000,15.768745,11853300
2013-10-01,38.459999,42.049999,35.639999,39.720001,16.259987,10678500
2013-11-01,40.040001,40.250000,33.029999,39.480000,16.161741,12447900
2013-12-01,39.860001,43.439999,37.080002,43.430000,18.148102,12287000
2014-01-01,43.439999,43.959999,36.459999,37.090000,15.498801,9880600
2014-02-01,37.060001,42.900002,34.889999,39.349998,16.443190,9829300
2014-03-01,39.000000,42.439999,37.410000,42.250000,17.976402,9651900
2014-04-01,42.360001,49.900002,41.060001,49.150002,20.912193,9328200
2014-05-01,49.959999,50.299999,45.009998,47.060001,20.022949,7714700
2014-06-01,47.130001,51.439999,45.759998,48.189999,20.821323,6868900
2014-07-01,48.520000,50.990002,45.790001,47.080002,20.341732,9373100
2014-08-01,47.160000,49.970001,45.500000,49.630001,22.322334,6073700
2014-09-01,49.680000,50.959999,44.250000,44.730000,20.447311,7696100
2014-10-01,44.730000,48.580002,39.570000,48.580002,22.207253,12142700
2014-11-01,48.570000,49.639999,46.509998,46.540001,21.274715,7929500
2014-12-01,46.500000,47.090000,36.700001,38.709999,17.973869,8868700
2015-01-01,38.790001,39.950001,33.020000,38.320000,17.792784,6583900
2015-02-01,38.169998,42.389999,37.560001,41.990002,19.496838,7612300
2015-03-01,41.810001,43.209999,38.099998,42.560001,20.004276,6770700
2015-04-01,42.669998,43.459999,39.419998,40.040001,18.819811,6023500
2015-05-01,40.090000,41.750000,37.410000,38.759998,18.218178,6398100
2015-06-01,38.759998,39.599998,36.430000,37.639999,17.916891,5231700
2015-07-01,37.799999,41.070000,36.020000,38.230000,18.197739,7023800
2015-08-01,38.330002,43.630001,36.060001,40.209999,19.140228,6568700
2015-09-01,38.990002,42.250000,37.669998,41.049999,19.788174,5829800
2015-10-01,41.169998,44.619999,40.330002,44.459999,21.431965,7293000
2015-11-01,44.270000,48.369999,41.000000,47.750000,23.017914,7419100
2015-12-01,47.490002,47.849998,38.450001,39.349998,19.175905,7461100
2016-01-01,38.880001,38.980000,32.660000,35.020000,17.065825,7650100
2016-02-01,34.230000,34.730000,22.049999,23.650000,11.525034,10712900
2016-03-01,23.809999,26.870001,23.059999,26.100000,12.990036,11926500
2016-04-01,25.799999,26.570000,23.570000,24.280001,12.084219,11882800
2016-05-01,24.150000,24.250000,19.080000,19.639999,9.774879,12112700
2016-06-01,19.440001,21.370001,14.870000,15.500000,7.898595,17577600
2016-07-01,15.450000,15.950000,13.480000,14.800000,7.541882,21729200
2016-08-01,14.800000,15.200000,13.010000,14.590000,7.434868,27320500
2016-09-01,14.630000,16.389999,13.370000,13.770000,7.263219,20958200
2016-10-01,13.810000,15.340000,13.010000,13.260000,6.994211,12975400
2016-11-01,13.650000,18.320000,12.030000,16.730000,8.824520,20500600
2016-12-01,17.000000,25.410000,16.500000,25.389999,13.927649,24824700
2017-01-01,25.840000,25.910000,22.010000,22.209999,12.183266,16071000
2017-02-01,22.459999,24.360001,20.780001,22.920000,12.572733,15079800
2017-03-01,23.250000,24.139999,18.879999,20.080000,11.260838,15488600
2017-04-01,19.950001,22.620001,17.530001,21.889999,12.275883,16900000
2017-05-01,21.910000,23.200001,19.469999,19.959999,11.193541,13566200
2017-06-01,20.020000,22.330000,19.379999,21.760000,12.481583,11841000
