Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,7.120000,7.830000,7.030000,7.628000,4.479116,494963
2010-04-01,7.530000,7.850000,7.420100,7.730000,4.539011,348648
2010-05-01,7.750000,7.900000,6.460000,7.110000,4.174950,444163
2010-06-01,6.970000,7.290000,6.660000,6.760000,3.969432,348447
2010-07-01,6.730000,7.680000,6.540000,7.240100,4.251345,420202
2010-08-01,7.300000,7.760000,6.990000,7.410000,4.351109,432379
2010-09-01,7.420000,7.650000,7.170000,7.410000,4.351109,409190
2010-10-01,7.530000,7.970000,7.400000,7.720000,4.533140,626287
2010-11-01,7.780000,8.000000,7.110000,7.560000,4.439188,616221
2010-12-01,7.620000,7.820000,7.370000,7.789500,4.573948,495480
2011-01-01,7.830000,8.050000,7.680000,7.850000,4.609474,293994
2011-02-01,7.820000,8.100000,7.820000,8.000000,4.697553,267922
2011-03-01,7.950000,8.230000,7.680000,8.150000,4.785633,361866
2011-04-01,8.130000,8.380000,7.958000,8.322900,4.887158,319725
2011-05-01,8.380000,8.380000,7.940000,8.250000,4.844353,351297
2011-06-01,8.210000,8.240000,7.700000,8.010000,4.703425,411787
2011-07-01,8.030000,8.310000,7.400000,7.710000,4.527266,397403
2011-08-01,7.810000,7.810000,6.430000,7.180000,4.216053,668729
2011-09-01,7.210000,7.246500,6.600000,6.650000,3.904841,390325
2011-10-01,6.700000,7.207100,5.990000,7.040000,4.133845,509590
2011-11-01,6.910000,7.210000,6.640000,6.890000,4.045767,435628
2011-12-01,6.920000,7.230000,6.780000,7.073000,4.153223,605248
2012-01-01,7.900000,7.800000,7.130000,7.650000,4.492034,604220
2012-02-01,7.718000,8.010000,7.710000,7.930000,4.656447,500907
2012-03-01,7.990000,8.290000,7.780000,8.150000,4.785633,479836
2012-04-01,8.140000,8.160000,7.680000,7.930000,4.656447,409118
2012-05-01,7.980000,8.010000,7.360000,7.615500,4.471778,421760
2012-06-01,7.540000,7.820000,7.350000,7.770000,4.562499,427385
2012-07-01,7.760000,8.050000,7.720000,8.010000,4.703425,344095
2012-08-01,8.100000,8.410000,8.000000,8.220000,4.826734,511931
2012-09-01,8.550000,8.440000,8.120000,8.250000,4.844353,496706
2012-10-01,8.240000,8.438900,7.950000,8.100000,4.756274,532858
2012-11-01,8.070000,8.210000,7.250000,7.920000,4.650577,548750
2012-12-01,7.930000,8.030000,7.770000,7.920000,4.650577,659529
2013-01-01,8.810000,8.780000,7.981000,8.610000,5.055742,914681
2013-02-01,8.650000,8.870000,8.550000,8.780000,5.155565,602739
2013-03-01,8.790000,9.040000,8.700000,9.650000,5.666421,480473
2013-04-01,9.040000,9.190000,8.870000,9.130000,5.361083,517483
2013-05-01,9.150000,9.520000,9.010000,9.120000,5.355212,575659
2013-06-01,9.100000,9.160000,8.320000,8.920000,5.237771,837495
2013-07-01,8.950000,9.220000,8.630000,9.135200,5.364133,469713
2013-08-01,9.130000,9.220000,8.660000,8.730000,5.126206,458326
2013-09-01,9.660000,9.150000,8.730000,8.860000,5.202539,438637
2013-10-01,8.820000,9.440000,8.680000,9.410000,5.525496,399096
2013-11-01,9.389600,9.490000,9.200000,9.410000,5.525496,576003
2013-12-01,9.360000,9.480000,8.999800,9.390000,5.513752,809787
2014-01-01,10.490000,9.540000,9.060000,9.140000,5.366952,502232
2014-02-01,9.110000,9.520000,8.770000,9.470000,5.560730,582074
2014-03-01,9.400000,9.620000,9.340000,9.570000,5.619446,510147
2014-04-01,9.570000,9.660000,9.380000,9.630000,5.654679,618367
2014-05-01,9.580000,10.090000,9.540000,10.090000,5.924787,955419
2014-06-01,10.070000,10.730000,10.040000,10.440000,6.130307,1188249
2014-07-01,10.410100,10.489000,9.992100,9.994800,5.868888,809720
2014-08-01,9.950000,10.247300,9.810000,10.233400,6.008995,431488
2014-09-01,11.370000,10.320000,9.800000,9.850000,5.783861,420153
2014-10-01,9.850000,10.010000,8.977700,10.010000,5.877811,615419
2014-11-01,9.980000,10.130000,9.920000,10.050000,5.901300,217294
2014-12-01,10.010000,10.070000,9.370000,9.850000,5.783861,504971
2015-01-01,11.050000,10.050000,9.563500,9.830000,5.772118,459581
2015-02-01,9.821000,10.150000,9.720000,10.100900,5.931191,367604
2015-03-01,10.100000,10.160000,9.630000,10.060000,5.907174,413243
2015-04-01,10.030000,10.310000,9.970100,10.140000,5.954147,595275
2015-05-01,10.200000,10.370000,9.990000,10.320000,6.059844,284222
2015-06-01,10.350000,10.440000,9.750000,9.900000,5.813221,508005
2015-07-01,9.950000,10.010000,9.400000,9.570000,5.619446,456606
2015-08-01,9.490000,9.650000,8.110000,8.840000,5.190796,517254
2015-09-01,8.640000,8.890700,8.250000,8.370000,4.914813,374939
2015-10-01,8.340100,9.270000,8.264500,9.130000,5.361083,366929
2015-11-01,9.160000,9.300000,8.750000,8.999900,5.284687,236286
2015-12-01,8.990000,9.060000,8.380000,8.820000,5.179051,373643
2016-01-01,9.940000,8.790000,7.460000,8.150000,4.785633,515307
2016-02-01,8.180000,8.300000,7.580000,8.210000,4.820864,455361
2016-03-01,8.290000,9.180000,8.290000,9.115400,5.352510,386429
2016-04-01,9.050000,9.499900,8.850000,9.398600,5.518803,301143
2016-05-01,9.420000,9.590000,9.185000,9.560000,5.613575,414299
2016-06-01,9.460000,9.960000,9.250000,9.960000,5.848454,720652
2016-07-01,9.940000,10.060000,9.720000,10.030000,5.889556,586916
2016-08-01,10.031300,10.170000,9.860000,10.036600,5.893433,279639
2016-09-01,10.040000,10.090000,9.610000,9.900000,5.813221,560430
2016-10-01,9.900000,9.910000,9.540000,9.550000,5.607705,273311
2016-11-01,9.543200,9.720000,9.250000,9.700000,5.695785,283067
2016-12-01,9.740000,10.040000,9.629000,9.975000,5.857260,332901
2017-01-01,11.220000,10.240000,9.927600,10.010000,5.877811,401823
2017-02-01,10.040000,10.439300,9.960000,10.408000,6.111516,305288
2017-03-01,10.430000,10.520000,10.090000,10.320000,6.059844,360654
2017-04-01,10.290000,10.550000,10.260000,10.400000,6.106819,495999
2017-05-01,10.400000,10.440000,10.130000,10.340000,6.071586,332669
2017-06-01,10.350000,10.645000,10.320000,10.457500,6.140586,597509
2017-07-01,10.440000,10.580000,10.294400,10.580000,6.212513,530310
2017-08-01,10.567300,10.620000,10.180000,10.430000,6.124434,250150
2017-09-01,10.461200,10.760000,10.350000,10.760000,6.318207,420938
2017-10-01,10.757500,10.860000,10.630000,10.720000,6.306149,356669
2017-11-01,10.730000,10.857300,10.350000,10.850000,6.382623,236228
2017-12-01,10.820000,10.960000,10.630000,10.730000,6.335584,368480
2018-01-01,10.730000,11.363400,10.730000,11.140100,6.785252,374976
2018-02-01,11.090000,11.150000,10.190000,10.660000,6.516680,560679
2018-03-01,10.600000,11.030000,10.400000,10.550000,6.473704,1701231
2018-04-01,10.530000,11.080000,10.290000,10.960000,6.787825,615001
2018-05-01,10.920000,11.250000,10.730800,11.090000,6.931915,921423
2018-06-01,11.250000,11.710000,11.160000,11.520000,7.264709,2068090
2018-07-01,11.590000,12.560000,11.500100,12.410000,7.891827,1584136
2018-08-01,12.450000,13.100000,12.300000,12.980000,8.319700,831139
2018-09-01,12.980000,14.389000,11.910000,13.350000,8.623203,1625146
2018-10-01,13.460000,13.547700,11.336500,11.800000,7.678532,1064341
2018-11-01,11.840000,12.769600,11.100000,12.420000,8.147493,714835
2018-12-01,12.500000,12.688200,9.630000,11.310000,7.477931,874506
2019-01-01,11.310000,12.980000,11.020000,12.870000,8.576110,564037
2019-02-01,12.950000,13.679900,12.490000,12.670000,8.505820,620795
2019-03-01,12.810000,13.100000,12.350000,12.970000,8.765023,401147
2019-04-01,13.100000,13.850000,12.820000,13.780000,9.376368,422223
2019-05-01,13.850000,14.500000,12.800000,12.800000,8.768632,609732
2019-06-01,12.810000,14.320000,12.770000,14.120000,9.736544,488278
2019-07-01,14.250000,15.554800,14.100000,15.035000,10.434713,438782
2019-08-01,14.900000,15.300000,12.310000,13.590000,9.489054,697750
2019-09-01,13.590000,14.730000,13.130000,13.700000,9.631088,332653
2019-10-01,13.890000,15.000000,13.302400,14.010000,9.912093,358066
2019-11-01,13.910000,15.000000,13.800000,14.090000,10.032306,276200
2019-12-01,14.050000,15.280000,14.050000,15.160500,10.860324,248161
2020-01-01,15.160500,16.650000,14.900000,15.230000,10.976779,362632
2020-02-01,15.250000,15.806700,11.000000,11.000000,7.973544,608575
2020-03-01,11.050000,13.600000,5.000000,8.350000,6.088520,1356476
2020-04-01,8.370000,9.300000,7.300000,8.980000,6.653244,610005
2020-05-01,8.880000,9.040000,7.850000,8.890000,6.647947,783489
2020-06-01,8.860000,9.540000,8.120000,8.410000,6.344527,832263
2020-07-01,8.340000,8.680000,8.050000,8.240000,6.252115,660677
2020-08-01,8.340000,8.860000,8.230000,8.550000,6.528553,904360
2020-09-01,8.500000,8.600000,7.850000,8.070000,6.200214,490366
2020-10-01,8.130000,8.390000,7.450000,7.550000,5.838502,683397
2020-11-01,7.450000,9.010000,7.450000,8.900000,6.929087,725216
2020-12-01,8.970000,9.400000,8.935000,9.250000,7.247200,623392
2021-01-01,9.250000,9.740000,9.050000,9.210000,7.259967,474241
2021-02-01,9.230000,9.750000,9.230000,9.580000,7.597637,466930
2021-03-01,9.730000,10.400000,9.550000,10.400000,8.300145,567752
2021-04-01,10.400000,11.250000,10.340000,10.880000,8.736855,774059
2021-05-01,11.030000,11.735000,10.762400,11.470000,9.265439,561406
2021-06-01,11.580000,12.190000,10.970000,11.310000,9.188883,563322
2021-07-01,11.350000,11.540000,10.360000,10.870000,8.880550,563468
2021-08-01,10.840000,11.230000,10.760000,11.132000,9.151240,317294
2021-09-01,11.130000,11.206700,10.600000,11.030000,9.123650,271572
2021-10-01,11.100000,11.420000,10.790000,11.230000,9.346392,237752
2021-11-01,11.220000,11.423800,10.822000,10.822000,9.060633,251978
2021-12-01,10.860000,11.940000,10.680000,11.700000,9.855091,378319
2022-01-01,11.600000,11.849900,10.060000,11.420000,9.939970,829108
2022-02-01,11.420000,11.590000,10.049500,10.790000,9.448157,346230
2022-03-01,10.780000,11.109700,10.215000,10.832900,9.546440,249947
2022-04-01,10.830000,10.900000,9.880000,9.990000,8.861237,434337
2022-05-01,9.980000,10.060000,8.810400,9.750000,8.703077,382427
2022-06-01,9.760000,9.809900,8.290000,8.480000,7.624362,532457
2022-07-01,8.470000,9.489900,8.340000,9.440000,8.548351,604934
2022-08-01,9.400000,9.785200,8.490000,8.580000,7.822424,507292
2022-09-01,8.500000,8.735500,7.150000,7.270000,6.670380,465260
2022-10-01,7.310000,8.230000,7.210000,8.030000,7.421366,737153
2022-11-01,8.060000,8.860000,7.660000,8.530000,7.944797,558004
2022-12-01,8.560000,8.649700,7.750000,8.130000,7.621470,546678
2023-01-01,8.130000,8.370000,7.980000,8.360000,8.089211,456554
2023-02-01,8.320100,8.480000,7.530000,7.730000,7.531088,545068
2023-03-01,7.650000,7.760000,7.060000,8.420000,8.420000,218167
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
