Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,2.050000,2.250000,2.050000,2.240000,2.240000,7500
2010-04-01,2.400000,2.590000,2.400000,2.590000,2.590000,1000
2010-05-01,2.590000,2.590000,2.010000,2.010000,2.010000,1000
2010-06-01,2.010000,2.300000,2.010000,2.300000,2.300000,5800
2010-07-01,2.300000,2.500000,2.000000,2.500000,2.500000,4400
2010-08-01,1.780000,1.780000,1.750000,1.750000,1.750000,1500
2010-09-01,1.750000,2.970000,1.750000,2.680000,2.680000,9200
2010-10-01,2.680000,2.680000,1.750000,2.600000,2.600000,6900
2010-11-01,2.600000,2.700000,1.750000,2.500000,2.500000,6400
2010-12-01,2.500000,2.500000,1.760000,2.400000,2.400000,5900
2011-01-01,2.400000,2.600000,2.100000,2.400000,2.400000,4800
2011-02-01,2.400000,2.500000,1.810000,2.500000,2.500000,1500
2011-03-01,2.500000,2.500000,1.800000,2.500000,2.500000,4300
2011-04-01,2.500000,2.500000,2.400000,2.500000,2.500000,1300
2011-05-01,2.410000,2.500000,2.410000,2.500000,2.500000,2800
2011-06-01,2.500000,2.500000,2.400000,2.400000,2.400000,4000
2011-07-01,2.400000,2.400000,2.400000,2.400000,2.400000,0
2011-08-01,2.400000,2.400000,1.500000,2.200000,2.200000,9000
2011-09-01,2.200000,2.200000,1.550000,1.550000,1.550000,400
2011-10-01,1.550000,2.450000,1.550000,2.450000,2.450000,7000
2011-11-01,2.450000,2.450000,2.450000,2.450000,2.450000,0
2011-12-01,2.450000,2.450000,1.480000,1.550000,1.550000,20300
2012-01-01,1.550000,2.300000,1.550000,2.000000,2.000000,13500
2012-02-01,2.000000,2.500000,2.000000,2.200000,2.200000,25200
2012-03-01,2.000000,2.000000,2.000000,2.000000,2.000000,800
2012-04-01,2.000000,2.250000,2.000000,2.250000,2.250000,1100
2012-05-01,1.800000,2.000000,1.800000,1.850000,1.850000,72800
2012-06-01,1.850000,1.860000,1.850000,1.860000,1.860000,10000
2012-07-01,1.860000,1.860000,1.480000,1.790000,1.790000,22600
2012-08-01,1.790000,1.800000,1.210000,1.800000,1.800000,13100
2012-09-01,1.800000,1.800000,1.050000,1.450000,1.450000,159200
2012-10-01,1.320000,1.500000,1.250000,1.500000,1.500000,95600
2012-11-01,1.500000,1.800000,1.350000,1.790000,1.790000,67700
2012-12-01,1.790000,1.850000,1.670000,1.850000,1.850000,15300
2013-01-01,1.850000,2.050000,1.800000,2.000000,2.000000,15400
2013-02-01,2.000000,2.470000,1.390000,1.560000,1.560000,142400
2013-03-01,1.560000,1.650000,1.550000,1.640000,1.640000,23800
2013-04-01,1.600000,1.690000,1.530000,1.550000,1.550000,51600
2013-05-01,1.530000,1.550000,1.500000,1.550000,1.550000,25100
2013-06-01,1.580000,1.690000,1.550000,1.550000,1.550000,15100
2013-07-01,1.550000,1.710000,1.550000,1.700000,1.700000,26300
2013-08-01,1.700000,1.880000,1.700000,1.880000,1.880000,3600
2013-09-01,1.880000,1.900000,1.700000,1.700000,1.700000,50800
2013-10-01,1.700000,1.910000,1.700000,1.910000,1.910000,2100
2013-11-01,1.700000,2.050000,1.700000,2.000000,2.000000,87500
2013-12-01,2.000000,2.020000,2.000000,2.000000,2.000000,8000
2014-01-01,2.000000,2.160000,1.780000,2.100000,2.100000,32600
2014-02-01,2.100000,2.100000,2.000000,2.050000,2.050000,36500
2014-03-01,2.050000,2.300000,2.050000,2.280000,2.280000,13000
2014-04-01,2.280000,2.280000,2.060000,2.280000,2.280000,8100
2014-05-01,2.280000,2.280000,2.130000,2.130000,2.130000,1600
2014-06-01,2.130000,2.210000,2.130000,2.210000,2.210000,2500
2014-07-01,2.210000,2.210000,2.210000,2.210000,2.210000,2000
2014-08-01,2.210000,2.260000,2.210000,2.260000,2.260000,1000
2014-09-01,2.260000,2.390000,2.190000,2.280000,2.280000,29700
2014-10-01,2.280000,2.300000,2.010000,2.280000,2.280000,14800
2014-11-01,2.280000,2.330000,2.200000,2.330000,2.330000,6300
2014-12-01,2.330000,2.330000,2.250000,2.280000,2.280000,8100
2015-01-01,2.280000,2.360000,2.250000,2.350000,2.350000,16900
2015-02-01,2.350000,2.450000,2.020000,2.280000,2.280000,8500
2015-03-01,2.280000,2.320000,2.150000,2.150000,2.150000,2700
2015-04-01,2.150000,2.150000,2.050000,2.050000,2.050000,3000
2015-05-01,2.050000,2.180000,2.050000,2.110000,2.110000,3400
2015-06-01,2.110000,2.400000,2.000000,2.100000,2.100000,14400
2015-07-01,2.100000,2.100000,2.100000,2.100000,2.100000,400
2015-08-01,2.100000,2.150000,2.080000,2.150000,2.150000,4100
2015-09-01,2.150000,2.150000,2.040000,2.100000,2.100000,5200
2015-10-01,2.100000,2.100000,2.100000,2.100000,2.100000,0
2015-11-01,2.100000,2.100000,2.000000,2.000000,2.000000,6100
2015-12-01,2.000000,2.340000,1.950000,2.340000,2.340000,4500
2016-01-01,2.340000,2.340000,2.100000,2.100000,2.100000,5600
2016-02-01,2.100000,2.100000,1.950000,1.950000,1.950000,300
2016-03-01,1.950000,1.950000,1.950000,1.950000,1.950000,500
2016-04-01,1.950000,2.100000,1.900000,1.910000,1.910000,2400
2016-05-01,2.000000,2.000000,1.950000,1.950000,1.950000,9800
2016-06-01,1.950000,1.950000,1.950000,1.950000,1.950000,1500
2016-07-01,1.950000,2.050000,1.950000,2.020000,2.020000,1300
2016-08-01,2.020000,2.100000,2.000000,2.000000,2.000000,3600
2016-09-01,2.000000,2.750000,2.000000,2.500000,2.500000,35900
2016-10-01,2.500000,2.500000,2.500000,2.500000,2.500000,7000
2016-11-01,2.500000,2.500000,2.350000,2.350000,2.350000,1000
2016-12-01,2.350000,2.350000,2.350000,2.350000,2.350000,0
2017-01-01,2.350000,2.750000,2.000000,2.650000,2.650000,5700
2017-02-01,2.650000,2.680000,2.010000,2.060000,2.060000,1600
2017-03-01,2.060000,2.200000,1.010000,2.010000,2.010000,16700
2017-04-01,2.010000,2.250000,1.950000,1.950000,1.950000,700
2017-05-01,1.950000,1.950000,1.650000,1.900000,1.900000,1700
2017-06-01,1.900000,1.900000,1.500000,1.500000,1.500000,800
2017-07-01,1.500000,1.500000,1.290000,1.350000,1.350000,1200
2017-08-01,1.350000,1.350000,1.350000,1.350000,1.350000,3000
2017-09-01,1.350000,2.450000,1.350000,2.260000,2.260000,15600
2017-10-01,2.260000,2.400000,2.260000,2.260000,2.260000,2900
2017-11-01,2.260000,2.260000,1.700000,1.800000,1.800000,2700
2017-12-01,1.800000,1.810000,1.750000,1.800000,1.800000,7800
2018-01-01,1.800000,2.390000,1.800000,2.390000,2.390000,2900
