Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,30.000000,31.129999,25.990000,27.920000,27.920000,3800181
2010-04-01,27.820000,30.889999,27.309999,30.309999,30.309999,4253748
2010-05-01,30.540001,30.549999,17.600000,20.480000,20.480000,7882962
2010-06-01,20.740000,23.950001,18.870001,19.000000,19.000000,12167316
2010-07-01,18.969999,19.719999,16.240000,18.120001,18.120001,4987161
2010-08-01,18.410000,18.506901,8.490000,8.520000,8.520000,6017656
2010-09-01,8.570000,13.150000,8.354000,12.280000,12.280000,5879684
2010-10-01,12.420000,12.420000,6.650000,7.010000,7.010000,4521350
2010-11-01,7.000000,7.440000,4.460000,4.750000,4.750000,11071280
2010-12-01,4.870000,9.130000,4.550000,7.460000,7.460000,23671753
2011-01-01,7.600000,9.420000,5.450000,5.500000,5.500000,10056448
2011-02-01,5.560000,6.930000,5.270000,5.270000,5.270000,6280621
2011-03-01,5.240000,5.580000,3.870000,4.840000,4.840000,16407543
2011-04-01,4.900000,5.090000,3.840000,4.200000,4.200000,7418097
2011-05-01,4.500000,4.530000,1.610000,2.340000,2.340000,18906865
2011-06-01,2.350000,3.460000,1.910000,2.530000,2.530000,30261959
2011-07-01,2.530000,2.960000,1.951000,2.020000,2.020000,8492237
2011-08-01,2.020000,2.099900,1.210000,1.420000,1.420000,10931728
2011-09-01,1.430000,1.520000,0.540000,0.560000,0.560000,8637838
2011-10-01,0.550000,0.860000,0.360000,0.622100,0.622100,9107372
2011-11-01,0.620000,1.920000,0.593000,1.310000,1.310000,42628879
2011-12-01,1.440000,1.900000,1.300000,1.660000,1.660000,37598666
2012-01-01,1.660000,2.480000,1.660000,1.680000,1.680000,29432049
2012-02-01,1.660000,2.230000,1.470000,1.750000,1.750000,21944098
2012-03-01,2.150000,2.170000,1.130000,1.420000,1.420000,25070348
2012-04-01,1.410000,1.420000,0.900100,0.968000,0.968000,7100525
2012-05-01,0.950000,1.050000,0.660000,0.960000,0.960000,5249797
2012-06-01,0.920000,1.130000,0.780000,0.925000,0.925000,2989583
2012-07-01,0.940000,1.380000,0.920000,1.100000,1.100000,4284333
2012-08-01,1.020000,1.920000,0.980000,1.740000,1.740000,15434389
2012-09-01,1.740000,2.060200,1.120000,1.250000,1.250000,11960881
2012-10-01,1.230000,1.500000,0.950000,0.990000,0.990000,10228862
2012-11-01,0.980000,1.030000,0.700000,0.970000,0.970000,6714776
2012-12-01,0.980000,1.890000,0.903000,1.580000,1.580000,13705223
2013-01-01,1.580000,2.170000,1.580000,1.730000,1.730000,5782266
2013-02-01,1.740000,1.920000,1.597600,1.780000,1.780000,3037497
2013-03-01,1.780000,2.630000,1.550000,1.710000,1.710000,14643395
2013-04-01,1.720000,2.430000,1.590000,2.380000,2.380000,6445771
2013-05-01,2.380000,2.380000,2.380000,2.380000,2.380000,0
2013-06-01,null,null,null,null,null,null
2013-07-01,null,null,null,null,null,null
2013-08-01,null,null,null,null,null,null
2013-09-01,null,null,null,null,null,null
2013-10-01,null,null,null,null,null,null
2013-11-01,null,null,null,null,null,null
2013-12-01,null,null,null,null,null,null
2014-01-01,null,null,null,null,null,null
2014-02-01,null,null,null,null,null,null
2014-03-01,null,null,null,null,null,null
2014-04-01,null,null,null,null,null,null
2014-05-01,null,null,null,null,null,null
2014-06-01,null,null,null,null,null,null
2014-07-01,null,null,null,null,null,null
2014-08-01,null,null,null,null,null,null
2014-09-01,null,null,null,null,null,null
2014-10-01,null,null,null,null,null,null
2014-11-01,null,null,null,null,null,null
2014-12-01,null,null,null,null,null,null
2015-01-01,null,null,null,null,null,null
2015-02-01,null,null,null,null,null,null
2015-03-01,null,null,null,null,null,null
2015-04-01,null,null,null,null,null,null
2015-05-01,null,null,null,null,null,null
2015-06-01,null,null,null,null,null,null
2015-07-01,null,null,null,null,null,null
2015-08-01,null,null,null,null,null,null
2015-09-01,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-11-01,null,null,null,null,null,null
2015-12-01,null,null,null,null,null,null
2016-01-01,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-03-01,null,null,null,null,null,null
2016-04-01,null,null,null,null,null,null
2016-05-01,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
