Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.060200,0.080000,0.050000,0.070000,0.070000,333383
2010-04-01,0.080000,0.080000,0.052600,0.052600,0.052600,753045
2010-05-01,0.052600,0.080000,0.050000,0.050000,0.050000,521902
2010-06-01,0.080000,0.080000,0.050000,0.052000,0.052000,1206899
2010-07-01,0.052000,0.070000,0.030000,0.050000,0.050000,976307
2010-08-01,0.050000,0.055000,0.043000,0.043000,0.043000,1517333
2010-09-01,0.043000,0.090000,0.043000,0.060000,0.060000,1922498
2010-10-01,0.060000,0.060000,0.050000,0.050000,0.050000,69000
2010-11-01,0.050000,0.080000,0.044000,0.045000,0.045000,2320670
2010-12-01,0.045000,0.070000,0.040000,0.070000,0.070000,138636
2011-01-01,0.070000,0.070000,0.070000,0.070000,0.070000,0
2011-02-01,0.070000,0.070000,0.040000,0.070000,0.070000,8000
2011-03-01,0.070000,0.070000,0.045000,0.065000,0.065000,26507
2011-04-01,0.065000,0.070000,0.045000,0.070000,0.070000,183830
2011-05-01,0.046000,0.070000,0.045000,0.070000,0.070000,72623
2011-06-01,0.070000,0.100000,0.040400,0.090000,0.090000,147393
2011-07-01,0.090000,0.090000,0.040000,0.080000,0.080000,193381
2011-08-01,0.080000,0.090000,0.045000,0.080000,0.080000,194136
2011-09-01,0.050000,0.080000,0.050000,0.080000,0.080000,83596
2011-10-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2011-11-01,0.080000,0.080000,0.050000,0.069000,0.069000,55350
2011-12-01,0.069000,0.069000,0.040000,0.056000,0.056000,411214
2012-01-01,0.056000,0.089000,0.021500,0.075000,0.075000,74357
2012-02-01,0.075000,0.075000,0.035000,0.065000,0.065000,85259
2012-03-01,0.065000,0.065000,0.040000,0.040000,0.040000,98899
2012-04-01,0.055000,0.060000,0.040000,0.060000,0.060000,22550
2012-05-01,0.060000,0.060000,0.000100,0.040000,0.040000,334497
2012-06-01,0.040000,0.040000,0.010300,0.024000,0.024000,230643
2012-07-01,0.024000,0.055000,0.002200,0.018900,0.018900,1101514
2012-08-01,0.020000,0.040000,0.010300,0.029000,0.029000,251785
2012-09-01,0.029000,0.039900,0.002500,0.039900,0.039900,293105
2012-10-01,0.039900,0.050000,0.012000,0.050000,0.050000,69182
2012-11-01,0.050000,0.050000,0.012100,0.050000,0.050000,84200
2012-12-01,0.050000,0.050000,0.020300,0.050000,0.050000,196577
2013-01-01,0.050000,0.050000,0.021200,0.048000,0.048000,262153
2013-02-01,0.050000,0.050000,0.036600,0.049000,0.049000,160620
2013-03-01,0.021200,0.047000,0.021200,0.047000,0.047000,133104
2013-04-01,0.047000,0.047000,0.030000,0.047000,0.047000,66382
2013-05-01,0.047000,0.047000,0.010000,0.047000,0.047000,147388
2013-06-01,0.047000,0.047000,0.010000,0.045000,0.045000,97160
2013-07-01,0.010100,0.045000,0.010100,0.045000,0.045000,75977
2013-08-01,0.040000,0.045000,0.010100,0.040000,0.040000,61330
2013-09-01,0.040000,0.045000,0.010000,0.045000,0.045000,354146
2013-10-01,0.045000,0.045000,0.000700,0.035000,0.035000,74835
2013-11-01,0.035000,0.040000,0.003600,0.039000,0.039000,77100
2013-12-01,0.039000,0.039000,0.005000,0.020000,0.020000,364292
2014-01-01,0.020000,0.020000,0.007300,0.017800,0.017800,67494
2014-02-01,0.007600,0.020000,0.007600,0.020000,0.020000,193140
2014-03-01,0.010000,0.020000,0.010000,0.020000,0.020000,54850
2014-04-01,0.020000,0.020000,0.003000,0.010000,0.010000,1519388
2014-05-01,0.010000,0.020000,0.002400,0.002600,0.002600,622289
2014-06-01,0.005000,0.030000,0.003000,0.014500,0.014500,526234
2014-07-01,0.014500,0.014500,0.003900,0.013000,0.013000,75645
2014-08-01,0.003900,0.087400,0.003900,0.020000,0.020000,350860
2014-09-01,0.020000,0.020000,0.003000,0.017500,0.017500,121749
2014-10-01,0.016400,0.026200,0.005000,0.014900,0.014900,81454
2014-11-01,0.005000,0.017800,0.005000,0.007200,0.007200,157801
2014-12-01,0.007200,0.030000,0.005000,0.027700,0.027700,409022
2015-01-01,0.027700,0.028000,0.005000,0.023000,0.023000,33075
2015-02-01,0.023000,0.026000,0.005500,0.024900,0.024900,41725
2015-03-01,0.024800,0.024800,0.008000,0.020000,0.020000,174300
2015-04-01,0.019900,0.020000,0.008000,0.020000,0.020000,150009
2015-05-01,0.010000,0.010100,0.010000,0.010100,0.010100,31087
2015-06-01,0.010100,0.020000,0.006000,0.019300,0.019300,1320550
2015-07-01,0.017900,0.020000,0.006600,0.017800,0.017800,28855
2015-08-01,0.017400,0.017400,0.005500,0.009600,0.009600,132086
2015-09-01,0.009600,0.017400,0.006200,0.010090,0.010090,75698
2015-10-01,0.006300,0.012400,0.005500,0.006000,0.006000,151570
2015-11-01,0.006000,0.006000,0.006000,0.006000,0.006000,38931
2015-12-01,0.006000,0.006400,0.006000,0.006000,0.006000,77261
2016-01-01,0.006000,0.006000,0.005000,0.005000,0.005000,1720
2016-02-01,0.005000,0.015000,0.005000,0.015000,0.015000,2000
2016-03-01,0.015000,0.015000,0.000100,0.015000,0.015000,158200
2016-04-01,0.015000,0.015000,0.000100,0.014000,0.014000,10100
2016-05-01,0.012000,0.015000,0.002000,0.002000,0.002000,64000
2016-06-01,0.002000,0.002000,0.001000,0.001000,0.001000,4903
2016-07-01,0.001000,0.002100,0.001000,0.002100,0.002100,1800
2016-08-01,0.002000,0.002000,0.001000,0.001000,0.001000,6500
2016-09-01,0.001000,0.003000,0.000010,0.000010,0.000010,26150
2016-10-01,0.000010,0.000100,0.000010,0.000100,0.000100,1900
2016-11-01,0.000100,0.010000,0.000100,0.010000,0.010000,1900
2016-12-01,0.010000,0.010000,0.000010,0.000100,0.000100,322
2017-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,1000
2017-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,17859
2017-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2017-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2017-05-01,0.000100,0.000100,0.000010,0.000010,0.000010,6000
2017-06-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-07-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
