Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.160000,0.230000,0.140000,0.140000,0.140000,1295
2010-04-01,0.140000,0.230000,0.120000,0.140000,0.140000,41113
2010-05-01,0.140000,0.230000,0.120000,0.122000,0.122000,24926
2010-06-01,0.122000,0.230000,0.120000,0.120000,0.120000,29200
2010-07-01,0.120000,0.170000,0.120000,0.120100,0.120100,9788
2010-08-01,0.120100,0.120100,0.115000,0.115000,0.115000,25784
2010-09-01,0.115000,0.115000,0.115000,0.115000,0.115000,8850
2010-10-01,0.115000,0.150000,0.115000,0.115000,0.115000,52240
2010-11-01,0.115000,0.125000,0.080000,0.120000,0.120000,17000
2010-12-01,0.120000,0.120000,0.082100,0.087000,0.087000,13019
2011-01-01,0.087000,0.087000,0.087000,0.087000,0.087000,0
2011-02-01,0.087000,0.130000,0.087000,0.090000,0.090000,57700
2011-03-01,0.090000,0.090000,0.085100,0.085100,0.085100,500
2011-04-01,0.085100,0.090000,0.060000,0.060000,0.060000,30000
2011-05-01,0.060000,0.060000,0.040000,0.040000,0.040000,1694
2011-06-01,0.040000,0.060000,0.040000,0.050000,0.050000,20936
2011-07-01,0.050000,0.050000,0.045000,0.045000,0.045000,167
2011-08-01,0.045000,0.052000,0.045000,0.052000,0.052000,333
2011-09-01,0.052000,0.120000,0.052000,0.120000,0.120000,58292
2011-10-01,0.120000,0.180000,0.100000,0.180000,0.180000,167500
2011-11-01,0.180000,0.180000,0.080000,0.120000,0.120000,160710
2011-12-01,0.120000,0.120000,0.070000,0.070000,0.070000,28820
2012-01-01,0.070000,0.080000,0.070000,0.080000,0.080000,13000
2012-02-01,0.060000,0.150000,0.060000,0.090000,0.090000,297338
2012-03-01,0.090000,0.090000,0.055000,0.055000,0.055000,118120
2012-04-01,0.055000,0.070000,0.050000,0.060000,0.060000,15550
2012-05-01,0.060000,0.080000,0.060000,0.061000,0.061000,65600
2012-06-01,0.061000,0.080000,0.055000,0.080000,0.080000,15570
2012-07-01,0.080000,0.095000,0.060000,0.070000,0.070000,19500
2012-08-01,0.070000,0.070000,0.038000,0.070000,0.070000,35157
2012-09-01,0.070000,0.070000,0.070000,0.070000,0.070000,1335
2012-10-01,0.070000,0.070000,0.070000,0.070000,0.070000,0
2012-11-01,0.070000,0.070000,0.045000,0.047000,0.047000,71315
2012-12-01,0.046000,0.067000,0.011100,0.011100,0.011100,28267
2013-01-01,0.011100,0.070000,0.011100,0.060000,0.060000,9592
2013-02-01,0.060000,0.060000,0.025000,0.060000,0.060000,26030
2013-03-01,0.060000,0.080000,0.060000,0.080000,0.080000,12242
2013-04-01,0.070000,0.070000,0.020000,0.020000,0.020000,38551
2013-05-01,0.020000,0.060000,0.020000,0.042000,0.042000,160279
2013-06-01,0.042000,0.051000,0.042000,0.051000,0.051000,48900
2013-07-01,0.051000,0.085000,0.051000,0.080000,0.080000,295943
2013-08-01,0.100000,0.110000,0.043000,0.050000,0.050000,90766
2013-09-01,0.050000,0.070000,0.042000,0.055000,0.055000,109667
2013-10-01,0.055000,0.065000,0.051100,0.051100,0.051100,40450
2013-11-01,0.051100,0.060000,0.041000,0.041000,0.041000,72450
2013-12-01,0.040000,0.050000,0.025000,0.040000,0.040000,354208
2014-01-01,0.040000,0.062000,0.040000,0.040000,0.040000,82360
2014-02-01,0.040000,0.060000,0.040000,0.060000,0.060000,36050
2014-03-01,0.060000,0.060000,0.031000,0.031000,0.031000,85000
2014-04-01,0.031000,0.040000,0.031000,0.035000,0.035000,70000
2014-05-01,0.035000,0.038000,0.030000,0.034000,0.034000,47543
2014-06-01,0.021000,0.030000,0.021000,0.028000,0.028000,66270
2014-07-01,0.021000,0.025000,0.010000,0.017000,0.017000,286000
2014-08-01,0.017000,0.017000,0.010100,0.015000,0.015000,66092
2014-09-01,0.015000,0.022100,0.014000,0.020000,0.020000,483281
2014-10-01,0.020000,0.020000,0.018000,0.020000,0.020000,91390
2014-11-01,0.020000,0.031180,0.020000,0.030000,0.030000,229100
2014-12-01,0.030000,0.030000,0.025000,0.027500,0.027500,196501
2015-01-01,0.027500,0.029170,0.027500,0.028200,0.028200,127000
2015-02-01,0.035000,0.039000,0.035000,0.035000,0.035000,40000
2015-03-01,0.035000,0.035000,0.020000,0.020000,0.020000,174160
2015-04-01,0.020000,0.020000,0.015000,0.015390,0.015390,46050
2015-05-01,0.015390,0.015390,0.015000,0.015000,0.015000,10000
2015-06-01,0.015000,0.015000,0.015000,0.015000,0.015000,0
2015-07-01,0.015000,0.015000,0.015000,0.015000,0.015000,10000
2015-08-01,0.015000,0.015000,0.015000,0.015000,0.015000,0
2015-09-01,0.012000,0.012000,0.010000,0.010000,0.010000,34300
2015-10-01,0.010000,0.010000,0.009000,0.009000,0.009000,70340
2015-11-01,0.009000,0.010000,0.006200,0.006200,0.006200,125900
2015-12-01,0.006200,0.006590,0.005000,0.006590,0.006590,130923
2016-01-01,0.006590,0.006590,0.006000,0.006000,0.006000,1136
2016-02-01,0.006000,0.006000,0.005000,0.005000,0.005000,138
2016-03-01,0.005000,0.006610,0.005000,0.005000,0.005000,14755
2016-04-01,0.005000,0.005000,0.005000,0.005000,0.005000,12000
2016-05-01,0.005000,0.005000,0.003500,0.003500,0.003500,500
2016-06-01,0.003500,0.012000,0.003500,0.003600,0.003600,2300
2016-07-01,0.003600,0.003600,0.003600,0.003600,0.003600,13680
2016-08-01,0.003600,0.003600,0.003600,0.003600,0.003600,18626
2016-09-01,0.003600,0.003600,0.003600,0.003600,0.003600,0
2016-10-01,0.003600,0.003600,0.003600,0.003600,0.003600,0
2016-11-01,0.003600,0.012000,0.002600,0.002600,0.002600,194616
2016-12-01,0.002600,0.002600,0.002600,0.002600,0.002600,200
2017-01-01,0.002600,0.009000,0.002600,0.009000,0.009000,68120
2017-02-01,0.009000,0.009000,0.008900,0.008900,0.008900,100
2017-03-01,0.008900,0.008900,0.008900,0.008900,0.008900,0
2017-04-01,0.008900,0.008900,0.003000,0.003100,0.003100,31240
2017-05-01,0.003100,0.005000,0.003100,0.005000,0.005000,21000
2017-06-01,0.005000,0.005000,0.005000,0.005000,0.005000,109
2017-07-01,0.005000,0.005100,0.005000,0.005100,0.005100,10200
2017-08-01,0.005100,0.005100,0.005100,0.005100,0.005100,0
2017-09-01,0.005100,0.005100,0.004000,0.004000,0.004000,10117
2017-10-01,0.004000,0.004000,0.004000,0.004000,0.004000,8000
2017-11-01,0.004000,0.004000,0.004000,0.004000,0.004000,13225
2017-12-01,0.004000,0.008000,0.004000,0.007600,0.007600,27000
2018-01-01,0.007600,0.007800,0.003900,0.003900,0.003900,31028
2018-02-01,0.007800,0.007800,0.007800,0.007800,0.007800,20000
2018-03-01,0.007800,0.008600,0.003000,0.003000,0.003000,79628
2018-04-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2018-05-01,0.003000,0.003100,0.000400,0.003000,0.003000,140200
2018-06-01,0.003000,0.003000,0.003000,0.003000,0.003000,100
2018-07-01,0.003000,0.003000,0.003000,0.003000,0.003000,1000
2018-08-01,0.003000,0.003000,0.003000,0.003000,0.003000,14596
2018-09-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2018-10-01,0.003000,0.005000,0.003000,0.005000,0.005000,11000
2018-11-01,0.005000,0.005000,0.003000,0.003000,0.003000,22778
2018-12-01,0.003000,0.003750,0.003000,0.003000,0.003000,45000
2019-01-01,0.003000,0.003000,0.002500,0.002500,0.002500,8000
2019-02-01,0.002500,0.002500,0.001500,0.001500,0.001500,11000
2019-03-01,0.001500,0.009800,0.001500,0.004800,0.004800,690125
2019-04-01,0.004800,0.009500,0.004800,0.004800,0.004800,99815
2019-05-01,0.004800,0.004900,0.004800,0.004900,0.004900,252
2019-06-01,0.004900,0.004900,0.004800,0.004900,0.004900,1800
2019-07-01,0.004900,0.004900,0.004900,0.004900,0.004900,300
2019-08-01,0.004900,0.005000,0.004000,0.004000,0.004000,19600
2019-09-01,0.004000,0.004000,0.004000,0.004000,0.004000,0
2019-10-01,0.004000,0.004020,0.004000,0.004000,0.004000,30000
2019-11-01,0.004000,0.006460,0.001500,0.005000,0.005000,2713752
2019-12-01,0.005000,0.005000,0.003000,0.005000,0.005000,30800
2020-01-01,0.005000,0.005000,0.003860,0.004900,0.004900,27600
2020-02-01,0.004900,0.004900,0.004000,0.004000,0.004000,174500
2020-03-01,0.004000,0.004000,0.001500,0.001500,0.001500,353600
2020-04-01,0.001500,0.001700,0.001500,0.001700,0.001700,40100
2020-05-01,0.001700,0.003300,0.001700,0.003300,0.003300,15882
2020-06-01,0.003300,0.013000,0.003300,0.007500,0.007500,573810
2020-07-01,0.007100,0.012900,0.006800,0.009000,0.009000,133790
2020-08-01,0.009000,0.009000,0.004600,0.007000,0.007000,96842
2020-09-01,0.007000,0.007000,0.004600,0.004600,0.004600,10000
2020-10-01,0.004600,0.013000,0.001700,0.002300,0.002300,372703
2020-11-01,0.002300,0.002600,0.002300,0.002600,0.002600,8100
2020-12-01,0.002600,0.010000,0.002600,0.002700,0.002700,343501
2021-01-01,0.002700,0.012800,0.002700,0.010000,0.010000,76500
2021-02-01,0.010000,0.048000,0.006400,0.014900,0.014900,428084
2021-03-01,0.014900,0.019800,0.009200,0.011200,0.011200,94062
2021-04-01,0.011200,0.017350,0.008400,0.017300,0.017300,58182
2021-05-01,0.040000,0.040000,0.005000,0.007550,0.007550,191205
2021-06-01,0.007550,0.022000,0.007550,0.008000,0.008000,251536
2021-07-01,0.008000,0.009000,0.002200,0.008500,0.008500,200772
2021-08-01,0.008000,0.008000,0.001800,0.003000,0.003000,669696
2021-09-01,0.003000,0.003000,0.001800,0.003000,0.003000,148925
2021-10-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2021-11-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2021-12-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2022-01-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2022-02-01,0.003000,0.003000,0.003000,0.003000,0.003000,0
2022-03-01,0.003000,0.003000,0.000100,0.000100,0.000100,8846
2022-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,20000
2022-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,200
2022-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,6000
2022-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2022-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,5950
2023-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2023-02-01,0.000100,0.000200,0.000100,0.000200,0.000200,1000
2023-03-01,0.000200,0.000200,0.000200,0.000200,0.000200,18400
2023-04-01,0.000200,0.000200,0.000200,0.000200,0.000200,0
2023-05-01,0.000200,0.000200,0.000200,0.000200,0.000200,445313
2023-06-01,0.000200,0.000200,0.000200,0.000200,0.000200,0
2023-07-01,0.000200,0.000200,0.000200,0.000200,0.000200,0
2023-08-01,0.000200,0.000200,0.000200,0.000200,0.000200,0
2023-09-01,0.000200,0.000200,0.000200,0.000200,0.000200,0
2023-10-01,0.000200,0.000200,0.000200,0.000200,0.000200,0
