Date,Open,High,Low,Close,Adj Close,Volume
2011-08-01,20.010000,20.180000,19.990000,20.000000,6.641466,3418900
2011-09-01,20.010000,20.070000,14.680000,17.690001,5.874377,4404100
2011-10-01,17.840000,19.459999,16.889999,19.340000,6.543017,2587000
2011-11-01,19.299999,19.400000,17.120001,18.850000,6.377244,2432700
2011-12-01,18.850000,19.139999,17.299999,18.100000,6.123508,3799000
2012-01-01,18.370001,18.980000,17.990000,18.910000,6.518315,2496000
2012-02-01,18.940001,19.780001,18.830000,19.180000,6.611385,2231400
2012-03-01,19.320000,19.629999,18.389999,19.049999,6.566574,2268300
2012-04-01,19.049999,19.120001,18.430000,18.670000,6.552965,1844700
2012-05-01,18.670000,18.850000,16.830000,17.129999,6.012440,2497200
2012-06-01,17.090000,18.270000,16.530001,17.760000,6.233562,2671400
2012-07-01,17.780001,19.049999,17.770000,18.600000,6.659338,2112900
2012-08-01,18.700001,19.450001,18.500000,18.620001,6.666496,1857200
2012-09-01,18.639999,19.030001,18.299999,18.340000,6.566251,2034500
2012-10-01,18.330000,18.950001,18.250000,18.350000,6.693922,1859200
2012-11-01,18.469999,18.650000,16.650000,17.690001,6.453160,3073900
2012-12-01,17.730000,17.990000,16.520000,16.870001,6.154031,3887700
2013-01-01,17.180000,18.639999,17.059999,18.540001,6.901742,2920600
2013-02-01,18.590000,19.090000,18.049999,18.440001,6.864517,2539400
2013-03-01,18.309999,19.090000,18.020000,19.080000,7.102763,2404700
2013-04-01,19.070000,21.139999,18.930000,20.000000,7.587563,4063500
2013-05-01,19.980000,20.410000,19.020000,19.120001,7.253711,3833400
2013-06-01,19.070000,19.100000,17.420000,18.709999,7.098166,3056700
2013-07-01,18.860001,19.520000,18.650000,19.110001,7.388122,2024300
2013-08-01,19.299999,19.420000,18.010000,18.160000,7.020842,1739900
2013-09-01,18.350000,18.719999,17.950001,18.709999,7.233479,2009600
2013-10-01,18.760000,19.730000,18.500000,19.379999,7.638276,2088200
2013-11-01,19.440001,19.580000,18.750000,19.240000,7.583098,1633100
2013-12-01,19.290001,19.290001,18.049999,19.080000,7.520038,2098300
2014-01-01,19.090000,19.090000,18.400000,18.600000,7.469321,2015800
2014-02-01,18.629999,19.440001,18.260000,19.440001,7.806645,1789300
2014-03-01,19.360001,21.070000,18.920000,19.790001,7.947196,1979600
2014-04-01,19.920000,20.530001,19.670000,20.440001,8.359504,2338700
2014-05-01,20.480000,21.360001,20.400000,21.320000,8.719404,2384000
2014-06-01,21.379999,22.219999,20.990000,21.990000,8.993421,1969600
2014-07-01,22.070000,22.440001,21.400000,21.770000,9.050993,2130000
2014-08-01,21.750000,22.469999,20.600000,22.450001,9.333706,1627100
2014-09-01,22.490000,22.490000,20.670000,21.270000,8.843115,1819400
2014-10-01,21.370001,21.930000,18.850000,21.920000,9.259604,2334200
2014-11-01,21.980000,22.719999,21.469999,22.440001,9.479265,1399300
2014-12-01,22.280001,22.799999,19.799999,21.639999,9.141325,2289700
2015-01-01,21.510000,21.650000,20.100000,20.830000,8.938513,1884500
2015-02-01,20.980000,21.360001,20.459999,20.690001,8.878436,1580600
2015-03-01,20.730000,20.730000,18.780001,19.750000,8.475064,2922600
2015-04-01,19.820000,20.610001,19.680000,20.400000,8.914995,1692200
2015-05-01,20.440001,20.469999,19.450001,19.570000,8.552275,1898000
2015-06-01,19.540001,19.590000,17.660000,17.719999,7.743810,2936800
2015-07-01,17.709999,18.170000,16.360001,17.299999,7.705019,2720700
2015-08-01,17.250000,17.430000,15.200000,16.430000,7.317542,2772700
2015-09-01,15.940000,16.580000,14.760000,15.140000,6.743005,2409300
2015-10-01,15.190000,16.879999,14.910000,16.230000,7.389713,4028300
2015-11-01,16.160000,16.469999,14.710000,15.350000,6.989036,3282500
2015-12-01,15.330000,15.430000,13.370000,14.730000,6.706744,5199400
2016-01-01,14.590000,14.760000,11.740000,13.910000,6.494366,4093100
2016-02-01,13.850000,14.280000,12.460000,13.820000,6.452348,3001800
2016-03-01,13.830000,15.940000,13.830000,15.910000,7.428139,3343600
2016-04-01,15.760000,16.959999,15.050000,16.600000,7.940379,5480400
2016-05-01,16.559999,16.750000,16.049999,16.459999,7.873411,3687400
2016-06-01,16.389999,17.570000,15.940000,17.160000,8.208245,3665900
2016-07-01,17.270000,17.700001,16.879999,17.490000,8.541330,3184200
2016-08-01,17.490000,17.500000,16.879999,17.059999,8.331338,2842400
2016-09-01,17.010000,17.600000,16.180000,17.080000,8.341104,2431400
2016-10-01,17.000000,17.080000,15.700000,15.780000,7.866885,2691300
2016-11-01,15.800000,15.800000,14.320000,15.190000,7.572749,3603500
2016-12-01,15.180000,15.850000,14.900000,15.500000,7.727293,4211700
2017-01-01,15.570000,16.540001,15.410000,16.400000,8.366117,2304800
2017-02-01,16.389999,16.809999,16.160000,16.770000,8.554865,2190400
