Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,1.000000,1.000000,0.450000,0.450000,0.450000,4904
2010-04-01,0.950000,1.500000,0.850000,0.900000,0.900000,13102
2010-05-01,0.900000,1.300000,0.900000,1.050000,1.050000,67175
2010-06-01,1.000000,1.150000,1.000000,1.050000,1.050000,45820
2010-07-01,1.050000,1.050000,1.000000,1.000000,1.000000,9862
2010-08-01,1.100000,1.100000,1.000000,1.000000,1.000000,300
2010-09-01,1.200000,1.700000,1.200000,1.600000,1.600000,19850
2010-10-01,1.550000,2.500000,0.950000,2.500000,2.500000,63941
2010-11-01,2.200000,2.850000,1.700000,2.200000,2.200000,287949
2010-12-01,2.000000,2.400000,1.350000,2.250000,2.250000,176893
2011-01-01,2.300000,3.600000,2.200000,3.250000,3.250000,403836
2011-02-01,3.150000,3.900000,2.100000,3.000000,3.000000,583396
2011-03-01,2.950000,3.400000,2.300000,2.700000,2.700000,405390
2011-04-01,2.600000,2.950000,1.850000,2.350000,2.350000,207536
2011-05-01,2.250000,2.700000,2.000000,2.300000,2.300000,180280
2011-06-01,2.250000,2.500000,2.000000,2.150000,2.150000,120584
2011-07-01,2.300000,2.750000,2.200000,2.750000,2.750000,130750
2011-08-01,2.400000,2.900000,1.850000,2.150000,2.150000,159753
2011-09-01,2.100000,2.350000,1.250000,1.450000,1.450000,104145
2011-10-01,1.250000,1.600000,1.000000,1.300000,1.300000,65551
2011-11-01,1.300000,1.600000,0.750000,0.900000,0.900000,88668
2011-12-01,0.800000,1.250000,0.800000,1.250000,1.250000,119701
2012-01-01,1.250000,1.900000,0.175000,0.190000,0.190000,103514
2012-02-01,1.050000,1.600000,1.050000,1.550000,1.550000,124570
2012-03-01,1.600000,1.800000,1.200000,1.250000,1.250000,144799
2012-04-01,1.200000,1.500000,1.000000,1.100000,1.100000,187082
2012-05-01,1.100000,1.100000,0.750000,0.800000,0.800000,60728
2012-06-01,0.800000,1.300000,0.650000,1.200000,1.200000,13362
2012-07-01,1.200000,1.400000,0.900000,1.400000,1.400000,112113
2012-08-01,1.200000,1.300000,0.950000,1.200000,1.200000,45548
2012-09-01,1.200000,1.300000,0.950000,0.950000,0.950000,627200
2012-10-01,1.100000,1.150000,0.900000,0.950000,0.950000,646330
2012-11-01,1.050000,1.300000,0.950000,1.150000,1.150000,89316
2012-12-01,1.150000,1.300000,1.000000,1.300000,1.300000,274053
2013-01-01,1.300000,2.350000,1.200000,2.150000,2.150000,264598
2013-02-01,2.250000,4.200000,2.200000,2.800000,2.800000,800679
2013-03-01,2.850000,3.800000,2.700000,3.250000,3.250000,255049
2013-04-01,3.200000,3.250000,2.350000,2.600000,2.600000,184886
2013-05-01,2.400000,3.000000,2.400000,2.650000,2.650000,197711
2013-06-01,2.650000,2.650000,1.650000,2.100000,2.100000,341687
2013-07-01,2.100000,3.050000,1.700000,2.350000,2.350000,242479
2013-08-01,2.400000,2.450000,1.850000,2.150000,2.150000,181850
2013-09-01,2.100000,2.450000,1.900000,1.900000,1.900000,123053
2013-10-01,2.000000,2.000000,0.185000,0.185000,0.185000,174380
2013-11-01,1.850000,2.000000,1.250000,1.600000,1.600000,377098
2013-12-01,1.800000,2.300000,1.800000,2.000000,2.000000,346629
2014-01-01,1.950000,3.000000,1.850000,2.400000,2.400000,271016
2014-02-01,1.900000,2.200000,1.700000,2.000000,2.000000,573597
2014-03-01,2.000000,2.400000,2.000000,2.150000,2.150000,49343
2014-04-01,2.200000,2.500000,2.100000,2.200000,2.200000,101343
2014-05-01,2.250000,2.700000,2.000000,2.050000,2.050000,155850
2014-06-01,2.100000,2.200000,1.900000,2.100000,2.100000,80823
2014-07-01,2.100000,2.350000,1.900000,2.200000,2.200000,125571
2014-08-01,2.350000,2.600000,2.250000,2.450000,2.450000,146908
2014-09-01,2.600000,3.600000,2.600000,3.600000,3.600000,369575
2014-10-01,3.550000,3.600000,2.900000,2.950000,2.950000,266091
2014-11-01,2.900000,3.000000,2.400000,2.750000,2.750000,77770
2014-12-01,2.750000,3.000000,2.400000,2.700000,2.700000,99562
2015-01-01,2.700000,2.800000,2.200000,2.450000,2.450000,167911
2015-02-01,2.150000,2.550000,2.100000,2.300000,2.300000,63127
2015-03-01,2.350000,2.500000,2.000000,2.050000,2.050000,136331
2015-04-01,2.150000,2.250000,1.900000,1.900000,1.900000,65704
2015-05-01,1.850000,2.150000,1.700000,1.800000,1.800000,139116
2015-06-01,1.950000,2.150000,1.600000,2.150000,2.150000,120485
