Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,262.610504,262.610504,36.401455,46.801872,46.801872,387
2010-04-01,262.610504,262.610504,31.201248,70.202805,70.202805,1403
2010-05-01,262.610504,262.610504,41.601665,44.201767,44.201767,950
2010-06-01,262.610504,262.610504,20.800833,44.201767,44.201767,1288
2010-07-01,57.202290,62.402496,41.601665,45.501820,45.501820,1479
2010-08-01,32.501301,54.602184,26.001040,26.001040,26.001040,2136
2010-09-01,262.610504,262.610504,7.800312,13.260530,13.260530,2491
2010-10-01,13.260530,41.601665,13.260530,28.341133,28.341133,2915
2010-11-01,22.100883,33.801353,18.200727,18.200727,18.200727,2992
2010-12-01,18.200727,33.801353,18.200727,20.800833,20.800833,3731
2011-01-01,24.700989,31.201248,18.200727,29.121164,29.121164,1838
2011-02-01,29.121164,36.401455,23.400936,31.201248,31.201248,2399
2011-03-01,26.001040,32.501301,10.660426,23.400936,23.400936,2538
2011-04-01,23.400936,262.610504,15.600624,65.002602,65.002602,4160
2011-05-01,65.002602,67.602707,28.601145,46.801872,46.801872,1662
2011-06-01,40.301613,49.401978,19.500780,26.521061,26.521061,2345
2011-07-01,23.660946,27.301092,15.600624,18.200727,18.200727,952
2011-08-01,18.200727,27.301092,7.800312,27.301092,27.301092,1247
2011-09-01,24.700989,30.681227,13.000520,13.000520,13.000520,1364
2011-10-01,14.300572,18.200727,13.000520,17.680708,17.680708,722
2011-11-01,17.680708,35.881435,16.900677,29.901196,29.901196,3116
2011-12-01,29.901196,52.002079,23.400936,52.002079,52.002079,7521
2012-01-01,52.002079,52.262089,16.120644,26.001040,26.001040,11972
2012-02-01,32.501301,36.401455,7.800312,10.920436,10.920436,8632
2012-03-01,11.180447,22.100883,8.060322,8.840353,8.840353,13977
2012-04-01,10.400416,23.400936,8.060322,10.400416,10.400416,3283
2012-05-01,5.980239,10.660426,2.626105,3.900156,3.900156,7441
2012-06-01,3.900156,11.050442,2.756110,5.720228,5.720228,9984
2012-07-01,5.850234,7.150286,2.782111,2.912116,2.912116,6259
2012-08-01,2.912116,5.330213,0.702028,0.806032,0.806032,15703
2012-09-01,0.806032,0.988039,0.338013,0.520020,0.520020,225450
2012-10-01,0.598023,0.598023,0.182007,0.234009,0.234009,253679
2012-11-01,0.286011,0.390015,0.182007,0.312012,0.312012,474423
2012-12-01,0.312012,0.910036,0.182007,0.234009,0.234009,1484280
2013-01-01,0.234009,2.418096,0.182007,2.184087,2.184087,2080828
2013-02-01,2.314092,2.366094,0.338013,0.494019,0.494019,1740095
2013-03-01,0.468018,1.144045,0.260010,0.650026,0.650026,884290
2013-04-01,0.650026,1.924076,0.364014,1.482059,1.482059,908918
2013-05-01,1.456058,4.420176,1.170046,3.328133,3.328133,786653
2013-06-01,3.380135,4.680187,1.040041,1.066042,1.066042,585568
2013-07-01,1.222048,3.718148,0.988039,1.170046,1.170046,1457127
2013-08-01,1.040041,2.600104,0.572022,0.832033,0.832033,1497500
2013-09-01,0.832033,0.832033,0.208008,0.286011,0.286011,1959149
2013-10-01,0.286011,0.858034,0.208008,0.338013,0.338013,5283785
2013-11-01,0.338013,0.624024,0.208008,0.260010,0.260010,6669842
2013-12-01,0.260010,0.260010,0.026001,0.078003,0.078003,5206059
2014-01-01,0.078003,0.208008,0.026001,0.078003,0.078003,13497513
2014-02-01,0.078003,0.156006,0.026001,0.156006,0.156006,16811979
2014-03-01,0.156006,0.260010,0.052002,0.078003,0.078003,23032775
2014-04-01,0.078003,0.156006,0.052002,0.078003,0.078003,10797362
2014-05-01,0.104004,0.104004,0.026001,0.026001,0.026001,14626899
2014-06-01,0.026001,0.052002,0.026001,0.026001,0.026001,4962782
2014-07-01,0.026001,0.026001,0.026001,0.026001,0.026001,1276545
2014-08-01,0.026001,0.026001,0.026001,0.026001,0.026001,486546
2014-09-01,0.026001,0.026001,0.026001,0.026001,0.026001,130971
2014-10-01,0.026001,0.026001,0.026001,0.026001,0.026001,806255
2014-11-01,0.026001,0.026001,0.026001,0.026001,0.026001,12788
2014-12-01,0.026001,0.026001,0.002600,0.026001,0.026001,45692
2015-01-01,0.026001,0.026001,0.002600,0.002600,0.002600,107743
2015-02-01,0.026001,0.026001,0.026001,0.026001,0.026001,9513
2015-03-01,0.026001,0.026001,0.026001,0.026001,0.026001,196391
2015-04-01,0.026001,0.050000,0.016000,0.016000,0.016000,1758574
2015-05-01,0.015000,0.070000,0.010000,0.022700,0.022700,23193484
2015-06-01,0.022430,0.023000,0.012000,0.020900,0.020900,16191759
2015-07-01,0.019300,0.027000,0.010100,0.014000,0.014000,8371698
2015-08-01,0.014000,0.024500,0.007100,0.008900,0.008900,14966575
2015-09-01,0.008900,0.016300,0.008900,0.012600,0.012600,8236216
2015-10-01,0.013000,0.015300,0.005100,0.012200,0.012200,11473402
2015-11-01,0.012200,0.019000,0.000800,0.001600,0.001600,39675731
2015-12-01,0.001600,0.001600,0.000600,0.000900,0.000900,9080384
2016-01-01,0.000900,0.001000,0.000400,0.000400,0.000400,5041561
2016-02-01,0.000400,0.000600,0.000300,0.000500,0.000500,4086123
2016-03-01,0.000500,0.003500,0.000400,0.001500,0.001500,5044954
2016-04-01,0.001500,0.002500,0.001400,0.001400,0.001400,2151642
2016-05-01,0.001300,0.002200,0.000100,0.001200,0.001200,1738784
2016-06-01,0.001470,0.001500,0.000500,0.000700,0.000700,965857
2016-07-01,0.000700,0.001000,0.000500,0.000900,0.000900,1879579
2016-08-01,0.000900,0.001700,0.000800,0.000800,0.000800,1023011
2016-09-01,0.000900,0.005000,0.000700,0.001600,0.001600,13497164
2016-10-01,0.001600,0.002300,0.000600,0.002000,0.002000,1619071
2016-11-01,0.001900,0.001900,0.000800,0.001200,0.001200,3024190
2016-12-01,0.001300,0.002500,0.000800,0.000900,0.000900,845458
2017-01-01,0.000900,0.002500,0.000600,0.001500,0.001500,744321
2017-02-01,0.001500,0.002000,0.001000,0.001000,0.001000,307066
2017-03-01,0.001950,0.002000,0.000100,0.001000,0.001000,2176176
2017-04-01,0.001000,0.001500,0.000900,0.000900,0.000900,970236
2017-05-01,0.001000,0.001400,0.000900,0.000900,0.000900,582700
2017-06-01,0.000900,0.002000,0.000900,0.001200,0.001200,1220267
