Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,4.143000,4.318000,4.143000,4.293000,4.293000,0
2014-08-01,4.181000,4.460000,3.993000,4.249000,4.249000,0
2014-09-01,4.296000,4.319000,3.906000,3.912000,3.912000,0
2014-10-01,3.573000,4.037000,3.184000,4.037000,4.037000,0
2014-11-01,4.274000,5.012000,4.274000,4.603000,4.603000,0
2014-12-01,4.496000,4.621000,4.112000,4.363000,4.363000,0
2015-01-01,4.363000,4.569000,4.159000,4.311000,4.311000,0
2015-02-01,4.225000,5.439000,3.887000,5.439000,5.439000,500
2015-03-01,5.544000,5.817000,5.544000,5.746000,5.746000,0
2015-04-01,5.892000,5.892000,5.528000,5.528000,5.528000,0
2015-05-01,5.517000,5.661000,5.517000,5.650000,5.650000,0
2015-06-01,5.869000,5.918000,5.750000,5.750000,5.750000,0
2015-07-01,5.489000,5.489000,4.731000,5.386000,5.386000,0
2015-08-01,null,null,null,null,null,null
2015-09-01,null,null,null,null,null,null
2015-10-01,5.657000,5.730000,5.554000,5.700000,5.700000,0
2015-11-01,5.684000,5.708000,5.537000,5.603000,5.603000,0
2015-12-01,5.386000,5.386000,4.392000,4.392000,4.392000,0
2016-01-01,4.608000,4.685000,4.150000,4.635000,4.635000,0
2016-02-01,4.699000,4.847000,4.006000,4.115000,4.115000,0
2016-03-01,3.562000,3.562000,3.562000,3.562000,3.562000,0
2016-04-01,3.217000,3.713000,3.072000,3.458000,3.458000,0
2016-05-01,3.360000,3.396000,2.676000,2.970000,2.970000,0
2016-06-01,3.068000,3.096000,2.677000,2.918000,2.918000,0
2016-07-01,3.973000,4.189000,3.973000,4.051000,4.051000,0
2016-08-01,3.741000,3.741000,3.081000,3.081000,3.081000,0
2016-09-01,2.496000,2.824000,2.280000,2.280000,2.280000,2000
2016-10-01,2.166000,2.166000,2.048000,2.048000,2.048000,0
2016-11-01,1.985000,2.146000,1.985000,2.146000,2.146000,0
2016-12-01,2.809000,2.809000,2.353000,2.475000,2.475000,0
2017-01-01,2.431000,2.548000,2.381000,2.390000,2.390000,0
2017-02-01,2.650000,2.650000,2.124000,2.445000,2.445000,4000
2017-03-01,1.731000,1.792000,1.449000,1.581000,1.581000,0
2017-04-01,1.562000,1.661000,1.436000,1.509000,1.509000,0
2017-05-01,1.509000,1.750000,1.503000,1.538000,1.538000,0
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,9.907800,9.907800,9.907800,9.907800,9.907800,0
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
