Date,Open,High,Low,Close,Adj Close,Volume
2010-09-01,3.640000,3.840000,3.250000,3.710000,3.710000,151000
2010-10-01,3.710000,3.790000,3.260000,3.500000,3.500000,125200
2010-11-01,3.400000,3.740000,3.250000,3.600000,3.600000,50500
2010-12-01,3.500000,3.600000,3.250000,3.550000,3.550000,67700
2011-01-01,3.350000,3.500000,2.940000,3.430000,3.430000,309800
2011-02-01,3.420000,3.840000,3.310000,3.500000,3.500000,165700
2011-03-01,3.550000,3.800000,3.300000,3.300000,3.300000,98700
2011-04-01,3.300000,3.370000,3.110000,3.350000,3.350000,71300
2011-05-01,3.340000,3.940000,3.210000,3.740000,3.740000,218400
2011-06-01,3.650000,3.650000,3.210000,3.300000,3.300000,143100
2011-07-01,3.330000,3.450000,3.250000,3.400000,3.400000,63300
2011-08-01,3.430000,3.500000,2.690000,3.490000,3.490000,91200
2011-09-01,3.500000,3.600000,3.010000,3.500000,3.500000,127300
2011-10-01,3.470000,4.310000,3.000000,3.990000,3.990000,214900
2011-11-01,3.950000,4.490000,3.520000,3.740000,3.740000,159000
2011-12-01,3.740000,3.840000,3.300000,3.450000,3.450000,128300
2012-01-01,3.490000,3.750000,2.860000,3.000000,3.000000,390700
2012-02-01,3.000000,3.370000,2.760000,2.900000,2.900000,144600
2012-03-01,2.900000,3.180000,2.640000,2.900000,2.900000,166900
2012-04-01,2.880000,2.980000,2.400000,2.710000,2.710000,252500
2012-05-01,2.750000,2.850000,2.290000,2.300000,2.300000,118700
2012-06-01,2.500000,2.830000,1.930000,2.100000,2.100000,79400
2012-07-01,2.070000,2.310000,1.980000,2.000000,2.000000,61700
2012-08-01,1.970000,2.300000,1.800000,1.830000,1.830000,61300
2012-09-01,1.910000,2.000000,1.430000,1.450000,1.450000,143200
2012-10-01,1.400000,1.870000,1.280000,1.510000,1.510000,246200
2012-11-01,1.480000,2.030000,1.210000,1.770000,1.770000,107400
2012-12-01,1.730000,1.830000,1.250000,1.350000,1.350000,159200
2013-01-01,1.370000,1.450000,1.230000,1.350000,1.350000,32900
2013-02-01,1.370000,1.860000,1.270000,1.750000,1.750000,192000
2013-03-01,1.740000,1.760000,1.420000,1.450000,1.450000,31800
2013-04-01,1.410000,1.450000,1.300000,1.350000,1.350000,57800
2013-05-01,1.330000,1.460000,1.110000,1.290000,1.290000,205300
2013-06-01,1.290000,1.350000,1.110000,1.270000,1.270000,53400
2013-07-01,1.290000,1.400000,1.050000,1.230000,1.230000,106400
2013-08-01,1.180000,1.180000,0.980000,0.990000,0.990000,101700
2013-09-01,0.970000,1.230000,0.900000,1.070000,1.070000,102200
2013-10-01,1.080000,1.230000,0.990000,1.000000,1.000000,59800
2013-11-01,1.000000,1.450000,0.980000,1.100000,1.100000,260400
2013-12-01,1.120000,3.500000,0.980000,3.400000,3.400000,7025500
2014-01-01,3.290000,3.290000,1.520000,1.700000,1.700000,6614800
2014-02-01,1.690000,1.860000,1.510000,1.670000,1.670000,665600
2014-03-01,1.660000,1.750000,1.350000,1.400000,1.400000,789400
2014-04-01,1.410000,1.560000,1.220000,1.250000,1.250000,465300
2014-05-01,1.250000,1.350000,1.000000,1.180000,1.180000,388500
2014-06-01,1.180000,1.540000,1.120000,1.420000,1.420000,587000
2014-07-01,1.400000,1.640000,1.290000,1.510000,1.510000,606700
2014-08-01,1.540000,1.560000,1.310000,1.420000,1.420000,285500
2014-09-01,1.420000,2.010000,1.300000,1.780000,1.780000,777500
2014-10-01,1.720000,1.810000,1.230000,1.620000,1.620000,628300
2014-11-01,1.660000,2.550000,1.500000,2.300000,2.300000,2366000
2014-12-01,2.240000,2.740000,2.110000,2.670000,2.670000,1062700
2015-01-01,2.690000,2.840000,2.130000,2.290000,2.290000,588100
2015-02-01,2.340000,2.700000,2.170000,2.410000,2.410000,531500
2015-03-01,2.420000,2.700000,2.140000,2.510000,2.510000,676100
2015-04-01,2.480000,2.600000,2.180000,2.440000,2.440000,484600
2015-05-01,2.500000,2.550000,1.950000,2.050000,2.050000,551600
2015-06-01,2.000000,2.120000,1.680000,1.850000,1.850000,428800
2015-07-01,1.880000,1.910000,1.550000,1.800000,1.800000,440500
2015-08-01,1.830000,1.940000,1.560000,1.720000,1.720000,228100
2015-09-01,1.720000,2.090000,1.620000,1.800000,1.800000,358500
2015-10-01,1.880000,2.100000,1.750000,2.040000,2.040000,310300
2015-11-01,2.120000,2.210000,1.890000,2.150000,2.150000,587700
2015-12-01,2.150000,2.150000,1.720000,1.900000,1.900000,433400
2016-01-01,1.950000,2.090000,1.550000,1.620000,1.620000,393700
2016-02-01,1.670000,4.990000,1.580000,4.870000,4.870000,13561600
2016-03-01,5.090000,5.200000,3.530000,4.150000,4.150000,4940900
2016-04-01,4.150000,4.990000,3.700000,4.590000,4.590000,1860700
2016-05-01,4.560000,4.950000,3.660000,4.210000,4.210000,1966200
2016-06-01,4.210000,4.770000,3.750000,3.860000,3.860000,1046000
2016-07-01,3.850000,4.490000,3.770000,4.450000,4.450000,776700
2016-08-01,4.400000,6.260000,4.000000,5.390000,5.390000,2204600
2016-09-01,5.400000,5.600000,4.060000,4.590000,4.590000,4050000
2016-10-01,4.580000,5.130000,4.050000,4.070000,4.070000,1019700
2016-11-01,4.070000,4.740000,3.380000,3.870000,3.870000,1578600
2016-12-01,3.970000,4.200000,3.600000,3.880000,3.880000,683700
2017-01-01,3.880000,4.100000,3.680000,3.960000,3.960000,389000
2017-02-01,3.970000,5.470000,3.950000,4.900000,4.900000,2029200
2017-03-01,5.000000,5.250000,4.250000,4.930000,4.930000,1094100
2017-04-01,4.900000,4.970000,4.400000,4.780000,4.780000,261100
2017-05-01,4.760000,4.850000,4.120000,4.280000,4.280000,794200
2017-06-01,4.330000,5.880000,4.330000,5.530000,5.530000,657200
2017-07-01,5.500000,6.650000,5.150000,6.160000,6.160000,696000
2017-08-01,6.150000,7.660000,5.700000,7.090000,7.090000,713700
2017-09-01,7.320000,7.960000,6.100000,7.310000,7.310000,1173100
2017-10-01,7.350000,7.620000,7.000000,7.390000,7.390000,563300
2017-11-01,7.490000,7.750000,4.900000,5.410000,5.410000,1120300
2017-12-01,5.400000,6.380000,5.210000,6.070000,6.070000,398500
2018-01-01,6.060000,6.490000,5.440000,5.620000,5.620000,385500
2018-02-01,5.600000,6.480000,5.200000,5.800000,5.800000,247700
2018-03-01,5.810000,5.880000,5.000000,5.360000,5.360000,162600
2018-04-01,5.360000,5.530000,5.250000,5.340000,5.340000,81300
2018-05-01,5.250000,5.950000,4.650000,4.660000,4.660000,184400
2018-06-01,4.890000,5.600000,4.600000,5.420000,5.420000,207400
2018-07-01,5.370000,5.530000,5.100000,5.250000,5.250000,70300
2018-08-01,5.330000,5.460000,4.660000,4.660000,4.660000,227000
2018-09-01,4.760000,7.330000,4.690000,6.500000,6.500000,1867800
2018-10-01,6.500000,7.080000,6.110000,6.440000,6.440000,559400
2018-11-01,6.370000,6.870000,5.450000,5.700000,5.700000,472400
2018-12-01,5.750000,5.860000,4.930000,5.090000,5.090000,219100
2019-01-01,5.000000,5.790000,4.840000,5.690000,5.690000,305100
2019-02-01,5.630000,6.120000,5.100000,5.260000,5.260000,256000
2019-03-01,5.200000,5.750000,5.140000,5.150000,5.150000,210000
2019-04-01,5.150000,5.750000,5.150000,5.700000,5.700000,138300
2019-05-01,5.720000,6.200000,4.750000,4.850000,4.850000,414800
2019-06-01,4.950000,5.550000,4.950000,5.450000,5.450000,279900
2019-07-01,5.360000,5.550000,5.180000,5.330000,5.330000,57100
2019-08-01,5.490000,5.970000,5.190000,5.680000,5.680000,142900
2019-09-01,5.650000,7.250000,5.640000,6.610000,6.610000,538300
2019-10-01,6.670000,7.220000,6.050000,6.750000,6.750000,443600
2019-11-01,6.750000,10.990000,6.610000,9.860000,9.860000,1206000
2019-12-01,9.950000,10.250000,7.900000,8.650000,8.650000,739000
2020-01-01,8.750000,10.500000,8.600000,9.740000,9.740000,500600
2020-02-01,9.970000,13.600000,9.100000,10.290000,10.290000,3221100
2020-03-01,10.270000,13.500000,6.920000,11.240000,11.240000,2427600
2020-04-01,11.000000,15.000000,9.800000,13.990000,13.990000,3140700
2020-05-01,13.480000,19.730000,11.560000,14.420000,14.420000,6177000
2020-06-01,14.690000,16.430000,13.680000,15.390000,15.390000,3170600
2020-07-01,15.370000,17.879999,14.170000,16.590000,16.590000,3159000
2020-08-01,16.530001,18.690001,12.160000,12.380000,12.380000,3215000
2020-09-01,12.430000,12.880000,9.820000,10.410000,10.410000,2359100
2020-10-01,10.420000,10.490000,8.100000,8.310000,8.310000,3227800
2020-11-01,8.350000,10.570000,8.110000,10.090000,10.090000,1624000
2020-12-01,10.280000,10.400000,9.440000,9.810000,9.810000,1146600
2021-01-01,9.970000,10.660000,9.510000,9.940000,9.940000,938000
2021-02-01,9.950000,12.550000,9.830000,10.560000,10.560000,1540000
2021-03-01,10.970000,12.390000,10.150000,10.540000,10.540000,1442800
2021-04-01,10.720000,11.080000,9.720000,9.770000,9.770000,950700
2021-05-01,9.770000,10.220000,8.980000,9.860000,9.860000,1072200
2021-06-01,9.850000,12.000000,9.820000,11.290000,11.290000,2798600
2021-07-01,11.290000,12.210000,11.150000,11.740000,11.740000,694600
2021-08-01,11.650000,12.440000,11.020000,12.430000,12.430000,557700
2021-09-01,12.400000,13.850000,10.530000,10.820000,10.820000,395400
2021-10-01,10.820000,11.340000,10.510000,10.980000,10.980000,297900
2021-11-01,11.000000,12.690000,10.850000,12.020000,12.020000,471900
2021-12-01,12.050000,13.370000,12.000000,13.000000,13.000000,456700
2022-01-01,13.300000,13.460000,12.250000,12.950000,12.950000,258300
2022-02-01,12.870000,13.250000,11.900000,12.260000,12.260000,315000
2022-03-01,12.240000,12.950000,11.500000,12.440000,12.440000,158700
2022-04-01,12.470000,13.000000,12.400000,12.670000,12.670000,82300
2022-05-01,12.520000,12.600000,10.870000,11.270000,11.270000,313200
2022-06-01,11.200000,11.990000,9.100000,9.640000,9.640000,156300
2022-07-01,9.620000,9.940000,8.750000,9.020000,9.020000,120300
2022-08-01,9.120000,10.500000,9.000000,9.700000,9.700000,237100
2022-09-01,9.300000,12.500000,9.250000,10.250000,10.250000,421600
2022-10-01,10.550000,11.060000,10.050000,10.620000,10.620000,172600
2022-11-01,10.400000,10.750000,9.450000,9.990000,9.990000,530000
2022-12-01,10.000000,10.630000,9.500000,10.490000,10.490000,212900
