Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.032000,0.032000,0.032000,0.032000,0.032000,0
2010-04-01,0.032000,0.033000,0.020000,0.020000,0.020000,1060
2010-05-01,0.020000,0.067000,0.011000,0.011000,0.011000,3426
2010-06-01,0.011000,0.130000,0.011000,0.011000,0.011000,2475
2010-07-01,0.011000,0.011000,0.011000,0.011000,0.011000,2000
2010-08-01,0.011000,0.011000,0.011000,0.011000,0.011000,200
2010-09-01,0.011000,0.012000,0.011000,0.012000,0.012000,230
2010-10-01,0.012000,0.120000,0.012000,0.120000,0.120000,240
2010-11-01,0.120000,0.120000,0.120000,0.120000,0.120000,0
2010-12-01,0.120000,0.120000,0.013000,0.060000,0.060000,16778
2011-01-01,0.060000,0.420000,0.060000,0.072000,0.072000,75155
2011-02-01,0.150000,0.150000,0.051000,0.051000,0.051000,7555
2011-03-01,0.051000,0.430000,0.051000,0.430000,0.430000,9043
2011-04-01,0.430000,0.430000,0.047000,0.150000,0.150000,1500
2011-05-01,0.150000,0.150000,0.060000,0.060000,0.060000,600
2011-06-01,0.060000,0.060000,0.060000,0.060000,0.060000,0
2011-07-01,0.060000,0.060000,0.060000,0.060000,0.060000,0
2011-08-01,0.060000,0.063000,0.060000,0.063000,0.063000,145
2011-09-01,0.063000,0.063000,0.063000,0.063000,0.063000,0
2011-10-01,0.063000,0.063000,0.063000,0.063000,0.063000,0
2011-11-01,0.063000,0.063000,0.063000,0.063000,0.063000,0
2011-12-01,0.065000,0.065000,0.042000,0.042000,0.042000,150
2012-01-01,0.042000,0.042000,0.042000,0.042000,0.042000,0
2012-02-01,0.042000,0.043000,0.042000,0.043000,0.043000,1015
2012-03-01,0.043000,0.043000,0.043000,0.043000,0.043000,300
2012-04-01,0.043000,0.043000,0.018000,0.018000,0.018000,1106
2012-05-01,0.018000,0.021000,0.018000,0.021000,0.021000,4020
2012-06-01,0.021000,0.021000,0.021000,0.021000,0.021000,0
2012-07-01,0.021000,0.021000,0.021000,0.021000,0.021000,0
2012-08-01,0.021000,0.021000,0.021000,0.021000,0.021000,10
2012-09-01,0.021000,0.021000,0.021000,0.021000,0.021000,0
2012-10-01,0.021000,0.021000,0.021000,0.021000,0.021000,20
2012-11-01,0.021000,0.021000,0.021000,0.021000,0.021000,0
2012-12-01,0.021000,0.030000,0.021000,0.030000,0.030000,650
2013-01-01,0.030000,0.034000,0.030000,0.034000,0.034000,250
2013-02-01,0.034000,0.035000,0.034000,0.035000,0.035000,145
2013-03-01,0.035000,0.036000,0.035000,0.036000,0.036000,50
2013-04-01,0.036000,0.036000,0.036000,0.036000,0.036000,20
2013-05-01,0.036000,0.500000,0.036000,0.038000,0.038000,142
2013-06-01,0.038000,0.075000,0.025000,0.025000,0.025000,19284
2013-07-01,0.025000,0.025000,0.025000,0.025000,0.025000,100
2013-08-01,0.025000,0.039000,0.025000,0.039000,0.039000,50
2013-09-01,0.039000,0.039000,0.039000,0.039000,0.039000,12
2013-10-01,0.039000,0.039000,0.039000,0.039000,0.039000,200
2013-11-01,0.039000,0.100000,0.039000,0.050000,0.050000,7429
2013-12-01,0.050000,0.050000,0.050000,0.050000,0.050000,80
2014-01-01,0.050000,0.050000,0.050000,0.050000,0.050000,115
2014-02-01,0.050000,0.050000,0.050000,0.050000,0.050000,325
2014-03-01,0.050000,0.050000,0.050000,0.050000,0.050000,0
2014-04-01,0.050000,0.050000,0.050000,0.050000,0.050000,1150
2014-05-01,0.050000,0.050000,0.021000,0.021000,0.021000,55
2014-06-01,0.021000,0.099000,0.021000,0.099000,0.099000,1400
2014-07-01,0.099000,0.099000,0.099000,0.099000,0.099000,0
2014-08-01,0.099000,0.099000,0.099000,0.099000,0.099000,0
2014-09-01,0.099000,0.099000,0.023000,0.024000,0.024000,7130
2014-10-01,0.024000,0.026000,0.024000,0.026000,0.026000,45
2014-11-01,0.026000,0.027000,0.026000,0.027000,0.027000,100
2014-12-01,0.027000,0.100000,0.027000,0.051000,0.051000,18372
2015-01-01,0.051000,0.120000,0.051000,0.120000,0.120000,8750
2015-02-01,0.120000,0.120000,0.115000,0.115000,0.115000,300
2015-03-01,0.115000,0.115000,0.062000,0.062000,0.062000,160
2015-04-01,0.062000,0.062000,0.062000,0.062000,0.062000,0
2015-05-01,0.062000,0.063000,0.062000,0.063000,0.063000,13
2015-06-01,0.063000,0.063000,0.033000,0.033000,0.033000,100
2015-07-01,0.033000,0.033000,0.033000,0.033000,0.033000,20
2015-08-01,0.033000,0.033000,0.033000,0.033000,0.033000,0
2015-09-01,0.033000,0.033000,0.033000,0.033000,0.033000,200
2015-10-01,0.033000,0.033000,0.033000,0.033000,0.033000,100
2015-11-01,0.033000,0.033000,0.033000,0.033000,0.033000,755
2015-12-01,0.033000,0.033000,0.033000,0.033000,0.033000,150
2016-01-01,0.033000,0.033000,0.033000,0.033000,0.033000,1453
2016-02-01,0.033000,0.033000,0.033000,0.033000,0.033000,59
2016-03-01,0.033000,0.034000,0.033000,0.034000,0.034000,20
2016-04-01,0.034000,0.034000,0.034000,0.034000,0.034000,350
2016-05-01,0.034000,0.034000,0.034000,0.034000,0.034000,100
2016-06-01,0.034000,0.034000,0.034000,0.034000,0.034000,0
2016-07-01,0.034000,0.034000,0.034000,0.034000,0.034000,0
