Date,Open,High,Low,Close,Adj Close,Volume
2014-09-01,24.490000,24.620001,24.490000,24.559999,24.559999,7500
2014-10-01,24.559999,24.850000,24.410000,24.469999,24.469999,6600
2014-11-01,24.469999,25.910000,24.469999,25.910000,25.910000,500
2014-12-01,25.980000,25.990000,23.820000,24.309999,24.309999,11200
2015-01-01,24.309999,25.400000,22.760000,24.160000,24.160000,4000
2015-02-01,24.620001,24.969999,17.780001,24.629999,24.629999,1400
2015-03-01,25.049999,25.049999,23.340000,24.870001,24.870001,6800
2015-04-01,24.870001,27.539000,24.870001,27.166000,27.166000,5200
2015-05-01,27.450001,28.120001,26.230000,26.230000,26.230000,19300
2015-06-01,26.042999,26.270000,24.389000,24.389000,24.389000,13500
2015-07-01,24.389000,24.389000,22.549999,23.299999,23.299999,6700
2015-08-01,22.910000,23.059999,19.000000,20.730000,20.730000,29400
2015-09-01,20.730000,20.730000,19.900000,20.360001,20.360001,3800
2015-10-01,20.360001,22.540001,20.360001,22.108999,22.108999,4800
2015-11-01,22.059999,22.280001,20.889999,20.889999,20.889999,9300
2015-12-01,21.910000,21.950001,19.940001,21.080000,21.080000,34900
2016-01-01,20.370001,20.370001,17.549999,18.879999,18.879999,6300
2016-02-01,18.879999,19.639999,18.525000,19.639999,19.639999,8700
2016-03-01,19.639999,21.719999,19.639999,21.381001,21.381001,4600
2016-04-01,21.381001,22.139000,21.381001,22.020000,22.020000,2900
2016-05-01,22.020000,22.020000,20.780001,20.780001,20.780001,700
2016-06-01,21.219000,21.850000,20.094999,21.200001,21.200001,8800
2016-07-01,22.010000,22.750000,21.500000,22.700001,22.700001,11000
2016-08-01,22.700001,24.150000,22.700001,23.090000,23.090000,15500
2016-09-01,22.920000,23.820000,22.670000,23.180000,23.180000,18400
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null
2021-04-01,null,null,null,null,null,null
2021-05-01,null,null,null,null,null,null
2021-06-01,null,null,null,null,null,null
2021-07-01,null,null,null,null,null,null
2021-08-01,null,null,null,null,null,null
2021-09-01,null,null,null,null,null,null
2021-10-01,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-12-01,null,null,null,null,null,null
2022-01-01,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-03-01,null,null,null,null,null,null
2022-04-01,null,null,null,null,null,null
2022-05-01,null,null,null,null,null,null
2022-06-01,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-09-01,null,null,null,null,null,null
2022-10-01,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-03-01,null,null,null,null,null,null
2023-04-01,null,null,null,null,null,null
2023-05-01,null,null,null,null,null,null
2023-06-01,null,null,null,null,null,null
2023-07-01,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-09-01,null,null,null,null,null,null
2023-10-01,null,null,null,null,null,null
