Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,10000.000000,23050.000000,9950.000000,16500.000000,16500.000000,7
2015-07-01,16500.000000,18350.000000,7500.000000,18300.000000,18300.000000,10
2015-08-01,17550.000000,29750.000000,16300.000000,21250.000000,21250.000000,2
2015-09-01,21250.000000,27200.000000,21250.000000,27150.000000,27150.000000,1
2015-10-01,27150.000000,27150.000000,19000.000000,26900.000000,26900.000000,1
2015-11-01,26900.000000,30000.000000,20050.000000,29300.000000,29300.000000,7
2015-12-01,29300.000000,35000.000000,29300.000000,33000.000000,33000.000000,3
2016-01-01,31300.000000,32500.000000,30050.000000,30100.000000,30100.000000,2
2016-02-01,30100.000000,39750.000000,28750.000000,32500.000000,32500.000000,4
2016-03-01,32500.000000,40050.000000,21000.000000,35000.000000,35000.000000,0
2016-04-01,35000.000000,35000.000000,20000.000000,32550.000000,32550.000000,2
2016-05-01,32550.000000,35000.000000,32550.000000,32550.000000,32550.000000,0
2016-06-01,32550.000000,32550.000000,32550.000000,32550.000000,32550.000000,0
2016-07-01,32550.000000,32550.000000,25000.000000,32550.000000,32550.000000,0
2016-08-01,32550.000000,32750.000000,21500.000000,32550.000000,32550.000000,1
2016-09-01,32550.000000,35000.000000,32550.000000,35000.000000,35000.000000,4
2016-10-01,35000.000000,35000.000000,25000.000000,32550.000000,32550.000000,0
2016-11-01,32550.000000,32550.000000,32550.000000,32550.000000,32550.000000,0
2016-12-01,32550.000000,37500.000000,32550.000000,32550.000000,32550.000000,0
2017-01-01,32550.000000,35000.000000,32550.000000,32550.000000,32550.000000,2
2017-02-01,32550.000000,32750.000000,32550.000000,32750.000000,32750.000000,0
2017-03-01,32750.000000,32750.000000,32550.000000,32550.000000,32550.000000,0
2017-04-01,32550.000000,32550.000000,32550.000000,32550.000000,32550.000000,0
2017-05-01,32750.000000,32950.000000,32550.000000,32550.000000,32550.000000,0
2017-06-01,32550.000000,45000.000000,32550.000000,45000.000000,45000.000000,0
2017-07-01,45000.000000,45000.000000,32550.000000,32550.000000,32550.000000,0
2017-08-01,32550.000000,34250.000000,32500.000000,34250.000000,34250.000000,2
2017-09-01,32550.000000,32550.000000,32500.000000,32550.000000,32550.000000,3
2017-10-01,32550.000000,32750.000000,32500.000000,32550.000000,32550.000000,3
2017-11-01,32550.000000,43500.000000,10750.000000,13750.000000,13750.000000,84
2017-12-01,13500.000000,19270.000000,6350.000000,15500.000000,15500.000000,277
2018-01-01,15400.000000,67500.000000,12600.000000,12750.000000,12750.000000,3700
2018-02-01,13100.000000,15000.000000,9000.000000,10900.000000,10900.000000,554
2018-03-01,10900.000000,11600.000000,8000.000000,8200.000000,8200.000000,151
2018-04-01,8750.000000,9750.000000,5500.000000,5750.000000,5750.000000,223
2018-05-01,5700.000000,8800.000000,3500.000000,3900.000000,3900.000000,842
2018-06-01,4000.000000,13950.000000,3900.000000,5150.000000,5150.000000,7645
2018-07-01,5200.000000,12450.000000,5200.000000,7150.000000,7150.000000,5956
2018-08-01,7150.000000,8850.000000,6850.000000,7355.000000,7355.000000,468
2018-09-01,7500.000000,9000.000000,6100.000000,6500.000000,6500.000000,325
2018-10-01,6450.000000,7400.000000,1175.000000,1625.000000,1625.000000,13279
2018-11-01,1530.000000,1975.000000,1200.000000,1200.000000,1200.000000,6888
2018-12-01,1310.000000,1450.000000,750.000000,870.000000,870.000000,1837
2019-01-01,850.000000,1600.000000,815.000000,1150.000000,1150.000000,6246
2019-02-01,1160.000000,2050.000000,1125.000000,1635.000000,1635.000000,11808
2019-03-01,1675.000000,2400.000000,1500.000000,1675.000000,1675.000000,21076
2019-04-01,1660.000000,1975.000000,1515.000000,1690.000000,1690.000000,8417
2019-05-01,1695.000000,2275.000000,1250.000000,1550.000000,1550.000000,15315
2019-06-01,1550.000000,1945.000000,1410.000000,1750.000000,1750.000000,14600
2019-07-01,1750.000000,2100.000000,1425.000000,1450.000000,1450.000000,10545
2019-08-01,1525.000000,1700.000000,910.000000,1070.000000,1070.000000,4705
2019-09-01,1050.000000,1470.000000,415.000000,850.000000,850.000000,9970
2019-10-01,855.000000,950.000000,605.000000,650.000000,650.000000,5074
2019-11-01,615.000000,825.000000,390.000000,424.000000,424.000000,11415
2019-12-01,448.000000,520.000000,382.000000,452.000000,452.000000,11688
2020-01-01,450.000000,558.000000,242.000000,262.000000,262.000000,14347
2020-02-01,258.000000,294.000000,206.000000,229.399994,229.399994,3333
2020-03-01,224.000000,237.399994,125.199997,192.000000,192.000000,4714
2020-04-01,187.199997,268.000000,148.000000,182.000000,182.000000,7833
2020-05-01,189.000000,332.000000,173.199997,264.000000,264.000000,19215
2020-06-01,272.000000,1060.000000,242.000000,310.000000,310.000000,460356
2020-07-01,320.000000,460.000000,302.000000,370.000000,370.000000,84617
2020-08-01,376.000000,430.000000,242.000000,254.000000,254.000000,41449
2020-09-01,250.000000,295.000000,200.000000,276.000000,276.000000,37198
2020-10-01,328.000000,332.000000,224.000000,234.000000,234.000000,71280
2020-11-01,234.000000,362.000000,231.199997,318.000000,318.000000,106507
2020-12-01,302.000000,752.000000,74.000000,74.000000,74.000000,311254
2021-01-01,195.000000,262.299988,180.500000,185.000000,185.000000,552378
2021-02-01,188.500000,293.500000,150.000000,171.000000,171.000000,1276288
2021-03-01,176.500000,350.000000,118.000000,153.500000,153.500000,6900280
2021-04-01,155.500000,163.500000,105.500000,119.000000,119.000000,425748
2021-05-01,117.500000,157.500000,92.500000,111.500000,111.500000,1147794
2021-06-01,111.500000,139.500000,100.000000,119.000000,119.000000,553850
2021-07-01,121.000000,121.000000,90.500000,95.500000,95.500000,253004
2021-08-01,97.000000,114.000000,77.000000,99.500000,99.500000,653022
2021-09-01,102.500000,187.000000,94.099998,103.500000,103.500000,3598946
2021-10-01,102.500000,105.500000,82.000000,88.000000,88.000000,605716
2021-11-01,88.750000,112.500000,64.000000,65.000000,65.000000,437762
2021-12-01,65.000000,69.000000,46.500000,46.500000,46.500000,320412
2022-01-01,49.400002,56.000000,27.500000,31.799999,31.799999,207600
2022-02-01,33.049999,34.349998,12.150000,13.750000,13.750000,1021830
2022-03-01,14.700000,22.000000,12.250000,16.500000,16.500000,2166192
2022-04-01,16.850000,18.299999,12.300000,13.500000,13.500000,1080348
2022-05-01,12.800000,14.500000,8.500000,9.900000,9.900000,670330
2022-06-01,10.500000,13.500000,8.900000,10.700000,10.700000,655388
2022-07-01,10.100000,18.500000,5.900000,6.400000,6.400000,4006300
2022-08-01,6.390000,14.870000,5.290000,5.580000,5.580000,21787900
2022-09-01,5.430000,6.480000,4.200000,4.220000,4.220000,1952700
2022-10-01,4.300000,5.080000,3.340000,3.410000,3.410000,1760000
2022-11-01,3.480000,3.560000,2.610000,2.870000,2.870000,804500
2022-12-01,2.910000,3.100000,1.570000,2.080000,2.080000,1093000
2023-01-01,2.050000,3.080000,2.020000,2.870000,2.870000,972100
2023-02-01,2.900000,3.210000,2.090000,2.090000,2.090000,452600
2023-03-01,2.090000,2.190000,1.600000,1.664000,1.664000,405000
2023-04-01,1.711000,2.090000,1.300000,1.831000,1.831000,1288700
2023-05-01,1.840000,6.980000,1.390000,4.190000,4.190000,220024700
2023-06-01,4.040000,4.780000,3.070000,3.370000,3.370000,2958400
2023-07-01,3.360000,3.490000,2.320000,2.730000,2.730000,1721500
2023-08-01,2.723000,3.898000,2.030000,2.160000,2.160000,3402400
2023-09-01,2.259000,2.730000,2.030000,2.380000,2.380000,610400
2023-10-01,2.305000,2.800000,2.029000,2.110000,2.110000,260800
