Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,6.500000,25.000000,6.500000,24.500000,24.500000,12146
2010-04-01,6.500000,60.000000,5.000000,32.450001,32.450001,19850
2010-05-01,6.500000,38.000000,6.500000,22.000000,22.000000,10616
2010-06-01,6.500000,22.000000,6.500000,15.000000,15.000000,6801
2010-07-01,19.799999,25.000000,15.000000,18.900000,18.900000,10687
2010-08-01,18.250000,29.000000,10.500000,13.000000,13.000000,1072182
2010-09-01,6.500000,14.500000,5.200000,6.250000,6.250000,101608
2010-10-01,6.250000,9.000000,2.500000,3.400000,3.400000,1377996
2010-11-01,2.650000,4.000000,2.650000,3.000000,3.000000,127872
2010-12-01,3.150000,3.750000,2.500000,3.150000,3.150000,123914
2011-01-01,2.500000,3.000000,2.200000,2.300000,2.300000,52090
2011-02-01,2.500000,2.750000,1.900000,2.250000,2.250000,57268
2011-03-01,2.250000,2.700000,1.900000,2.700000,2.700000,67531
2011-04-01,2.750000,17.549999,2.750000,14.750000,14.750000,813186
2011-05-01,14.750000,20.000000,7.500000,10.500000,10.500000,299836
2011-06-01,9.950000,12.500000,5.000000,6.750000,6.750000,81314
2011-07-01,6.750000,7.350000,4.750000,6.500000,6.500000,66083
2011-08-01,6.500000,7.050000,3.250000,5.000000,5.000000,66213
2011-09-01,4.550000,6.000000,4.000000,4.700000,4.700000,32494
2011-10-01,4.450000,5.750000,2.650000,3.750000,3.750000,91146
2011-11-01,3.500000,3.900000,1.000000,1.550000,1.550000,60703
2011-12-01,1.650000,2.150000,1.000000,1.400000,1.400000,115911
2012-01-01,1.400000,6.000000,1.250000,3.500000,3.500000,145620
2012-02-01,3.100000,5.850000,2.000000,4.650000,4.650000,186452
2012-03-01,4.400000,4.750000,2.550000,4.000000,4.000000,141826
2012-04-01,4.000000,4.000000,3.000000,3.450000,3.450000,51459
2012-05-01,3.150000,3.500000,1.350000,1.950000,1.950000,71746
2012-06-01,1.850000,2.500000,0.750000,1.000000,1.000000,136727
2012-07-01,0.750000,1.400000,0.750000,0.750000,0.750000,68405
2012-08-01,1.250000,1.350000,0.550000,0.850000,0.850000,91133
2012-09-01,0.850000,1.300000,0.600000,0.650000,0.650000,199143
2012-10-01,0.650000,1.400000,0.400000,1.400000,1.400000,349176
2012-11-01,1.400000,6.500000,1.050000,2.000000,2.000000,526514
2012-12-01,2.250000,2.450000,1.150000,1.250000,1.250000,326267
2013-01-01,1.250000,3.250000,1.250000,1.500000,1.500000,1696213
2013-02-01,1.500000,9.650000,1.450000,4.100000,4.100000,3947699
2013-03-01,4.000000,4.150000,2.350000,2.400000,2.400000,1094644
2013-04-01,2.400000,4.550000,1.950000,2.800000,2.800000,2497915
2013-05-01,2.950000,4.000000,1.900000,2.150000,2.150000,1146894
2013-06-01,2.200000,2.250000,1.350000,1.500000,1.500000,461552
2013-07-01,1.500000,2.500000,1.400000,1.550000,1.550000,791108
2013-08-01,1.550000,1.750000,0.800000,1.200000,1.200000,1860678
2013-09-01,1.200000,1.350000,0.800000,0.800000,0.800000,1103453
2013-10-01,0.800000,0.950000,0.500000,0.800000,0.800000,525600
2013-11-01,0.900000,0.900000,0.600000,0.600000,0.600000,394325
2013-12-01,0.600000,1.750000,0.500000,1.450000,1.450000,1023480
2014-01-01,1.450000,9.650000,1.150000,6.800000,6.800000,12274364
2014-02-01,6.650000,108.000000,5.250000,14.700000,14.700000,7854191
2014-03-01,13.300000,56.500000,11.300000,44.500000,44.500000,6999676
2014-04-01,44.750000,44.950001,11.600000,17.549999,17.549999,5298831
2014-05-01,18.700001,22.350000,9.600000,15.550000,15.550000,3156761
2014-06-01,14.950000,17.850000,10.700000,11.950000,11.950000,1591981
2014-07-01,11.750000,14.750000,7.500000,7.800000,7.800000,1477873
2014-08-01,7.750000,10.150000,5.650000,9.950000,9.950000,1712839
2014-09-01,9.950000,10.600000,7.200000,7.950000,7.950000,845067
2014-10-01,7.850000,11.150000,5.750000,9.950000,9.950000,1284748
2014-11-01,10.100000,10.450000,6.150000,6.450000,6.450000,1045645
2014-12-01,6.850000,8.000000,5.900000,6.500000,6.500000,1091046
2015-01-01,6.500000,7.900000,6.290000,6.350000,6.350000,668256
2015-02-01,6.475000,7.000000,4.950000,5.000000,5.000000,969861
2015-03-01,5.025000,5.850000,3.750000,3.975000,3.975000,1282249
2015-04-01,4.025000,4.300000,2.850000,3.750000,3.750000,845532
2015-05-01,3.800000,3.800000,2.750000,2.750000,2.750000,375619
2015-06-01,2.800000,2.800000,1.500000,2.050000,2.050000,521361
2015-07-01,2.050000,2.450000,1.350000,1.500000,1.500000,813841
2015-08-01,1.450000,2.250000,0.950000,1.800000,1.800000,1836181
2015-09-01,1.825000,2.000000,1.100000,1.300000,1.300000,1003680
2015-10-01,1.225000,1.400000,1.080000,1.150000,1.150000,751268
2015-11-01,1.150000,1.600000,1.100000,1.200000,1.200000,964585
2015-12-01,1.200000,1.250000,0.700000,0.850000,0.850000,1639764
2016-01-01,0.850000,1.000000,0.500000,0.700000,0.700000,1833948
2016-02-01,0.725000,1.000000,0.600000,0.850000,0.850000,1938236
2016-03-01,1.075000,1.250000,0.700000,0.900000,0.900000,4504288
2016-04-01,0.900000,0.900000,0.640000,0.700000,0.700000,1537216
2016-05-01,0.675000,0.800000,0.550000,0.650000,0.650000,2447859
2016-06-01,0.650000,4.925000,0.450000,0.550000,0.550000,2045749
2016-07-01,0.550000,0.550000,0.400000,0.500000,0.500000,1401607
2016-08-01,0.500000,0.500000,0.295000,0.300000,0.300000,3000712
2016-09-01,0.350000,0.350000,0.245000,0.300000,0.300000,2499041
2016-10-01,0.300000,2.650000,0.250000,2.050000,2.050000,14508531
2016-11-01,2.150000,2.250000,0.550000,0.750000,0.750000,11314075
2016-12-01,0.725000,1.500000,0.600000,1.150000,1.150000,7307308
2017-01-01,1.150000,1.350000,0.750000,0.795000,0.795000,6924529
2017-02-01,0.800000,1.000000,0.650000,0.800000,0.800000,5718346
2017-03-01,0.750000,1.000000,0.590000,0.800000,0.800000,6024162
2017-04-01,0.775000,0.850000,0.550000,0.600000,0.600000,3561542
2017-05-01,0.570000,5.650000,0.500000,0.650000,0.650000,3171409
2017-06-01,0.600000,0.650000,0.540000,0.600000,0.600000,2342217
2017-07-01,0.575000,0.600000,0.500000,0.600000,0.600000,1782438
2017-08-01,0.600000,2.300000,0.550000,1.000000,1.000000,16664675
2017-09-01,1.000000,1.000000,0.750000,0.850000,0.850000,5548698
2017-10-01,0.825000,0.850000,0.600000,0.700000,0.700000,4585337
2017-11-01,0.675000,0.800000,0.540000,0.600000,0.600000,6514469
2017-12-01,0.575000,1.050000,0.550000,0.870000,0.870000,12510501
2018-01-01,0.870000,1.150000,0.600000,0.750000,0.750000,13617599
2018-02-01,0.725000,0.750000,0.600000,0.625000,0.625000,4359963
2018-03-01,0.650000,0.675000,0.500000,0.550000,0.550000,6453212
2018-04-01,0.525000,0.650000,0.500000,0.600000,0.600000,4384290
2018-05-01,0.600000,0.600000,0.500000,0.550000,0.550000,1841921
2018-06-01,0.550000,0.550000,0.450000,0.500000,0.500000,3351373
2018-07-01,0.475000,0.500000,0.400000,0.450000,0.450000,2304632
2018-08-01,0.425000,0.500000,0.395000,0.450000,0.450000,3310962
2018-09-01,0.450000,0.450000,0.350000,0.400000,0.400000,2773439
2018-10-01,0.375000,0.400000,0.250000,0.300000,0.300000,3200540
2018-11-01,0.275000,0.300000,0.200000,0.250000,0.250000,3064930
2018-12-01,0.225000,0.250000,0.150000,0.150000,0.150000,4096411
2019-01-01,0.150000,0.200000,0.150000,0.200000,0.200000,6103591
2019-02-01,0.175000,0.200000,0.100000,0.150000,0.150000,9518283
2019-03-01,0.100000,0.150000,0.100000,0.150000,0.150000,4861819
2019-04-01,0.125000,0.150000,0.100000,0.150000,0.150000,3911876
2019-05-01,0.150000,0.150000,0.100000,0.150000,0.150000,3976406
2019-06-01,0.150000,0.150000,0.050000,0.100000,0.100000,4195376
2019-07-01,0.100000,0.150000,0.050000,0.100000,0.100000,4508555
2019-08-01,0.050000,0.100000,0.005000,0.100000,0.100000,5739751
2019-09-01,0.100000,0.252500,0.005000,0.125400,0.125400,21516001
2019-10-01,0.130000,0.159500,0.040000,0.045000,0.045000,16040163
2019-11-01,0.044800,0.048350,0.017700,0.024800,0.024800,35110873
2019-12-01,0.022250,0.025000,0.005800,0.007680,0.007680,117594100
2020-01-01,0.007680,0.009700,0.004600,0.005000,0.005000,135127652
2020-02-01,0.008000,0.008100,0.003400,0.003570,0.003570,195130054
2020-03-01,0.003500,0.004000,0.001800,0.002400,0.002400,349176397
